1.collectionobject.guid,"1,111-collectionobjectattachments,41.attachment.metadataText","1,99-leftsiderels,1-rightside,121-dnasequences.dnasequence.text3"
dc72a961-1ed3-11e3-bfac-90b11c41863e,,5489d495-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,5489d4e5-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,5489d530-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,5471f5cb-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,54743f4c-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,547ebf9d-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,54831412-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,54831462-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,548314b1-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,548314fb-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,54831547-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,54831591-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,548315db-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,54831629-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,54831673-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,548316ba-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,54831705-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,54831c5d-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,54831cbd-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,54831d08-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,5489d15d-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,5489d495-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,5489d4e5-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,5489d530-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,5471f5cb-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,54743f4c-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,547ebf9d-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,54831412-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,54831462-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,548314b1-a0b5-11ed-803c-6c2b597b15e2
dc72a961-1ed3-11e3-bfac-90b11c41863e,,548314fb-a0b5-11ed-803c-6c2b597b15e2
