subject_entity_id,entity_relationship_type,,object_entity_IRI
660bfa2f-80f9-40af-9aa7-58cc6352f739,has 3D model,,https://www.morphosource.org/biological_specimens/000448293
dcbdfaf0-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000458686
db7e9807-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000458687
fd921378-977f-4cf4-bb87-96e78a120d61,has 3D model,,https://www.morphosource.org/biological_specimens/000458688
a07d8106-69b9-4398-afac-1dd696fcf671,has 3D model,,https://www.morphosource.org/biological_specimens/000458689
e58457d1-09ae-4960-87e7-8de2225705e2,has 3D model,,https://www.morphosource.org/biological_specimens/000458690
db5c2df5-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000458758
dca5f2c8-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000458809
db52d862-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000458810
db4f6a6b-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000458811
dca7e2e5-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000473157
db56b397-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000473158
dcc51e23-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000473159
cd1acd7f-fce5-4d9a-9bad-a805137c5e83,has 3D model,,https://www.morphosource.org/biological_specimens/000473160
3cc1e927-805f-4d65-913b-d3bea49df64c,has 3D model,,https://www.morphosource.org/biological_specimens/000473161
d446e969-e5bd-4dd1-8e17-35d6a8ddec2f,has 3D model,,https://www.morphosource.org/biological_specimens/000473162
a1cd946e-c0a1-4fd6-8d03-e1b9ba2850fc,has 3D model,,https://www.morphosource.org/biological_specimens/000473163
031fdb80-aa04-498f-83b9-219e8953eda7,has 3D model,,https://www.morphosource.org/biological_specimens/000473164
eeebb00b-247d-4cc0-99e9-1a7e3c8379d0,has 3D model,,https://www.morphosource.org/biological_specimens/000473165
2cd91beb-7c79-4267-a504-6d42cbf36f90,has 3D model,,https://www.morphosource.org/biological_specimens/000473166
db6afd60-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000482697
db413482-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000482698
dcd6e21c-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000482699
dcd5b07f-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000482700
db50b913-1ed3-11e3-bfac-90b11c41863e,has 3D model,,https://www.morphosource.org/biological_specimens/000482701
