Collection Object GUID,Metadata Text,DNA Sequences Text3,,,
dc72a961-1ed3-11e3-bfac-90b11c41863e,,5489d530-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/KC829708
dc72ad41-1ed3-11e3-bfac-90b11c41863e,,5470a959-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/AF488446 
dc72ad41-1ed3-11e3-bfac-90b11c41863e,,5474993e-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/AF488496 
dc72b129-1ed3-11e3-bfac-90b11c41863e,,5485a45c-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/KF930465
dc72b50c-1ed3-11e3-bfac-90b11c41863e,,546e949d-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/AY700335 
dc72b50c-1ed3-11e3-bfac-90b11c41863e,,54707f99-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/AY679649 
dc72b50c-1ed3-11e3-bfac-90b11c41863e,,5473ba34-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/AY700265 
dc72c079-1ed3-11e3-bfac-90b11c41863e,,546e7bdb-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/JX190213 
dc72c079-1ed3-11e3-bfac-90b11c41863e,,546ef0f7-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/JX188806 
dc72c079-1ed3-11e3-bfac-90b11c41863e,,546f0cfd-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/JX189286 
dc72c079-1ed3-11e3-bfac-90b11c41863e,,546fab48-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/JX189499 
dc72c079-1ed3-11e3-bfac-90b11c41863e,,54703615-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/JX190047 
dc72c079-1ed3-11e3-bfac-90b11c41863e,,54704ab6-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/JX189907 
dc72c079-1ed3-11e3-bfac-90b11c41863e,,547078ac-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/JX189745 
dc72c079-1ed3-11e3-bfac-90b11c41863e,,547190ab-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/JX189132 
dc72c079-1ed3-11e3-bfac-90b11c41863e,,5473f2bb-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/JX188979 
dc72c079-1ed3-11e3-bfac-90b11c41863e,,54740456-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/JX189427 
dc72c079-1ed3-11e3-bfac-90b11c41863e,,548d2447-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/SRX13089848
dc72c41d-1ed3-11e3-bfac-90b11c41863e,,54764d64-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/KC825371
dc72c41d-1ed3-11e3-bfac-90b11c41863e,,5477280c-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/KC826074
dc72c41d-1ed3-11e3-bfac-90b11c41863e,,5477db47-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/KC826640
dc72c41d-1ed3-11e3-bfac-90b11c41863e,,547b1c82-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/KC828456
dc72c41d-1ed3-11e3-bfac-90b11c41863e,,547d9cda-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/KC830009
dc72c41d-1ed3-11e3-bfac-90b11c41863e,,547f2217-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/KC830765
dc72cb64-1ed3-11e3-bfac-90b11c41863e,,5472fa11-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/HQ168919 
dc72cb64-1ed3-11e3-bfac-90b11c41863e,,547330c1-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/HQ168679 
dc72cb64-1ed3-11e3-bfac-90b11c41863e,,547365ff-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/HQ168568 
dc72cb64-1ed3-11e3-bfac-90b11c41863e,,54736f51-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/HQ169041 
dc72cb64-1ed3-11e3-bfac-90b11c41863e,,5473b148-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/HQ168797 
dc72cb64-1ed3-11e3-bfac-90b11c41863e,,5477eb37-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/KC826797
dc72cb64-1ed3-11e3-bfac-90b11c41863e,,547d3947-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/KC829843
dc72cb64-1ed3-11e3-bfac-90b11c41863e,,548026ca-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/KF140552
dc72cb64-1ed3-11e3-bfac-90b11c41863e,,54802712-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/KF140760
dc72cb64-1ed3-11e3-bfac-90b11c41863e,,5480275a-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/KF139586
dc72cb64-1ed3-11e3-bfac-90b11c41863e,,548027a2-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/KF141006
dc72cb64-1ed3-11e3-bfac-90b11c41863e,,548027ea-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/KF141260
dc72cb64-1ed3-11e3-bfac-90b11c41863e,,54802831-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/KF140366
dc72dde8-1ed3-11e3-bfac-90b11c41863e,,54709a4c-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/AF285936 
