Attachment GUID,Metadata Text,Collection Object GUID
2e7c05ee-cb81-43e0-89d7-340df80f6b16,,dba920c8-1ed3-11e3-bfac-90b11c41863e
2e7c05ee-cb81-43e0-89d7-340df80f6b16,,dba9233e-1ed3-11e3-bfac-90b11c41863e
44540a46-1529-4228-834a-e02ed034ae34,,dba925c2-1ed3-11e3-bfac-90b11c41863e
44540a46-1529-4228-834a-e02ed034ae34,,dba93243-1ed3-11e3-bfac-90b11c41863e
44540a46-1529-4228-834a-e02ed034ae34,,dba934cc-1ed3-11e3-bfac-90b11c41863e
44540a46-1529-4228-834a-e02ed034ae34,,dba93735-1ed3-11e3-bfac-90b11c41863e
44540a46-1529-4228-834a-e02ed034ae34,,dba93998-1ed3-11e3-bfac-90b11c41863e
44540a46-1529-4228-834a-e02ed034ae34,,dba948dc-1ed3-11e3-bfac-90b11c41863e
fbb329ca-72b6-49f0-8350-9dfc119e0036,,dba8ba29-1ed3-11e3-bfac-90b11c41863e
fbb329ca-72b6-49f0-8350-9dfc119e0036,,dba8bca2-1ed3-11e3-bfac-90b11c41863e
fbb329ca-72b6-49f0-8350-9dfc119e0036,,dba8bf1b-1ed3-11e3-bfac-90b11c41863e
fbb329ca-72b6-49f0-8350-9dfc119e0036,,dba8c18d-1ed3-11e3-bfac-90b11c41863e
fbb329ca-72b6-49f0-8350-9dfc119e0036,,dba8c3ff-1ed3-11e3-bfac-90b11c41863e
fbb329ca-72b6-49f0-8350-9dfc119e0036,,dba8c690-1ed3-11e3-bfac-90b11c41863e
fbb329ca-72b6-49f0-8350-9dfc119e0036,,dba8c905-1ed3-11e3-bfac-90b11c41863e
fbb329ca-72b6-49f0-8350-9dfc119e0036,,dba8cb7c-1ed3-11e3-bfac-90b11c41863e
fbb329ca-72b6-49f0-8350-9dfc119e0036,,dba8cdf7-1ed3-11e3-bfac-90b11c41863e
fbb329ca-72b6-49f0-8350-9dfc119e0036,,dba8d063-1ed3-11e3-bfac-90b11c41863e
0e13a21d-4ad1-4818-9b4b-e92ee8a9cb16,,dba94d10-1ed3-11e3-bfac-90b11c41863e
0e13a21d-4ad1-4818-9b4b-e92ee8a9cb16,,dba95037-1ed3-11e3-bfac-90b11c41863e
0e13a21d-4ad1-4818-9b4b-e92ee8a9cb16,,dba95f64-1ed3-11e3-bfac-90b11c41863e
0e13a21d-4ad1-4818-9b4b-e92ee8a9cb16,,dba96287-1ed3-11e3-bfac-90b11c41863e
f9b32878-0c36-4bd0-b6f3-95d68c7b4858,,dba96d74-1ed3-11e3-bfac-90b11c41863e
f9b32878-0c36-4bd0-b6f3-95d68c7b4858,,dba97181-1ed3-11e3-bfac-90b11c41863e
f9b32878-0c36-4bd0-b6f3-95d68c7b4858,,dba97e74-1ed3-11e3-bfac-90b11c41863e
f9b32878-0c36-4bd0-b6f3-95d68c7b4858,,dba98988-1ed3-11e3-bfac-90b11c41863e
c063a5f4-2b14-4a99-9b04-0f929be16d07,,dba99482-1ed3-11e3-bfac-90b11c41863e
c063a5f4-2b14-4a99-9b04-0f929be16d07,,dba9aa37-1ed3-11e3-bfac-90b11c41863e
c063a5f4-2b14-4a99-9b04-0f929be16d07,,dba9acec-1ed3-11e3-bfac-90b11c41863e
c063a5f4-2b14-4a99-9b04-0f929be16d07,,dba9af6a-1ed3-11e3-bfac-90b11c41863e
c063a5f4-2b14-4a99-9b04-0f929be16d07,,dba9b1eb-1ed3-11e3-bfac-90b11c41863e
c063a5f4-2b14-4a99-9b04-0f929be16d07,,dba9b463-1ed3-11e3-bfac-90b11c41863e
88d83833-08a9-4932-98df-c2ee4676f713,,dba76791-1ed3-11e3-bfac-90b11c41863e
88d83833-08a9-4932-98df-c2ee4676f713,,dba76efb-1ed3-11e3-bfac-90b11c41863e
88d83833-08a9-4932-98df-c2ee4676f713,,dba7722e-1ed3-11e3-bfac-90b11c41863e
88d83833-08a9-4932-98df-c2ee4676f713,,dba77f55-1ed3-11e3-bfac-90b11c41863e
88d83833-08a9-4932-98df-c2ee4676f713,,dba78268-1ed3-11e3-bfac-90b11c41863e
88d83833-08a9-4932-98df-c2ee4676f713,,dba7864e-1ed3-11e3-bfac-90b11c41863e
88d83833-08a9-4932-98df-c2ee4676f713,,dba792ab-1ed3-11e3-bfac-90b11c41863e
88d83833-08a9-4932-98df-c2ee4676f713,,dba795ba-1ed3-11e3-bfac-90b11c41863e
88d83833-08a9-4932-98df-c2ee4676f713,,dba7a12c-1ed3-11e3-bfac-90b11c41863e
88d83833-08a9-4932-98df-c2ee4676f713,,dba7acdd-1ed3-11e3-bfac-90b11c41863e
88d83833-08a9-4932-98df-c2ee4676f713,,dba7b927-1ed3-11e3-bfac-90b11c41863e
88d83833-08a9-4932-98df-c2ee4676f713,,dba7cf29-1ed3-11e3-bfac-90b11c41863e
8255ebe6-c7d9-4dec-a4a9-b4c826d09324,,dba716a0-1ed3-11e3-bfac-90b11c41863e
8255ebe6-c7d9-4dec-a4a9-b4c826d09324,,dba7191d-1ed3-11e3-bfac-90b11c41863e
8255ebe6-c7d9-4dec-a4a9-b4c826d09324,,dba71b93-1ed3-11e3-bfac-90b11c41863e
8255ebe6-c7d9-4dec-a4a9-b4c826d09324,,dba71e0b-1ed3-11e3-bfac-90b11c41863e
8255ebe6-c7d9-4dec-a4a9-b4c826d09324,,dba72090-1ed3-11e3-bfac-90b11c41863e
8255ebe6-c7d9-4dec-a4a9-b4c826d09324,,dba7230c-1ed3-11e3-bfac-90b11c41863e
8255ebe6-c7d9-4dec-a4a9-b4c826d09324,,dba72574-1ed3-11e3-bfac-90b11c41863e
8255ebe6-c7d9-4dec-a4a9-b4c826d09324,,dba727da-1ed3-11e3-bfac-90b11c41863e
8255ebe6-c7d9-4dec-a4a9-b4c826d09324,,dba72a3f-1ed3-11e3-bfac-90b11c41863e
4e353574-4152-4c55-ae45-cfdceae9c99d,,dba9b6df-1ed3-11e3-bfac-90b11c41863e
4e353574-4152-4c55-ae45-cfdceae9c99d,,dba9b960-1ed3-11e3-bfac-90b11c41863e
304ff58b-d653-4f3a-a77f-4717454847f0,,dba9bbe3-1ed3-11e3-bfac-90b11c41863e
304ff58b-d653-4f3a-a77f-4717454847f0,,dba9bfd8-1ed3-11e3-bfac-90b11c41863e
54bcd3c9-41de-41c4-891e-5ae781bc3c74,,dba9c276-1ed3-11e3-bfac-90b11c41863e
54bcd3c9-41de-41c4-891e-5ae781bc3c74,,dba9c4f0-1ed3-11e3-bfac-90b11c41863e
54bcd3c9-41de-41c4-891e-5ae781bc3c74,,dba9c76c-1ed3-11e3-bfac-90b11c41863e
54bcd3c9-41de-41c4-891e-5ae781bc3c74,,dba9c9e5-1ed3-11e3-bfac-90b11c41863e
54bcd3c9-41de-41c4-891e-5ae781bc3c74,,dba9cc61-1ed3-11e3-bfac-90b11c41863e
54bcd3c9-41de-41c4-891e-5ae781bc3c74,,dba9cede-1ed3-11e3-bfac-90b11c41863e
54bcd3c9-41de-41c4-891e-5ae781bc3c74,,dba9d15c-1ed3-11e3-bfac-90b11c41863e
ef6cd57e-1d61-4aa8-9bb6-4dbd0619fd26,,dba9d8cd-1ed3-11e3-bfac-90b11c41863e
ef6cd57e-1d61-4aa8-9bb6-4dbd0619fd26,,dba9db4f-1ed3-11e3-bfac-90b11c41863e
b0bc7e27-d1b9-46aa-a8c4-26db3818ac56,,dba9d3dd-1ed3-11e3-bfac-90b11c41863e
