Collection Object GUID,CT Scan
55b4ad59-066c-4a94-853d-0e1e6c225fb6,000424403
e58457d1-09ae-4960-87e7-8de2225705e2,000458690
031fdb80-aa04-498f-83b9-219e8953eda7,000473164
7a1a2d70-1685-4ebb-9072-19df0163448c,000S25191
eeebb00b-247d-4cc0-99e9-1a7e3c8379d0,000473165
5ce7c71c-3743-482f-b0ac-8fcb488d7afd,000483370
fb6ba740-64d1-453f-a33d-fe4e66f12a48,000489823
b09016b9-559f-4646-aab3-47d25d03bdbb,000482708
080ea5a7-7cb0-4fc5-8784-5120c188679a,000482709
7534b26a-87c4-48df-9e52-ea9497be945a,000424408
1fa1afbb-9c45-4deb-a003-c7c1cef67e28,000482710
2da623a5-fa23-4b8a-af02-ab741dc0e322,000482711
24b8bf89-395a-4169-b265-f115cbe1b192,000482712
2cd91beb-7c79-4267-a504-6d42cbf36f90,000473166
f2eef63b-720e-4217-b75b-2ce2eed6a3d9,000415766
baa8203e-8bcb-4b07-8d89-d23815a1d261,000482713
2de888e2-32fd-4475-ad90-34ef46492135,000482714
