collection_id,collection_type,collection_code,institution_code,grscicoll_id
urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MUSEUM,EC,MNHN,1f542e62-4800-4d7a-b393-399487b72929
urn:uuid:3efe33df-78cd-4def-9ee8-a0541587a6be,MUSEUM,BMNH(E),NHMUK,
