taxon_ID,occurrenceID,scientific_name,scientific_name_authorship,original_name_usage,taxon_rank,taxon_source,scientific_name_id,taxon_remarks,parent_taxon_id,taxonomic_status,kingdom,phylum,class,order,family,subfamily,genus,subgenus,specificEpithet,accepted_scientific_name,vernacular_name
https://www.gbif.org/species/5995681,BR:Refauna:MNHN:Coleoptera:00108,"Paromalus (Isolomalus) bicinctus Marseul, 1870","Marseul, 1870","Paromalus bicinctus Marseul, 1870",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Paromalus,Isolomalus,bicinctus,,
https://www.gbif.org/species/5995670,BR:Refauna:MNHN:Coleoptera:00109,"Paromalus (Isolomalus) concentricus Marseul, 1870","Marseul, 1870","Paromalus concentricus Marseul, 1870",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Paromalus,Isolomalus,concentricus,,
https://www.gbif.org/species/5995650,BR:Refauna:MNHN:Coleoptera:00110,"Paromalus (Isolomalus) inunctus Marseul, 1862","Marseul, 1862","Paromalus inunctus Marseul, 1862",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Paromalus,Isolomalus,inunctus,,
https://www.gbif.org/species/5995694,BR:Refauna:MNHN:Coleoptera:00111,"Paromalus (Isolomalus) productus Marseul, 1855","Marseil, 1855","Paromalus productus Marseil, 1855",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Paromalus,Isolomalus,productus,,
https://www.gbif.org/species/5995698,BR:Refauna:MNHN:Coleoptera:00112,"Paromalus (Isolomalus) rugigenius Marseul, 1870","Marseul, 1870","Paromalus rugigenius Marseul, 1870",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Paromalus,Isolomalus,rugigenius,,
https://www.gbif.org/species/5995689,BR:Refauna:MNHN:Coleoptera:00113,"Paromalus (Isolomalus) trifolium Marseul, 1862","Marseul, 1862","Paromalus trifolium Marseul, 1862",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Paromalus,Isolomalus,trifolium,,
https://www.gbif.org/species/8602041,BR:Refauna:MNHN:Coleoptera:00114,"Eutidium bahiense (Marseul, 1870)","Marseul, 1860","Phylloma bahiense Marseul, 1860",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Eutidium,,bahiense,,
https://www.gbif.org/species/8706244,BR:Refauna:BMNH:Coleoptera:00115,"Eutidium labrosum (Lewis, 1901)","Lewis, 1901","Phylloma labrosum Lewis, 1901",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Eutidium,,labrosum,,
https://www.gbif.org/species/8453951,BR:Refauna:MNHN:Coleoptera:00116,"Eutidium maragnoni (Marseul, 1870)","Marseul, 1870","Phylloma maragnoni Marseul, 1870",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Eutidium,,maragnoni,,
https://www.gbif.org/species/8517135,BR:Refauna:MNHN:Coleoptera:00117,"Eutidium monodon (Marseul, 1870)","Marseul, 1870","Phylloma monodon Marseul, 1870",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Eutidium,,monodon,,
https://www.gbif.org/species/8481723,BR:Refauna:BMNH:Coleoptera:00118,"Eutidium tuberculatum (Lewis, 1901)","Lewis, 1901","Phylloma tuberculatum Lewis, 1901",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Eutidium,,tuberculatum,,
https://www.gbif.org/species/5995520,BR:Refauna:MNHN:Coleoptera:00119,"Reninus arechavaletae (Marseul, 1870)","Marseul, 1870","Phylloscelis arechavaletae Marseul, 1870",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Reninus,,arechavaletae,,
https://www.gbif.org/species/5993306,BR:Refauna:MNHN:Coleoptera:00120,"Plegaderus monachus Marseul, 1870","Marseul, 1870","Plegaderus monachus Marseul, 1870",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Plegaderus,,monachus,,
https://www.gbif.org/species/5996176,BR:Refauna:MNHN:Coleoptera:00121,"Geomysaprinus bicirculus (Marseul, 1870)","Marseul, 1870","Saprinus bicirculus Marseul, 1870",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Geomysaprinus,,bicirculus,,
https://www.gbif.org/species/5993866,BR:Refauna:MNHN:Coleoptera:00122,"Xerosaprinus diptychus (Marseul, 1855)","Marseul, 1855","Saprinus diptychus Marseul, 1855",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Xerosaprinus,Xerosaprinus,diptychus,,
https://www.gbif.org/species/5993861,BR:Refauna:MNHN:Coleoptera:00123,"Xerosaprinus dolatus (Marseul, 1862)","Marseul, 1862","Saprinus dolatus Marseul, 1862",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Xerosaprinus,Xerosaprinus,dolatus,,
https://www.gbif.org/species/5993790,BR:Refauna:MNHN:Coleoptera:00124,"Euspilotus (Hesperosaprinus) emys (Marseul, 1870)","Marseul, 1870","Saprinus emys Marseul, 1870",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Euspilotus,Hesperosaprinus,emys,,
https://www.gbif.org/species/5993776,BR:Refauna:MNHN:Coleoptera:00125,"Euspilotus (Hesperosaprinus) flaviclava (Marseul, 1870)","Marseul, 1870","Saprinus flaviclava Marseul, 1870",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Euspilotus,Hesperosaprinus,flaviclava,,
