occurrence_id,material_entity_id,material_entity_type,preparations,disposition,institution_code,institution_id,collection_code,collection_id,owner_institution_code,catalog_number,record_number,recorded_by,recorded_by_id,associated_references,associated_sequences,other_catalog_numbers
BR:Refauna:MNHN:Coleoptera:00079,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:BMNH:Coleoptera:00080,,Organism,whole animal,in collection,BMNH,,BMNH(E),urn:uuid:3efe33df-78cd-4def-9ee8-a0541587a6be,BMNH,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:BMNH:Coleoptera:00081,,Organism,whole animal,in collection,BMNH,,BMNH(E),urn:uuid:3efe33df-78cd-4def-9ee8-a0541587a6be,BMNH,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00082,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00083,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00084,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00085,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00086,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00087,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00088,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00089,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00090,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00091,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00092,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00093,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00094,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00095,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00096,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00097,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00098,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00099,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00100,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00101,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00102,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00103,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00104,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00105,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00106,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00107,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
BR:Refauna:MNHN:Coleoptera:00108,,Organism,whole animal,in collection,MNHN,6a6ac6c5-1b8a-48db-91a2-f8661274ff80,EC,urn:uuid:9ced35c0-ef78-4702-a89b-759a2ffe68e5,MNHN,,,,,,,Specimen without catalogNumber. An alternate indentifier was added in otherCatalogNumbers. 
