"material_entity_id","material_entity_type","preparations","dispositions","institution_code","institution_id","collection_code","collection_id","owner_institution_code","catalog_number","recorder_by","recorder_by_id","associated_references","associated_secuences","other_catalog_numbers"
"379b64d78371d47fdb3771282be18d76","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","URGBGM2009MSM036VER","Mauro Sierra Macías; Artemio Palafox Caballero; Néstor Francisco Nicolás","","","",""
"37bbc7ce1f8520d813d749fb9d7d2eec","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","URGBGM2009CTC066PUE","Casiano Tut y Couoh","","","",""
"37c6b28d54b7ff6664d4978c8737c55d","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","URGBGM2010MSM504PUE","Mauro Sierra Macías; Artemio Palafox Caballero; Emmanuel Muñoz de la Vega","","","",""
"37db89425b51d3552ebb4861e256e42a","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","URGBGM2010MSM246PUE","Mauro Sierra Macías; Pablo Andrés Meza","","","",""
"37e3bd2e4bbc49aaabfa9fcb737b8f6e","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","URGBGM2010MSM534PUE","Mauro Sierra Macías; Artemio Palafox Caballero; Emmanuel Muñoz de la Vega","","","",""
"3800539dde7399f350cd2010ba12dae2","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","URGBGM2009HMRC193PUE","Hector Manuel Rodríguez Carrillo","","","",""
"38015eabdb8626176c5c0461a66335d6","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","URGBGM2009HMRC203PUE","Hector Manuel Rodríguez Carrillo","","","",""
"380a59e6c6b878ab544efda33f7eeacd","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","URGBGM2010MSM484VER","Mauro Sierra Macías; Néstor Francisco Nicolás","","","",""
"381a3f52de1af2aa3ae811901d797cb2","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","URGBGM2009APC256VER","Artemio Palafox Caballero; Néstor Francisco Nicolás","","","",""
"381e2a295d9e2c58a0970b97bc05ddce","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","URGBGM2009RLM415VER","Rosalio López Morgado","","","",""
"3822ffb50376a4c8c1a3f1b6caa7c39c","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","URGBGM2010JMUB349PUE","José Miguel Uribe Bernal","","","",""
"383b383717372ac24b9fb9081128337c","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","URGBGM2010JMUB312PUE","José Miguel Uribe Bernal","","","",""
"384f3e6f6ad1b68dee22085486f1cb20","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","URGBGM2009HMRC499PUE","Hector Manuel Rodríguez Carrillo","","","",""
"386895bf41aa399bc99294377c42122e","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","URGBGM2010MSM627VER","Mauro Sierra Macías","","","",""
"38795da5e3bd6734e1a20b80bccdce02","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","URGBGM2009CTC065PUE","Casiano Tut y Couoh","","","",""
"387e4eb96a0518e0a32b7983623734bb","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","URGBGM2009MSM352VER","Mauro Sierra Macías; Isaac Meneses Márquez","","","",""
"389e248de147e920473329be94cc18af","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","URGBGM2010EMD682PUE","Emmanuel Muñoz de la Vega","","","",""
"38cb406421a7a7ea421b18a3dd73a5fe","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","URGBGM2009MSM379VER","Mauro Sierra Macías; Isaac Meneses Márquez","","","",""
"38d9cd72681b7a9775cc553a35233425","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","URGBGM2010MSM250PUE","Mauro Sierra Macías; Pablo Andrés Meza","","","",""
"39115f257ad5800cf401753dbe8c42ab","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","URGBGM2009CTC122PUE","Casiano Tut y Couoh","","","",""
"3936462690d51f5289f31c21e348b08c","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","URGBGM2010EMD645PUE","Emmanuel Muñoz de la Vega","","","",""
"395ad2a3c2b2fa32c9cca0ac4ef6b752","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","URGBGM2009MSM016VER","Mauro Sierra Macías; Artemio Palafox Caballero; Flavio Antonio Rodríguez Montalvo; Isaac Meneses Márquez","","","",""
"3990565dd9877096f1cbe694b12d7de3","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","URGBGM2009AZM535VER","Andrés Zambada Martínez; Artemio Palafox Caballero; Néstor Francisco Nicolás","","","",""
"39921d466680c18907e06bc8f05e702f","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","URGBGM2010MSM491VER","Mauro Sierra Macías; Néstor Francisco Nicolás","","","",""
"39a37246627ae93560e333a223bdf12a","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","URGBGM2009AZM513VER","Andrés Zambada Martínez; Artemio Palafox Caballero; Néstor Francisco Nicolás","","","",""
"3a542d0c7d447f4a1a8d7b7630474f32","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","URGBGM2009MSM049VER","Mauro Sierra Macías; Artemio Palafox Caballero; Néstor Francisco Nicolás","","","",""
"3aa0a98908a31d6db9421b49267c6388","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","URGBGM2009CTC074PUE","Casiano Tut y Couoh","","","",""
"3aa65436726723ac57dcc775ba3a962a","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","URGBGM2010MSM629VER","Mauro Sierra Macías","","","",""
"3aae61c2f59c9cb2c4f015c0231dfd02","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","URGBGM2010MSM539PUE","Mauro Sierra Macías; Artemio Palafox Caballero; Emmanuel Muñoz de la Vega","","","",""
"3b5327bd81439518b915a203fa606121","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","URGBGM2009NFN152VER","Néstor Francisco Nicolás; Andrés Zambada Martínez","","","",""
