"material_entity_id","material_entity_type","preparations","dispositions","institution_code","institution_id","collection_code","collection_id","owner_institution_code","catalog_number","recorder_by","recorder_by_id","associated_references","associated_secuences","other_catalog_numbers"
"c40c107fe3783e1220d3030e0bb6189a","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","2505-HGO-44","Gerald Lemaire","","","",""
"c423692c826070fa21c74863391a8d9e","PreservedSpecimen","Germoplasma en conservación","","ECOSUR","","CH","","","2002-1780-3","Hugo Perales Rivera","","","",""
"c4249aff2217c3c754f29c826e449d55","PreservedSpecimen","Germoplasma en conservación","","ECOSUR","","CH","","","2002-0823-1","Hugo Perales Rivera","","","",""
"c42540e4aea19af25e918f736525860b","PreservedSpecimen","Germoplasma en conservación","","ECOSUR","","CH","","","2002-0642-1","Hugo Perales Rivera","","","",""
"c4264178f912accd3072f90e94a93d22","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","1923-GTO-192","Rafael Ortega Paczka; José Luis Rodríguez Ontiveros; Jorge Covarrubias Prieto","","","",""
"c427b129860bd96b880b02cb50c851c8","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","1845-GTO-109","","","","",""
"c42f27141e1d585e5c4e43f103ac1bb8","PreservedSpecimen","Germoplasma en conservación","","ECOSUR","","CH","","","2002-1504-1","Hugo Perales Rivera","","","",""
"c43084b7231b2684d070c595a9385261","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","10088-JSG-183","José de Jesús Sánchez González","","","",""
"c444a11ace59899ce9174cd679e82cc6","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","1222-CHIH-287","","","","",""
"c4463513781db1bdcc51f2298a2c93eb","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","8717-YUC-221","Rafael Ortega Paczka","","","",""
"c447e95c414674136afc3f076b90052a","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","1045-CHIH-111","","","","",""
"c44d7b3063b029e47440e6b6ff0aaef9","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","7067-SIN-9","","","","",""
"c4558110be555afa77f7c5aa37543dbb","PreservedSpecimen","Germoplasma en conservación","","ECOSUR","","CH","","","2002-0323-2","Hugo Perales Rivera","","","",""
"c456ae3a37ebed86bc5c20b18221487f","PreservedSpecimen","Germoplasma en conservación","","ECOSUR","","CH","","","2000-0291-1","Hugo Perales Rivera","","","",""
"c4591d990cee33d3e638eb735b475c8e","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","7234-SIN-176","Ángel Andrés Jiménez Cordero","","","",""
"c45e3d103cd07e9fa837cc4c241d310f","PreservedSpecimen","Germoplasma en conservación","","ECOSUR","","CH","","","2000-0292-1","Hugo Perales Rivera","","","",""
"c468d251735089315f49619d47589ed3","PreservedSpecimen","Germoplasma en conservación","","ECOSUR","","CH","","","2002-1799-1","Hugo Perales Rivera","","","",""
"c46b19832d3cd777a25c18a6f9de0181","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","3711-MEX-311","","","","",""
"c46b75247baa44d93ed0aac67fda2f3a","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","6088-PUE-328","Abel Muñoz Orozco; Salvador Domínguez Sánchez; Palafox; de la Vega; Ávila; de Haro; Alfonso Macías; Alberto Flores; Francisco Ramírez; Pimentel","","","",""
"c46b9d9ea6f8f0f67296bfa0946ee730","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","9204-MICH-484","","","","",""
"c46cd74e634a0e707e77227a0cd0be5b","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","6926-SLP-74","Rogelio del Toro Stodelly","","","",""
"c4705eb863359fbfe0af8f2b30b76f9d","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","10089-JSG-184","José de Jesús Sánchez González","","","",""
"c475694f2a660135e5aee923a58fb6d0","PreservedSpecimen","Germoplasma en conservación","","ECOSUR","","CH","","","2002-1340-1","Hugo Perales Rivera","","","",""
"c475feff4b60b51291bb0fb1f6d75bdd","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","4171-MICH-47","","","","",""
"c47736d0e237da045f29e801d3a29bdf","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","1741-GTO-11","","","","",""
"c47783e2bfb62aebde9dc7a5184cdaf4","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","7533-TAMS-107","","","","",""
"c47f86cfa4fc1ed141ee4cac848daa9b","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","3249-JAL-534","Héctor López Neria","","","",""
"c481c8a2ccca44f5a8324db826384c30","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","6472-PUE-712","Abel Muñoz Orozco; Manuel Livera Muñoz; Agustín López Herrera; Carlos Aguirre González; Víctor Arturo González Hernández; José Luis Arellano Vázquez; C Sánchez; Mauro Balderas Muñoz","","","",""
"c4851571dab9d791f760d5e2e772a3f2","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","2539-HGO-78","","","","",""
"c48b29f1749ff5d5f060b8eccb00b6ed","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","10662-HGO-242","Yolanda Beltrán Vargas; Nemorio Peña Islas; Fidel Arellano Tolentino","","","",""
"c490db461acd89bce082579386383fdf","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","8134-VER-225","Elmer C Johnson","","","",""
"c4980a934cf44c1289cc2656dbf1bafa","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","7447-TAMS-22","Fernando López Mascarúa","","","",""
"c499ad3b079d8c869a28168385945777","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","10123-Acosta-93","Acosta","","","",""
"c49bbad50cf3246c8c82c33de80638dd","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","1488-DGO-28","Alfredo Herrera Serrano","","","",""
"c49f8cbc67f717907c75d4cfeb76993f","PreservedSpecimen","Germoplasma en conservación","","ECOSUR","","CH","","","2002-0155-1","Hugo Perales Rivera","","","",""
"c4a00f55a1c59f843568459522b64b0a","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","8031-VER-122","Carlos Aguirre González","","","",""
"c4a121247a9ec8aa6884df47ee61c883","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","7791-TLAX-216","Abel Muñoz Orozco; Salvador Domínguez Sánchez; Palafox; de la Vega; Ávila; de Haro; Alfonso Macías; Alberto Flores; Francisco Ramírez; Pimentel","","","",""
"c4a486903279bd7f03b6ef7051f0b7bc","PreservedSpecimen","Germoplasma en conservación","","ECOSUR","","CH","","","2002-1515-1","Hugo Perales Rivera","","","",""
