"material_entity_id","material_entity_type","preparations","dispositions","institution_code","institution_id","collection_code","collection_id","owner_institution_code","catalog_number","recorder_by","recorder_by_id","associated_references","associated_secuences","other_catalog_numbers"
"0004c0d795cf78a81e7e41fb7b9adef7","PreservedSpecimen","Germoplasma en conservación","","CIRPAS-INIFAP","","BAGENO","","","11797-OAX-1626","F Humberto Castro García; Gerardo Villegas; Mateo Jiménez","","","",""
"000ac673fad14b0037e1ec163a629937","PreservedSpecimen","Germoplasma en conservación","","ECOSUR","","CH","","","2002-1613-1","Hugo Perales Rivera","","","",""
"0011bdaf3ee95d05ee5557b5d3255c4d","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","8863-ZAC-116","Abel Muñoz Orozco","","","",""
"0018f2c1ad0186711b4f1b574c129cd4","PreservedSpecimen","Germoplasma en conservación","","CIRPAS-INIFAP","","BAGENO","","","11896-OAX-1725","Flavio Aragón Cuevas","","","",""
"001e56bfbb2e3106d2dbfe2e2ff451f4","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","1631-DGO-171","Efraím Hernández-Xolocotzi Guzmán","","","",""
"00204de24dfc019096e3ec7a5981adfd","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","1157-CHIH-222","Efraím Hernández-Xolocotzi Guzmán","","","",""
"00229d01e82659e6e1b27482d6880c1c","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","2876-JAL-170","Efraím Hernández-Xolocotzi Guzmán","","","",""
"00256f5c2d19e03a7a53f3f3e4a5d427","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","5561-OAX-357","Efraím Hernández-Xolocotzi Guzmán","","","",""
"0027a513ba46f1078ed6fd4d9a40104a","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","5632-OAX-428","","","","",""
"002e4f0fad1d6993cd130f60c42f2bc6","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","4467-MICH-337","Efraím Hernández-Xolocotzi Guzmán","","","",""
"0037ea8be0dd5a78ea710103e64d32e4","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","9842-JAL-748","","","","",""
"0039e78404c99fa40fbd4894e8122323","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","100-CAMP-25","Efraím Hernández-Xolocotzi Guzmán","","","",""
"003b3bc4e3afc2b515f3c084dd59b9c3","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","1943-GTO-212","José Ron Parra","","","",""
"003e3c6e166b329f9eb22df48afc7d4a","PreservedSpecimen","Germoplasma en conservación","","CIMMYT","","CIMMYT","","","10303-T.spp-1821-39","","","","",""
"0040d88dc67c6bab3f43d00411daa9b1","PreservedSpecimen","Germoplasma en conservación","","ECOSUR","","CH","","","2002-0488-1","Hugo Perales Rivera","","","",""
"00411230c8a70bffd63a461f82bbc66f","PreservedSpecimen","Germoplasma en conservación","","ECOSUR","","CH","","","2002-1563-1","Hugo Perales Rivera","","","",""
"00489ec8705e8b70f5e82c82fbdbf74a","PreservedSpecimen","Germoplasma en conservación","","ECOSUR","","CH","","","2002-0771-1","Hugo Perales Rivera","","","",""
"00497ab8acfa56e0f5ab37cf0898b0a1","PreservedSpecimen","Germoplasma en conservación","","ECOSUR","","CH","","","2000-0385-4","Hugo Perales Rivera","","","",""
"004b50bcd3da8739570f52c51bdea61e","PreservedSpecimen","Germoplasma en conservación","","CIRPAS-INIFAP","","BAGENO","","","11709-OAX-1538","F Humberto Castro García; Simón Méndez","","","",""
"004e46c31e2a886fe1e5d7c34482662e","PreservedSpecimen","Germoplasma en conservación","","ECOSUR","","CH","","","2002-1421","Hugo Perales Rivera","","","",""
"004f12718837ad4a1b31cccfc8db64db","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","4890-NAY-146","","","","",""
"005c81149104777d30b2b1ec6331391e","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","4092-MEX-691","Abel Muñoz Orozco; Manuel Livera Muñoz; Agustín López Herrera; Carlos Aguirre González; Víctor Arturo González Hernández; José Luis Arellano Vázquez; C Sánchez; Mauro Balderas Muñoz","","","",""
"005f022e5adcfa5808be9acb63daa2c1","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","9715-GTO-387","","","","",""
"005f2f0874c58f614045caa547864c50","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","5016-NAY-272","","","","",""
"00605ec87bcd140cc1a004d63aea8ae1","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","8330-VER-447","José Manuel Fernández Brondo; Alberto Ramos Rodríguez","","","",""
"00622df7ce1a7da5feb0f0b9fb58bc96","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","4396-MICH-267","","","","",""
"00630ea050da18fe6c87b380491ea019","PreservedSpecimen","Germoplasma en conservación","","ECOSUR","","CH","","","2002-0660-1","Hugo Perales Rivera","","","",""
"0063b8d5a73ee22392dc3609ece750e3","PreservedSpecimen","Germoplasma en conservación","","CIMMYT","","CIMMYT","","","10290-T.spp-734-67","","","","",""
"0069e06508f77f11c0e979a0e88a70e8","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","10113-JSG-MAS-AAE-275","José de Jesús Sánchez González; Aguilar","","","",""
"006d01340dc244f6cfb9342793f6b408","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","2743-JAL-42","","","","",""
"00730d215ca03d5ac03c0b9e8e3954c1","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","7382-SON-151","Efraím Hernández-Xolocotzi Guzmán","","","",""
"00731d044e41d10b13f14c577d4643e8","PreservedSpecimen","Germoplasma en conservación","","CIRPAS-INIFAP","","BAGENO","","","11804-OAX-1633","F Humberto Castro García; Gerardo Villegas; Mateo Jiménez","","","",""
"007428fbcad2398ee789e7c8c2731c54","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","1417-COL-10","","","","",""
"007fa65ab4e1ed23fd213b8d53ee7910","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","8155-VER-246","A Vázquez","","","",""
"008956d4cf6825c6c5b8c82a1ce5d25e","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","4231-MICH-106","Efraím Hernández-Xolocotzi Guzmán","","","",""
"008bdf0683969e9eff1ac9718e8646f4","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","4363-MICH-235","","","","",""
"008be0b60916c1f403077367d3e47d40","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","6486-PUE-726","Abel Muñoz Orozco; Manuel Livera Muñoz; Agustín López Herrera; Carlos Aguirre González; Víctor Arturo González Hernández; José Luis Arellano Vázquez; C Sánchez; Mauro Balderas Muñoz","","","",""
"008cd4661e7c6c97ad4fe533b0e2d702","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","6630-QRO-25","J Refugio Villa Moreno","","","",""
"008ef0d6f4b9a256b7b98186c5b4381a","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","1660-DGO-200","Efraím Hernández-Xolocotzi Guzmán","","","",""
"008f4a4efaa6cd76c0320faeaaa129a1","PreservedSpecimen","Germoplasma en conservación","","ECOSUR","","CH","","","2002-1716-1","Hugo Perales Rivera","","","",""
"0097a18c9f1c5f4bfbef33b044b91ce7","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","2702-JAL-5","","","","",""
"00a03ab8694519ed6333a7bc6f06a8c5","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","11513-OAX-1342","Horacio Espinosa Paz","","","",""
"00a0954bb8f1d10ec98a85eb6836d029","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","6107-PUE-347","","","","",""
"00a5813510cf635bed0f9ea47d7b9fa3","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","5503-OAX-299","Efraím Hernández-Xolocotzi Guzmán","","","",""
"00aa63b7666746299d9b3ce6b42bd5b9","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","1104-CHIH-169","Efraím Hernández-Xolocotzi Guzmán","","","",""
"00afcfca83e2b3ab93150c98ce59ba81","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","203-CAMP-159","","","","",""
