"1,99-leftsiderels,1-rightside,121-dnasequences.dnasequence.text3","1,99-leftsiderels,1-rightside,121-dnasequences.dnasequence.text2","1,99-leftsiderels,1-rightside,121-dnasequences.dnasequence.moleculeType","1,99-leftsiderels,1-rightside,121-dnasequences,5-sequencer.dnasequence.sequencer"
54730234-a0b5-11ed-803c-6c2b597b15e2,DQ912042 ,12S,"Li, Chenhong"
5471b01b-a0b5-11ed-803c-6c2b597b15e2,FJ519589 ,CO1,"Wong, Eugene H-K"
5472f11a-a0b5-11ed-803c-6c2b597b15e2,FJ519590 ,CO1,"Wong, Eugene H-K"
547624ef-a0b5-11ed-803c-6c2b597b15e2,KC825799,ficd,"Orti, Guillermo"
5477026f-a0b5-11ed-803c-6c2b597b15e2,KC826027,Hoxc6a,"Broughton, Richard E"
5477ad88-a0b5-11ed-803c-6c2b597b15e2,KC826492,kiaa1239,"Orti, Guillermo"
5478a676-a0b5-11ed-803c-6c2b597b15e2,KC827129,myh6,"Broughton, Richard E"
5479728d-a0b5-11ed-803c-6c2b597b15e2,KC827555,Panx2,"Broughton, Richard E"
547b0d8b-a0b5-11ed-803c-6c2b597b15e2,KC828537,PTCHD1,"Lopez, Andres"
547f08d5-a0b5-11ed-803c-6c2b597b15e2,KC831081,zic1,"Broughton, Richard E"
5485e13f-a0b5-11ed-803c-6c2b597b15e2,KF929637,CO1,Barcode of Life Initiative
5475fa7a-a0b5-11ed-803c-6c2b597b15e2,KC825791,ficd,"Orti, Guillermo"
5477870f-a0b5-11ed-803c-6c2b597b15e2,KC826518,kiaa1239,"Orti, Guillermo"
5478860f-a0b5-11ed-803c-6c2b597b15e2,KC827120,myh6,"Broughton, Richard E"
54794cec-a0b5-11ed-803c-6c2b597b15e2,KC827450,Panx2,"Broughton, Richard E"
547a4f93-a0b5-11ed-803c-6c2b597b15e2,KC828305,plagl2,"Carpenter, Kent E"
547adb5e-a0b5-11ed-803c-6c2b597b15e2,KC828538,PTCHD1,"Lopez, Andres"
547b8c3e-a0b5-11ed-803c-6c2b597b15e2,KC828830,ripk4,"Carpenter, Kent E"
547dd80f-a0b5-11ed-803c-6c2b597b15e2,KC830249,tbr1,"Lopez, Andres"
5472b05c-a0b5-11ed-803c-6c2b597b15e2,AF488497 ,12S,"Berendzen, Peter B"
5473b220-a0b5-11ed-803c-6c2b597b15e2,AF488447 ,16S,"Berendzen, Peter B"
5485e189-a0b5-11ed-803c-6c2b597b15e2,KF930122,CO1,Barcode of Life Initiative
