1.collectionobject.guid,"1,23.collection.primaryPurpose","1,9-determinations,5-determiner.agent.guid","1,9-determinations,5-determiner.determination.determiner","1,9-determinations,5-determiner,49-groups.groupperson.orderNumber"
db8a709d-1ed3-11e3-bfac-90b11c41863e,Organism,ca49cfbc-3e8f-48ce-87e3-058295d344dc,"Cross, Frank B",
db8a73d4-1ed3-11e3-bfac-90b11c41863e,Organism,ca49cfbc-3e8f-48ce-87e3-058295d344dc,"Cross, Frank B",
db8a7705-1ed3-11e3-bfac-90b11c41863e,Organism,ca49cfbc-3e8f-48ce-87e3-058295d344dc,"Cross, Frank B",
db8a7a33-1ed3-11e3-bfac-90b11c41863e,Organism,ca49cfbc-3e8f-48ce-87e3-058295d344dc,"Cross, Frank B",
db8a7d63-1ed3-11e3-bfac-90b11c41863e,Organism,ca49cfbc-3e8f-48ce-87e3-058295d344dc,"Cross, Frank B",
db8a807f-1ed3-11e3-bfac-90b11c41863e,Organism,ca49cfbc-3e8f-48ce-87e3-058295d344dc,"Cross, Frank B",
db8a83a7-1ed3-11e3-bfac-90b11c41863e,Organism,ca49cfbc-3e8f-48ce-87e3-058295d344dc,"Cross, Frank B",
db8a86c7-1ed3-11e3-bfac-90b11c41863e,Organism,ca49cfbc-3e8f-48ce-87e3-058295d344dc,"Cross, Frank B",
db8a89e4-1ed3-11e3-bfac-90b11c41863e,Organism,ca49cfbc-3e8f-48ce-87e3-058295d344dc,"Cross, Frank B",
db8a8c75-1ed3-11e3-bfac-90b11c41863e,Organism,ca49cfbc-3e8f-48ce-87e3-058295d344dc,"Cross, Frank B",
db8a8eff-1ed3-11e3-bfac-90b11c41863e,Organism,ca49cfbc-3e8f-48ce-87e3-058295d344dc,"Cross, Frank B",
db8a9186-1ed3-11e3-bfac-90b11c41863e,Organism,ca49cfbc-3e8f-48ce-87e3-058295d344dc,"Cross, Frank B",
db8a940b-1ed3-11e3-bfac-90b11c41863e,Organism,ca49cfbc-3e8f-48ce-87e3-058295d344dc,"Cross, Frank B",
db8a9689-1ed3-11e3-bfac-90b11c41863e,Organism,ca49cfbc-3e8f-48ce-87e3-058295d344dc,"Cross, Frank B",
db8a9911-1ed3-11e3-bfac-90b11c41863e,Organism,ca49cfbc-3e8f-48ce-87e3-058295d344dc,"Cross, Frank B",
db8a9ba5-1ed3-11e3-bfac-90b11c41863e,Organism,ca49cfbc-3e8f-48ce-87e3-058295d344dc,"Cross, Frank B",
db8a9e36-1ed3-11e3-bfac-90b11c41863e,Organism,ca49cfbc-3e8f-48ce-87e3-058295d344dc,"Cross, Frank B",
db8aa0c0-1ed3-11e3-bfac-90b11c41863e,Organism,ca49cfbc-3e8f-48ce-87e3-058295d344dc,"Cross, Frank B",
db8aa345-1ed3-11e3-bfac-90b11c41863e,Organism,ca49cfbc-3e8f-48ce-87e3-058295d344dc,"Cross, Frank B",
db8aa5cd-1ed3-11e3-bfac-90b11c41863e,Organism,ca49cfbc-3e8f-48ce-87e3-058295d344dc,"Cross, Frank B",
db8aa84e-1ed3-11e3-bfac-90b11c41863e,Organism,ca49cfbc-3e8f-48ce-87e3-058295d344dc,"Cross, Frank B",
db8aaad1-1ed3-11e3-bfac-90b11c41863e,Organism,ca49cfbc-3e8f-48ce-87e3-058295d344dc,"Cross, Frank B",
db8aad5a-1ed3-11e3-bfac-90b11c41863e,Organism,ca49cfbc-3e8f-48ce-87e3-058295d344dc,"Cross, Frank B",
db8aafd6-1ed3-11e3-bfac-90b11c41863e,Organism,ca49cfbc-3e8f-48ce-87e3-058295d344dc,"Cross, Frank B",
db8ab256-1ed3-11e3-bfac-90b11c41863e,Organism,ca49cfbc-3e8f-48ce-87e3-058295d344dc,"Cross, Frank B",
db8ab4d5-1ed3-11e3-bfac-90b11c41863e,Organism,ca49cfbc-3e8f-48ce-87e3-058295d344dc,"Cross, Frank B",
db8ab752-1ed3-11e3-bfac-90b11c41863e,Organism,ca49cfbc-3e8f-48ce-87e3-058295d344dc,"Cross, Frank B",
db8ab9c8-1ed3-11e3-bfac-90b11c41863e,Organism,ca49cfbc-3e8f-48ce-87e3-058295d344dc,"Cross, Frank B",
db8abc3e-1ed3-11e3-bfac-90b11c41863e,Organism,ca49cfbc-3e8f-48ce-87e3-058295d344dc,"Cross, Frank B",
db8abebe-1ed3-11e3-bfac-90b11c41863e,Organism,ca49cfbc-3e8f-48ce-87e3-058295d344dc,"Cross, Frank B",
db8ac135-1ed3-11e3-bfac-90b11c41863e,Organism,ca49cfbc-3e8f-48ce-87e3-058295d344dc,"Cross, Frank B",
db8ac3b2-1ed3-11e3-bfac-90b11c41863e,Organism,ca49cfbc-3e8f-48ce-87e3-058295d344dc,"Cross, Frank B",
db8ac629-1ed3-11e3-bfac-90b11c41863e,Organism,ca49cfbc-3e8f-48ce-87e3-058295d344dc,"Cross, Frank B",
db8ac89f-1ed3-11e3-bfac-90b11c41863e,Organism,ca49cfbc-3e8f-48ce-87e3-058295d344dc,"Cross, Frank B",
db8acb20-1ed3-11e3-bfac-90b11c41863e,Organism,ca49cfbc-3e8f-48ce-87e3-058295d344dc,"Cross, Frank B",
db8acd98-1ed3-11e3-bfac-90b11c41863e,Organism,ca49cfbc-3e8f-48ce-87e3-058295d344dc,"Cross, Frank B",
db8ad00f-1ed3-11e3-bfac-90b11c41863e,Organism,ca49cfbc-3e8f-48ce-87e3-058295d344dc,"Cross, Frank B",
