identifier_target_id,identifier_target_type,identifier_type,identifier_value
dbdf3d21-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,1
dbdc3e6e-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,3
dc52635a-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,3
dc98a2d7-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,502
db21bc3a-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,504
db3e36bb-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,510
dcc0dc0b-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,511
dca93745-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,512
db6aee3e-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,514
dc9af16e-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,518
dc9bca28-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,521
dcce3955-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,529
dcb3ae31-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,530
db5a8d18-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,535
dc9921c6-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,536
db744975-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,537
dca3679c-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,538
dcc81e6a-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,539
db41fe9b-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,543
db59e9f9-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,547
db3dd87d-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,"554, 555"
db778731-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,558
dca20cb0-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,559
dcafc23e-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,583
db1d1559-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,585
dbd6338a-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,6372
dbd634e7-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,6372
dc9e0e1a-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,906
dcc71316-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,910
db1f40e9-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,911
db1e93cb-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,912
db4a64fd-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,916
db5d035a-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,918
db2956b8-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,919
db54d47f-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,922
db92ee65-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,?KBS 160? 163? HUC 11070204
db92f10a-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,?KBS 160? 163? HUC 11070204
dcadaa3e-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,?KBS 160? 163? HUC 11070204
dc507127-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,AEL 109
dc5032cc-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,AEL 182
dc506cfb-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,AEL 182
dc502c8a-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,AEL 34
dc5077c9-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,AEL 34
dc502ea2-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,AEL 443
dc502d95-1ed3-11e3-bfac-90b11c41863e,ORGANISM,ALTERNATE_CATALOG_NUMBER,AEL 466
