material_entity_id,material_entity_type,preparations,disposition,institution_code,institution_id,collection_code,collection_id,owner_institution_code,catalog_number,record_number,recorded_by,recorded_by_id,associated_references,associated_sequences,other_catalog_numbers,,,,,,,,,,
https://n2t.net/ark:/65665/373e72fc1-7fb8-438a-a4e5-568a4a8edd37,Organism,,in collection,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,FISH,urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f,USNM,FISH 431693,,Diane E. Pitassy,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/34a9569f6-78e8-49a1-b960-d27b61c26865,Organism,,in collection,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,FISH,urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f,USNM,FISH 431694,,Diane E. Pitassy,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/38ca56f68-ab14-4307-aa5b-f068203e6ee8,Tissue & Parts | Muscle,,in collection,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,FISH,urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f,USNM,FISH 431692,,Diane E. Pitassy,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/3d75a4f23-e20a-43bc-9515-967773adf82e,Tissue & Parts | Muscle,,in collection,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,FISH,urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f,USNM,FISH 431691,,Diane E. Pitassy,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/33290d6d9-144b-489c-a885-f99b3c672e9b,Tissue & Parts | Muscle,,in collection,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,FISH,urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f,USNM,FISH 431688,,Diane E. Pitassy,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/3e0a55792-e60c-4014-b0db-80892f6e0f34,Tissue & Parts | Muscle,,in collection,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,FISH,urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f,USNM,FISH 431692,,Diane E. Pitassy,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/36cfde439-d2a4-4028-8b55-fb8b7bcd3497,Organism,,in collection,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,FISH,urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f,USNM,FISH 431695,,Diane E. Pitassy,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/370c18f3f-66b5-4a4d-bab7-a35e441f16da,Organism,,in collection,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,FISH,urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f,USNM,FISH 431698,,Diane E. Pitassy,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/34fc453ec-b00d-4be3-9616-5120d23b323a,Organism,,in collection,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,FISH,urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f,USNM,FISH 431688,,Diane E. Pitassy,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/30685ffcb-af13-44a2-94fd-e68b93e583e8,Organism,,in collection,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,FISH,urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f,USNM,FISH 431689,,Diane E. Pitassy,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/3c5cbad0e-6227-492f-acc5-9e4a4a715d93,Tissue Sample,,in collection,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,FISH,urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f,USNM,FISH 431688,,Diane E. Pitassy,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/36f3223b5-d8ab-4f48-b6c7-7c3795e64545,Tissue Sample,,in collection,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,FISH,urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f,USNM,FISH 431689,,Diane E. Pitassy,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/3dbd9ae46-b707-4c20-ad78-53c79c443077,Tissue Sample,,in collection,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,FISH,urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f,USNM,FISH 431690,,Diane E. Pitassy,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/363ecefb4-67b4-45f2-9552-06798764fd8a,Tissue Sample,,in collection,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,FISH,urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f,USNM,FISH 431693,,Diane E. Pitassy,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/3003186b1-01c5-4fc9-bb04-c9206cb9dcd2,Tissue Sample,,in collection,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,FISH,urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f,USNM,FISH 431694,,Diane E. Pitassy,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/3881eba96-b081-4d39-a632-d8caeb78c3f4,Tissue Sample,,in collection,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,FISH,urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f,USNM,FISH 431695,,Diane E. Pitassy,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/3d298e329-9026-4512-ba8c-b5c8dc7a04d7,DNA,,in collection,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,FISH,urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f,USNM,FISH 431698,,Diane E. Pitassy,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/3c89155ce-e1a8-44d2-ac80-6a49bbbd8b76,Organism,,in collection,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,FISH,urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f,USNM,FISH 431696,,Diane E. Pitassy,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/35ca64f59-a623-4fb3-a7da-ff0321a5f63c,Tissue Sample,,in collection,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,FISH,urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f,USNM,FISH 431696,,Diane E. Pitassy,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/3c1ea2e90-2eeb-4c33-ba98-c2933cf709d3,Organism,,in collection,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,FISH,urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f,USNM,FISH 431690,,Diane E. Pitassy,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/34b41ec26-00f3-4b65-bb71-2e33be5db065,DNA,,in collection,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,FISH,urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f,USNM,FISH 431688,,Diane E. Pitassy,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/36906230b-f952-4841-bc1a-90b922dc3df7,DNA,,in collection,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,FISH,urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f,USNM,FISH 431689,,Diane E. Pitassy,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/3555ac63a-4bcd-4214-be5c-ca1d2fd1138f,DNA,,in collection,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,FISH,urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f,USNM,FISH 431690,,Diane E. Pitassy,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/382dcf9d4-24f5-4f1e-a5ab-c8fc7f33d796,DNA,,in collection,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,FISH,urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f,USNM,FISH 431691,,Diane E. Pitassy,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/3b4036337-79c6-4284-84c8-0416540c4e74,DNA,,in collection,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,FISH,urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f,USNM,FISH 431692,,Diane E. Pitassy,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/3d741a004-5686-4ca8-a8d5-5e8cbe53cf57,DNA,,in collection,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,FISH,urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f,USNM,FISH 431693,,Diane E. Pitassy,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/36811fab7-078e-4541-9862-be6212bf5434,DNA,,in collection,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,FISH,urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f,USNM,FISH 431694,,Diane E. Pitassy,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/3a9ac22d0-21dc-4306-912d-f5e9cd7ddf2b,DNA,,in collection,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,FISH,urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f,USNM,FISH 431695,,Diane E. Pitassy,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/34f87b283-48fc-4654-9d85-61c01f405d0e,DNA,,in collection,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,FISH,urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f,USNM,FISH 431696,,Diane E. Pitassy,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/38de6d0c6-e24c-4e6b-b213-21c03bba1404,DNA,,in collection,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,FISH,urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f,USNM,FISH 431698,,Diane E. Pitassy,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/37a606e36-f15e-44e3-90ab-7222e1e7b705,Tissue Sample,,in collection,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,FISH,urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f,USNM,FISH 431697,,Diane E. Pitassy,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/35c5f8206-3a79-42fa-b395-bb504a5cea61,DNA,,in collection,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,FISH,urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f,USNM,FISH 431697,,Diane E. Pitassy,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/345834662-c9aa-492e-9bbc-c64de74c5644,Organism,,in collection,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,FISH,urn:uuid:09c9cf5f-f5d3-48cc-b5c8-cd9b9fbd631f,USNM,FISH 431697,,Diane E. Pitassy,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/30f033e9f-5318-4bbc-a0fe-4cc703a5972e,Organism,Isopropyl Alcohol,in collection,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,IZ,urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6,USNM,IZ 1422357,,Katie Ahlfeld,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/3ccc88181-cc65-4b98-9623-f1f8dc9cdf05,Organism,,in collection,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,ENT,urn:uuid:18e3cd08-a962-4f0a-b72c-9a0b3600c5ad,USNM,ENT 9168029,,Patricia Gentili-Poole,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/399ad8b90-1502-40c4-a705-6e444a152640,Organism,,in collection,US,urn:lsid:biocol.org:col:15463,US,urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8,US,US 263618,,Marilyn Hansel,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/31ea38614-4f8d-4e70-9870-072d4d82cd2c,Organism,,in collection,US,urn:lsid:biocol.org:col:15463,US,urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8,US,US 2602155,,T. A. Francis,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/3d337d151-1644-4376-a763-f3039f0b66fa,Organism,,in collection,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,MAMM,urn:uuid:59e56a59-8615-4e0c-841d-eb88f3876b22,USNM,MAMM 20747,,,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/39112228a-a67b-4df9-907e-4b3a5f8aed18,Organism,,in collection,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,BIRDS,urn:uuid:73d83e23-1999-42cd-b38a-c06a7d32d893,USNM,BIRDS 89842,,Helen E. Melichar,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/3ec8042dd-f176-4181-874f-a1293e119b21,Organism,,in collection,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,BIRDS,urn:uuid:73d83e23-1999-42cd-b38a-c06a7d32d893,USNM,BIRDS 89843,,Helen E. Melichar,,,,,,,,,,,,,,
