agent_role_target_id,agent_role_target_type,agent_role_agent_id,agent_role_agent_name,agent_role_role,agent_role_began,agent_role_ended,agent_role_order,,,,,,,,,,,,,,,,,,
USGSCENOLOC_19050_19540900,EVENT,https://www.wikidata.org/wiki/Q84708760,Ellen James Moore,Collector,,,1,,,,,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/34753f84c-cdd4-44a6-80b7-1b118133ac0c,MATERIAL_ENTITY,https://orcid.org/0000-0001-7909-4166,Holly Little,Cataloger,,,1,,,,,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/30e746282-73bd-4c66-ab75-c6ec5d922dfd,MATERIAL_ENTITY,https://orcid.org/0000-0001-7909-4166,Holly Little,Cataloger,,,1,,,,,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/341353620-708c-4987-aa2e-91696748b071,MATERIAL_ENTITY,https://orcid.org/0000-0001-7909-4166,Holly Little,Cataloger,,,,,,,,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/30c64d7c7-5d15-42d6-b911-9895addb1545,MATERIAL_ENTITY,https://orcid.org/0000-0001-7909-4166,Holly Little,Cataloger,,,,,,,,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/35a3f612b-e674-4824-ba65-288f6af81b58,MATERIAL_ENTITY,https://orcid.org/0000-0001-7909-4166,Holly Little,Cataloger,,,,,,,,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/3a57efeb6-442a-4f34-ade7-87ca844ccd0f,MATERIAL_ENTITY,https://orcid.org/0000-0001-7909-4166,Holly Little,Cataloger,,,,,,,,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/3e4d68a9c-55d2-4310-96ec-2a71e1336d8b,MATERIAL_ENTITY,https://orcid.org/0000-0001-7909-4166,Holly Little,Cataloger,,,,,,,,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/3e382442a-b4e5-4618-b7f6-7119fc146d81,MATERIAL_ENTITY,https://orcid.org/0000-0001-7909-4166,Holly Little,Cataloger,,,,,,,,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/3274798f1-d0f4-4c59-8d8e-0a14b06f8c93,MATERIAL_ENTITY,https://orcid.org/0000-0001-7909-4166,Holly Little,Cataloger,,,,,,,,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/319198e92-16a0-4ee0-b6aa-6fc39c0c2394,MATERIAL_ENTITY,https://orcid.org/0000-0001-7909-4166,Holly Little,Cataloger,,,,,,,,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/32e4b358e-91f9-4dec-9437-96a3c14da107,MATERIAL_ENTITY,https://orcid.org/0000-0001-7909-4166,Holly Little,Cataloger,,,,,,,,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/3713f444d-9e74-4706-b6c7-1b315538223c,MATERIAL_ENTITY,https://orcid.org/0000-0001-7909-4166,Holly Little,Cataloger,,,,,,,,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/3068a5c66-c823-479d-a29d-43ba6de4c30f,MATERIAL_ENTITY,https://orcid.org/0000-0001-7909-4166,Holly Little,Cataloger,,,,,,,,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/3c4dd14f8-0198-4db5-9c18-a37727b2d2ea,MATERIAL_ENTITY,https://orcid.org/0000-0001-7909-4166,Holly Little,Cataloger,,,,,,,,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/3ce0ad528-92fc-4b8d-a074-54edc2a50ef5,MATERIAL_ENTITY,https://orcid.org/0000-0001-7909-4166,Holly Little,Cataloger,,,,,,,,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/33746cd02-ee05-4dd8-913a-c81feb391b5b,MATERIAL_ENTITY,https://orcid.org/0000-0001-7909-4166,Holly Little,Cataloger,,,,,,,,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/3bdb5fff7-4901-40ca-8fcb-5e0a11423d36,MATERIAL_ENTITY,https://orcid.org/0000-0001-7909-4166,Holly Little,Cataloger,,,,,,,,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/399adfb6a-49d4-45e7-b56c-33fb3716c54a,MATERIAL_ENTITY,https://orcid.org/0000-0001-7909-4166,Holly Little,Cataloger,,,,,,,,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/375cdb939-fe15-42ef-8a88-3a18573757e7,MATERIAL_ENTITY,https://orcid.org/0000-0001-7909-4166,Holly Little,Cataloger,,,,,,,,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/3cc15dcd2-986d-4707-88b3-65f2507ef2bc,MATERIAL_ENTITY,https://orcid.org/0000-0001-7909-4166,Holly Little,Cataloger,,,,,,,,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/3d1f55a1e-b6b5-479d-b131-d2d8c494440a,MATERIAL_ENTITY,https://orcid.org/0000-0001-7909-4166,Holly Little,Cataloger,,,,,,,,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/3f5c9051b-7e17-47e4-8ae1-07f79317ee80,MATERIAL_ENTITY,https://orcid.org/0000-0001-7909-4166,Holly Little,Cataloger,,,,,,,,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/m35b4ac3b5-5c89-4f15-9ae3-a3c601320e6f,DIGITAL_ENTITY,https://orcid.org/0000-0003-0581-2414,Alex Cano,Cataloger,,,,,,,,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/m3c60ca1b2-7bdc-4813-b3e2-e7d8efe06672,DIGITAL_ENTITY,https://orcid.org/0000-0003-0581-2414,Alex Cano,Cataloger,,,,,,,,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/m3f12be550-8c5c-402e-a723-8210fcad9b1b,DIGITAL_ENTITY,https://orcid.org/0000-0003-0581-2414,Alex Cano,Cataloger,,,,,,,,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/m3d377d437-ad0e-46c1-987b-55678fe762d8,DIGITAL_ENTITY,https://orcid.org/0000-0003-0581-2414,Alex Cano,Cataloger,,,,,,,,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/m3e8e2bd1a-9e80-42dc-a07e-66ddf861b70d,DIGITAL_ENTITY,https://orcid.org/0000-0003-0581-2414,Alex Cano,Cataloger,,,,,,,,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/m35d5de452-eed5-43e4-a015-5e777d0d7108,DIGITAL_ENTITY,https://orcid.org/0000-0003-0581-2414,Alex Cano,Cataloger,,,,,,,,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/m34ea4ba19-6824-4713-8dd7-a519c15237e9,DIGITAL_ENTITY,https://orcid.org/0000-0003-0581-2414,Alex Cano,Cataloger,,,,,,,,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/m3ed6e1cb9-9138-4b14-85b3-d728bea41c4b,DIGITAL_ENTITY,https://orcid.org/0000-0003-0581-2414,Alex Cano,Cataloger,,,,,,,,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/m30f52e113-d941-437c-8ce5-fd915fda206b,DIGITAL_ENTITY,https://orcid.org/0000-0003-0581-2414,Alex Cano,Cataloger,,,,,,,,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/m38ac53157-cb22-496a-a627-5cc998e09ab9,DIGITAL_ENTITY,https://orcid.org/0000-0003-0581-2414,Alex Cano,Cataloger,,,,,,,,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/m37e49c49a-fd7b-429c-869d-a9acfb329d3f,DIGITAL_ENTITY,https://orcid.org/0000-0003-0581-2414,Alex Cano,Cataloger,,,,,,,,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/m312e6c554-6692-4977-9979-46e414de526a,DIGITAL_ENTITY,https://orcid.org/0000-0003-0581-2414,Alex Cano,Cataloger,,,,,,,,,,,,,,,,,,,,,
https://n2t.net/ark:/65665/m389230955-76b1-4832-ada0-7a869a47533e,DIGITAL_ENTITY,https://orcid.org/0000-0003-0581-2414,Alex Cano,Cataloger,,,,,,,,,,,,,,,,,,,,,
