digital_entity_id,digital_entity_type,access_uri,web_statement,format,license,rights,rights_uri,access_rights,rights_holder,source,source_uri,creator,created ,modified,language,bibliographic_citation,,,,,,,
https://n2t.net/ark:/65665/m37e49c49a-fd7b-429c-869d-a9acfb329d3f,STILL_IMAGE,https://n2t.net/ark:/65665/m37e49c49a-fd7b-429c-869d-a9acfb329d3f,,tiff,CC0,CC0,https://www.si.edu/termsofuse,,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Pixel Acuity,,,EN,,,,,,,,
https://n2t.net/ark:/65665/m312e6c554-6692-4977-9979-46e414de526a,STILL_IMAGE,https://n2t.net/ark:/65665/m312e6c554-6692-4977-9979-46e414de526a,,tiff,CC0,CC0,https://www.si.edu/termsofuse,,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Pixel Acuity,,,EN,,,,,,,,
https://n2t.net/ark:/65665/m389230955-76b1-4832-ada0-7a869a47533e,STILL_IMAGE,https://n2t.net/ark:/65665/m389230955-76b1-4832-ada0-7a869a47533e,,tiff,CC0,CC0,https://www.si.edu/termsofuse,,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Pixel Acuity,,,EN,,,,,,,,
https://n2t.net/ark:/65665/m34e026d7a-a7b7-4256-87dd-6a1fa880fb37,STILL_IMAGE,https://n2t.net/ark:/65665/m34e026d7a-a7b7-4256-87dd-6a1fa880fb37,,tiff,CC0,CC0,https://www.si.edu/termsofuse,,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Pixel Acuity,,,EN,,,,,,,,
https://n2t.net/ark:/65665/m3c8b052a6-7c17-447c-b550-31a7855235b1,STILL_IMAGE,https://n2t.net/ark:/65665/m3c8b052a6-7c17-447c-b550-31a7855235b1,,tiff,CC0,CC0,https://www.si.edu/termsofuse,,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Pixel Acuity,,,EN,,,,,,,,
https://n2t.net/ark:/65665/m32ff8146f-c75f-4e54-9fc6-6caca3f2272a,STILL_IMAGE,https://n2t.net/ark:/65665/m32ff8146f-c75f-4e54-9fc6-6caca3f2272a,,tiff,CC0,CC0,https://www.si.edu/termsofuse,,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Pixel Acuity,,,EN,,,,,,,,
https://n2t.net/ark:/65665/m3751eb7f9-1cd9-4da4-aec9-b168fcd246ca,STILL_IMAGE,https://n2t.net/ark:/65665/m3751eb7f9-1cd9-4da4-aec9-b168fcd246ca,,tiff,CC0,CC0,https://www.si.edu/termsofuse,,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Pixel Acuity,,,EN,,,,,,,,
https://n2t.net/ark:/65665/m35cf34a97-5335-4ef2-bfce-56f0683476fb,STILL_IMAGE,https://n2t.net/ark:/65665/m35cf34a97-5335-4ef2-bfce-56f0683476fb,,tiff,CC0,CC0,https://www.si.edu/termsofuse,,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Pixel Acuity,,,EN,,,,,,,,
https://n2t.net/ark:/65665/m3d39385dc-cc6d-4fd4-921b-3e75ee5a5993,STILL_IMAGE,https://n2t.net/ark:/65665/m3d39385dc-cc6d-4fd4-921b-3e75ee5a5993,,tiff,CC0,CC0,https://www.si.edu/termsofuse,,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Pixel Acuity,,,EN,,,,,,,,
https://n2t.net/ark:/65665/m3c94cf647-4a15-4c54-8696-58a31b74e87d,STILL_IMAGE,https://n2t.net/ark:/65665/m3c94cf647-4a15-4c54-8696-58a31b74e87d,,tiff,CC0,CC0,https://www.si.edu/termsofuse,,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Pixel Acuity,,,EN,,,,,,,,
https://n2t.net/ark:/65665/m3e531827b-e596-4b16-917d-6ab91b70516b,STILL_IMAGE,https://n2t.net/ark:/65665/m3e531827b-e596-4b16-917d-6ab91b70516b,,tiff,CC0,CC0,https://www.si.edu/termsofuse,,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Pixel Acuity,,,EN,,,,,,,,
https://n2t.net/ark:/65665/m39d34e702-c686-4734-b3fe-9636f8eb125e,STILL_IMAGE,https://n2t.net/ark:/65665/m39d34e702-c686-4734-b3fe-9636f8eb125e,,tiff,CC0,CC0,https://www.si.edu/termsofuse,,Smithsonian Institution,"Specimen from Department of Paleobiology, NMNH, Smithsonian Institution.",,Pixel Acuity,,,EN,,,,,,,,
