assertion_id,assertion_target_id,assertion_target_type,assertion_parent_assertion_id,assertion_type,assertion_made_date,assertion_effective_date,assertion_value,assertion_value_numeric,assertion_unit,assertion_by_agent_name,assertion_by_agent_id,assertion_protocol,assertion_protocol_id,assertion_remarks
2ae0ef4c-e273-3d53-aa37-bcb1a5d839c9,dbb5dea4-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,270mm SL,,,,,,,
ca7bf09c-63ef-4b07-4bfd-bf94312fd731,dbb5dfa9-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,250mm SL,,,,,,,
c01efb01-5c08-0d72-da10-028159e98617,dbb5e0b1-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,250mm SL,,,,,,,
c7b889ad-c3d0-3e15-94b0-cec5a0d985cb,dbb5e1b5-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,260mm SL,,,,,,,
8f26fc3a-a8fa-a08f-97e9-236483cb014c,dbb5e2bf-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,190mm SL,,,,,,,
09f5e643-2ef7-19c6-5a8e-7af5f96f0a46,dbb5e411-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,320mm SL,,,,,,,
98360704-5135-65ff-763b-df4b34bc76c5,dbb5e553-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,210mm SL,,,,,,,
c91eabcc-c9f4-150d-09e7-a70a7d5385e5,dbb5e828-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,310mm SL,,,,,,,
33623488-a173-8b8e-4405-a7447e0565fe,dbb5e97a-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,330mm SL,,,,,,,
c1fd4c70-d0c6-e4b9-880a-788b4f168e7a,dbb5eac6-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,250mm SL,,,,,,,
656144da-793a-5198-14fa-3c2788fecd4b,dbb5eead-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,53mm SL,,,,,,,
57b2c8ca-fcc1-ff7a-5b97-19e74c685709,dbb5fe72-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,195mm SL,,,,,,,
de2f0c40-1cbb-9718-181e-f508418a7e55,dbb60080-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,270mm SL,,,,,,,
c1009b15-97af-371f-3a92-a32d88c56bfd,dbb6018a-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,260mm SL,,,,,,,
13a07836-4b22-7a02-77db-e0d0ae523ae9,dbb60294-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,290mm SL,,,,,,,
46c30db4-050f-4ea6-522f-147aa9095a7e,dbb6039d-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,210mm SL,,,,,,,
5676edac-2c85-c8ad-5229-d3751d3dd5f1,dbb604a9-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,350mm SL,,,,,,,
9b03a404-1070-11d5-bf14-1146fb429ce4,dbb606b6-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,140mm SL,,,,,,,
f8be654c-34d5-35ef-f1a3-8a30446cce2b,dbb607be-1ed3-11e3-bfac-90b11c41863e,ORGANISM,,LENGTH,,,255mm SL,,,,,,,
