digital_entity_id,digital_entity_type,access_uri,web_statement,format,license,rights,rights_uri,access_rights,rights_holder,source,source_uri,creator,created,modified,language,bibliographic_citation
urn:uuid:8855b558-aaeb-4fc5-82b4-a156bb0eedf9,STILL_IMAGE,https://www.soroherbaria.org/imglib/storage/portals/seinet/arizona/DBG_KHD/KHD00037/KHD00037285_lg.jpg,,image/jpeg,,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/publicdomain/zero/1.0/,,Public Domain,,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=3037588,,,,,
urn:uuid:26cf7abd-c6c5-4588-be7d-20d239e04d7a,STILL_IMAGE,https://www.soroherbaria.org/imglib/storage/portals/seinet/arizona/DBG_KHD/KHD00037/KHD00037401_lg.jpg,,image/jpeg,,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/publicdomain/zero/1.0/,,Public Domain,,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=3037589,,,,,
