identification_id,organism_id,identification_type,taxon_formula,verbatim_identification,type_status,identified_by,identified_by_id,date_identified,identification_references,identification_verification_status,identification_remarks,type_designation_type,type_designated_by
d511a9a7-4867-4083-8d10-fe223242b6d8,cd3fdc48-8047-4edd-bb04-e2c5ba229796,VISUAL,A,,,Sarah Ebeler-Monroe (ORCID 0000-0003-3756-1381),,9/8/2018,,,Determiner information updated 2021-01,,
e52247a3-275a-4181-aa52-1e9e76f2960d,4f6a6ac4-651b-4e8e-a1ee-45c459d29b99,VISUAL,A,Salix bebbiana Sarg.,,Janet L. Wingate,,3/2016,,,,,
a2c84e57-c057-4374-914c-e3c293864b59,d803cc65-fb2e-45f7-8b62-aabb84bf3e36,VISUAL,A,Salix monticola Bebb,,Gwen Kittel,,3/2019,,,,,
88030c85-8f1b-46e7-82c4-eec2828e4186,4f6a6ac4-651b-4e8e-a1ee-45c459d29b99,VISUAL,A,Salix bebbiana Sargent,,unknown,,unknown,,,,,
96328464-29e9-477f-bfc6-dab857ecd8a2,d803cc65-fb2e-45f7-8b62-aabb84bf3e36,VISUAL,A,Salix lucida Muhl.,,unknown,,s.d.,,,Annotated from Salix pseudolapponum to Salix lucida ssp caudata by Stanley Smookler (4/1999).,,
