digital_entity_id,digital_entity_type,access_uri,web_statement,format,license,rights,rights_uri,access_rights,rights_holder,source,source_uri,creator,created,modified,language
b2ec89a9-e27d-44ff-9cbe-8db981f97620,StillImage,http://biimages.biodiversity.ku.edu/static/Ichthyology/originals/sp65365530554603789020.att.jpg,,image/jpeg,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,,https://creativecommons.org/licenses/by/4.0/legalcode,,University of Kansas Biodiversity Institute,,,"User, Test C",10/3/2012,10/3/2012,
f05a6099-10db-450e-9de1-52cae1d6df4d,StillImage,http://biimages.biodiversity.ku.edu/static/Ichthyology/originals/sp67574053701031175314.att.jpg,,image/jpeg,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,,https://creativecommons.org/licenses/by/4.0/legalcode,,University of Kansas Biodiversity Institute,,,"User, Test C",10/3/2012,10/3/2012,
b3d321e8-6842-4c5e-bef7-a342bb6040ad,StillImage,http://biimages.biodiversity.ku.edu/static/Ichthyology/originals/sp66954741021531939572.att.jpg,,image/jpeg,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,,https://creativecommons.org/licenses/by/4.0/legalcode,,University of Kansas Biodiversity Institute,,,"User, Test C",10/3/2012,10/3/2012,
070f2b78-50cf-4e8d-acf4-937415edd505,StillImage,http://biimages.biodiversity.ku.edu/static/Ichthyology/originals/sp62707127243073542324.att.jpg,,image/jpeg,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,,https://creativecommons.org/licenses/by/4.0/legalcode,,University of Kansas Biodiversity Institute,,,"User, Test C",10/3/2012,10/3/2012,
7fe39a7c-81be-446d-97c1-9f862929ae82,StillImage,http://biimages.biodiversity.ku.edu/static/Ichthyology/originals/sp65275492967345878877.att.jpg,,image/jpeg,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,,https://creativecommons.org/licenses/by/4.0/legalcode,,University of Kansas Biodiversity Institute,,,"User, Test C",10/3/2012,10/3/2012,
c3cd575d-7ae4-4319-9203-fb95e074f23d,StillImage,http://biimages.biodiversity.ku.edu/static/Ichthyology/originals/sp68467303941352009530.att.jpg,,image/jpeg,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,,https://creativecommons.org/licenses/by/4.0/legalcode,,University of Kansas Biodiversity Institute,,,"User, Test C",10/3/2012,10/3/2012,
e8fce46a-1044-4d7e-aa93-08a9cb48160f,StillImage,http://biimages.biodiversity.ku.edu/static/Ichthyology/originals/sp62345321320690087135.att.jpg,,image/jpeg,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,,https://creativecommons.org/licenses/by/4.0/legalcode,,University of Kansas Biodiversity Institute,,,"User, Test C",10/3/2012,10/3/2012,
657398ae-759b-4f4c-98c5-458ac558b426,StillImage,http://biimages.biodiversity.ku.edu/static/Ichthyology/originals/sp61033933655202205936.att.jpg,,image/jpeg,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,,https://creativecommons.org/licenses/by/4.0/legalcode,,University of Kansas Biodiversity Institute,,,"User, Test C",10/3/2012,10/3/2012,
a33c6c63-7cce-4858-82db-c6aedec005f7,StillImage,http://biimages.biodiversity.ku.edu/static/Ichthyology/originals/sp6268967555530407003.att.jpg,,image/jpeg,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,,https://creativecommons.org/licenses/by/4.0/legalcode,,University of Kansas Biodiversity Institute,,,"User, Test C",10/3/2012,10/3/2012,
d7914e89-4dda-41d3-aa5b-4ca7a86cbf29,StillImage,http://biimages.biodiversity.ku.edu/static/Ichthyology/originals/sp67691845747084191201.att.jpg,,image/jpeg,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,,https://creativecommons.org/licenses/by/4.0/legalcode,,University of Kansas Biodiversity Institute,,,"User, Test C",10/3/2012,10/3/2012,
