material_entity_id,material_entity_type,preparations,disposition,institution_code,institution_id,collection_code,collection_id,owner_institution_code,catalog_number,record_number,recorded_by,recorded_by_id,associated_references,associated_sequences,other_catalog_numbers
cd3fdc48-8047-4edd-bb04-e2c5ba229796,ORGANISM,"whole organism (ethanol-fixed, stored in 75% ethanol)",in collection,NEON,,MAMC-VSS,https://biorepo.neonscience.org/portal/api/v2/collection/362132e9-de5e-4e2c-9b67-75d1d13e6c41,ASU,NEON01I3H,,Sarah Ebeler-Monroe (ORCID 0000-0003-3756-1381),,,,NEON sampleID: BONA.20180908.O004C1020180908.V; NEON sampleCode (barcode): D00000032533
439f7e06-49a5-4f40-9939-79a6ce85dc05,MATERIAL_SAMPLE,skull (dry),in collection,NEON,,MAMC-VSS,https://biorepo.neonscience.org/portal/api/v2/collection/362132e9-de5e-4e2c-9b67-75d1d13e6c41,ASU,NEON01I3H,,Sarah Ebeler-Monroe (ORCID 0000-0003-3756-1381),,,,NEON sampleID: BONA.20180908.O004C1020180908.V; NEON sampleCode (barcode): D00000032533
4f6a6ac4-651b-4e8e-a1ee-45c459d29b99,ORGANISM,,,DBG,,KHD,ca77be98-2a59-4aa9-bfc1-5ea615f2e6b7,,KHD00037285,2294,John B. Hartwell,,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=3037588,,SEINet:14100
d803cc65-fb2e-45f7-8b62-aabb84bf3e36,ORGANISM,,,DBG,,KHD,ca77be98-2a59-4aa9-bfc1-5ea615f2e6b7,,KHD00037401,2315,John B. Hartwell; C. William T. Penland,,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=3037589,,SEINet:14101
