assertion_id,assertion_target_id,assertion_target_type,assertion_parent_assertion_id,assertion_type,assertion_made_date,assertion_effective_date,assertion_value,assertion_value_numeric,assertion_unit,assertion_by_agent_name,assertion_by_agent_id,assertion_protocol,assertion_protocol_id,assertion_remarks
ffa334b8-4cd5-4b2c-98f8-00953d72ac99,4f6a6ac4-651b-4e8e-a1ee-45c459d29b99,MATERIAL_ENTITY,,measurement,2019-04-19T13:47:05Z,,fruiting,,,ricklevy,,,,Phenology: reproductive; http://purl.org/nevp/vocabulary/reproductive-phenology#03; http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#11
7a1ead0f-4017-452f-8261-bb32c3306d26,4f6a6ac4-651b-4e8e-a1ee-45c459d29b99,MATERIAL_ENTITY,,measurement,2019-04-19T13:47:04Z,,flowering,,,ricklevy,,,,Phenology: reproductive; http://purl.org/nevp/vocabulary/reproductive-phenology#03; http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#06
e6b4d91a-6fc5-4399-97b7-7c8db56b8159,4f6a6ac4-651b-4e8e-a1ee-45c459d29b99,MATERIAL_ENTITY,,measurement,2019-04-19T13:47:02Z,,reproductive,,,ricklevy,,,,Phenology (ver 1.0); http://purl.org/nevp/vocabulary/reproductive-phenology#01; http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#03
78298eab-c5cd-463e-a166-ec99d1a8baae,d803cc65-fb2e-45f7-8b62-aabb84bf3e36,MATERIAL_ENTITY,,measurement,2019-04-19T13:47:04Z,,flowering,,,ricklevy,,,,Phenology: reproductive; http://purl.org/nevp/vocabulary/reproductive-phenology#03; http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#06
4fe333c0-ea5c-4886-89be-f9bcc1c30b03,d803cc65-fb2e-45f7-8b62-aabb84bf3e36,MATERIAL_ENTITY,,measurement,2019-04-19T13:47:02Z,,reproductive,,,ricklevy,,,,Phenology (ver 1.0); http://purl.org/nevp/vocabulary/reproductive-phenology#01; http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#03
c32b9673-8b51-4e40-aaaa-f00a5e99a5f6,d803cc65-fb2e-45f7-8b62-aabb84bf3e36,MATERIAL_ENTITY,,measurement,2019-04-19T13:47:05Z,,fruiting,,,ricklevy,,,,Phenology: reproductive; http://purl.org/nevp/vocabulary/reproductive-phenology#03; http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#11
