material_entity_id,material_entity_type,preparations,disposition,institution_code,institution_id,collection_code,collection_id,owner_institution_code,catalog_number,record_number,recorded_by,recorded_by_id,associated_references,associated_sequences,other_catalog_numbers
5132213a2fd22ded5939b0fbb29b417d6372dfdb,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45658,,Miguel Santiz,MS,,,ECOSUR-SC:ECOAB:45658
f19e9c1df1ad7656414fbb9d6185f27d95137e98,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45660,,Jesús López,JL,,,ECOSUR-SC:ECOAB:45660
28a644792d0bf8c89f01789e57814f571f758156,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45665,,Miguel Santiz,MS,,,ECOSUR-SC:ECOAB:45665
95d2ff8a97d0411fdfbee007841696cedc9239a1,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45671,,Miguel Santiz,MS,,,ECOSUR-SC:ECOAB:45671
e2e036cbb06a5d7ea5257f6ce0235882178d46e0,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45681,,Marcos Hurtado,MH,,,ECOSUR-SC:ECOAB:45681
fe42f0a58fab14e312576b4c99398bd96e444860,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45683,,Philippe Sagot,PS,,,ECOSUR-SC:ECOAB:45683
6b81267cfb75f522eabaa17bf51cf27af95db756,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45687,,Jesús López,JL,,,ECOSUR-SC:ECOAB:45687
d6104ba2445bd902549ead2a425cce612e35b7c8,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45688,,Jesús López,JL,,,ECOSUR-SC:ECOAB:45688
3b43d1e1cbe0e5363095d5bbbd880e9542daec43,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45689,,Jesús López,JL,,,ECOSUR-SC:ECOAB:45689
6340c07e67f12c0da3b57069e6091f66978e83e6,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45702,,Jesús López,JL,,,ECOSUR-SC:ECOAB:45702
43bf92f50eadc98d63e03e20a5ad59227ab5746e,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45704,,Jesús López,JL,,,ECOSUR-SC:ECOAB:45704
e8b74bf56f36981bf9e5f10ccb5e4e4aa485732e,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45759,,Philippe Sagot,PS,,,ECOSUR-SC:ECOAB:45759
3903eb01df70ec9316c25994c3dcacec8567c8a0,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45761,,Philippe Sagot,PS,,,ECOSUR-SC:ECOAB:45761
124155d03ec9c8240c69a7ed128e4fba12fae707,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45764,,Carlos Balboa,CB,,,ECOSUR-SC:ECOAB:45764
1c8eddea76cebd4586a443c3bfc755a8fdd53363,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45767,,Philippe Sagot,PS,,,ECOSUR-SC:ECOAB:45767
6cc935997db2fe25d1e4d4a51b25718fbf26651d,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45768,,Philippe Sagot,PS,,,ECOSUR-SC:ECOAB:45768
89f60ceda442a2579be9af0fa4583dde6a79e5d1,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45769,,Philippe Sagot,PS,,,ECOSUR-SC:ECOAB:45769
bb7c9ed8fd3cf57e6b0a4e5fa737bb0682b2dd7a,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45771,,Carlos Balboa,CB,,,ECOSUR-SC:ECOAB:45771
