identification_id,organism_id,identification_type,taxon_formula,verbatim_identification,type_status,identified_by,identified_by_id,date_identified,identification_references,identification_verification_status,identification_remarks,type_designation_type,type_designated_by
67b1520b8f254e67304ae3be959e9d613e2e470f,cd34646c9be7c34942f4362b8705b6303b354e4b,features,A,,,M.Duennes,MD,,,,,,
532e5d1fd803ffc82c33143b64cad2cbc414b26a,bf2a39cc5849ceae2983bbfd69ca0e19a18fdcdb,features,A,,,M.Duennes,MD,,,,,,
1d7f461d8c419884921eb62a8c326ae301093d26,ffa011c4b1e111d189c331fa73f75131e81129bd,features,A,,,M.Duennes,MD,,,,,,
1c74d907515686e9436b20d34b4bb2518d31fc2e,a1ab9357474ee3300f8fced3d3dd8937932e31c7,features,A,,,M.Duennes,MD,,,,,,
4274ca1e095cb24ed4a0fd263cb1cea93e515ed4,a637d61364267f81ea2b54492fd370f38465ecb5,features,A,,,M.Duennes,MD,,,,,,
a073e37d0dfbb0fba3b551862f39ca023d6278a9,206f41a746d1a2559adc07087473cab3aa797c22,features,A,,,M.Duennes,MD,,,,,,
a3684574e6b0e020fa7d8c3caec2471b023dce9c,d66b6dcb386a418847d18a098ba374a991c78810,features,A,,,M.Duennes,MD,,,,,,
5cebb1df89644e7474dc70ef4220acf1891ecddd,67ec7afe38e35759bc34f12817c78e3df1317aef,features,A,,,M.Duennes,MD,,,,,,
42e74cdf7ab0edb455e0928946ae4f94bc8e55a4,fff4cefc3b3864c4da6da13b5f00f9c456276356,features,A,,,M.Duennes,MD,,,,,,
b05c81148e16f878466a45f70153aae1a8db7ec5,83ce9142ed32514604cbb7bb6c64fc1977e89b25,features,A,,,M.Duennes,MD,,,,,,
4bef9c082fd166042ef95186b3de0dbe120f188f,03a8aacffc13e0c7ed51ce083141eda8f00e72df,features,A,,,M.Duennes,MD,,,,,,
7e6442034e153295432a5d3925113b47ed5191ef,6b8391a59e9c3a1f05689d306e8b698358324af4,features,A,,,M.Duennes,MD,,,,,,
69f4393fa9f528ce8a9ab811c52405d404630740,8a5d190482384d1d7e746f99acc1e5ac85f5513e,features,A,,,M.Duennes,MD,,,,,,
81c8a77906d94977bd221232f20117e9776973db,e87bf9be977d4743336daed24614ec825266c5fd,features,A,,,Jorge Mérida,JM,,,,,,
05e383344877ca3179ba2bde6d027b81a1e31961,f150a7c4f3f1a133fe5b458788446072c100febb,features,A,,,Philippe Sagot,PS,,,,,,
57a9d4089a0b34351adcb535c4991605caec3dbf,96619568b0245100302b73d4233bdafc464bf4ed,features,A,,,Jorge Mérida,JM,,,,,,
f5849d303d91f8b4d1ab4d661bb9c9af16df081c,c8ee38f43f0576ad8405d1e50a874cc62c5ac971,features,A,,,Jorge Mérida,JM,,,,,,
c192fbb8d07f8c70e48ad1462a97c0d8c1425bcb,f242d71cd3f108afd88fee6aa92b03712e7efd8b,features,A,,,Jorge Mérida,JM,,,,,,
8f14eeb133d4a462861d77b1fa85f01f424c5c8c,14a5b47c5ce8c3404b5ccb99cf924fb4b1f8cbf4,features,A,,,Jorge Mérida,JM,,,,,,
7e710b3a379eb99a2eb98cc427510ae388a1a857,2db2187de3d663bea015574ec06cd56fab1c660d,features,A,,,Jorge Mérida,JM,,,,,,
7f28e00c6de474f7df8b8a28da353a260e2a05df,ee5960bf3c9bcef2cd6c6d332cb81df18c8ed0cb,features,A,,,Jorge Mérida,JM,,,,,,
92a7c054798cd0037295b0fabe1bb9c73fc1a649,b5b5ea5d3e589377a9e70952b5834d4ab1d766e1,features,A,,,Jorge Mérida,JM,,,,,,
