event_id,parent_event_id,dataset_id,location_id,protocol_id,event_type,event_name,field_number,event_date,year,month,day,verbatim_event_date,verbatim_locality,verbatim_elevation,verbatim_depth,verbatim_coordinates,verbatim_latitude,verbatim_longitude,verbatim_coordinate_system,verbatim_srs,habitat,protocol_description,sample_size_value,sample_size_unit,event_effort,field_notes,event_remarks
807b5a8b7c44ea2619f8490d7d06e5e059aad289,,conabio_bees,32779b605d76b14bbe3f547116543f2290fe7ed6,,OCCURRENCE,,,2012-06-26,2012,6,26,,,,,,,,,,,,,,,,
482cdbe7190e5e6654c5cd8f2559f59f560f5689,,conabio_bees,2d615996fc349d2d80b5704adf80f61fb00b16e2,,OCCURRENCE,,,2013-10-12,2013,10,12,,,,,,,,,,,,,,,,
cb4114b97b2518c3396deb0d38718f18537266a0,,conabio_bees,3ee92a503da9cf6fb540534d9f089cdadf7c6a42,,OCCURRENCE,,,2013-10-13,2013,10,13,,,,,,,,,,,,,,,,
7e30a1a3829f1c505efa7a4e3291ac59a341b464,,conabio_bees,29f7b199eb17cbb422ea50fb99abafb6f7505e0c,,OCCURRENCE,,,2010-12-12,2010,12,12,,,,,,,,,,,,,,,,
5158383aaa2eab2b7d555d53bb0909b3057a7ac0,,conabio_bees,0325f7f1cbf9c2c04556d4bb92d129a4d507dd6b,,OCCURRENCE,,,2010-04-15,2010,4,15,,,,,,,,,,,,,,,,
5b6e47ab18c8b4e34f3aaa01df24448bbb19c3ee,,conabio_bees,0360eae101b021bed9535fd2bd4ccce7762dbf02,,OCCURRENCE,,,2011-11-16,2011,11,16,,,,,,,,,,,,,,,,
525ef9da21512dedd78b482951475c4463c912a1,,conabio_bees,d085c8d666080dbe9d195b403e0fb45edebf66d2,,OCCURRENCE,,,2010-05-01,2010,5,1,,,,,,,,,,,,,,,,
0547dee91d72360ff1cd50b4d4d79e8df2cf9adb,,conabio_bees,3ee92a503da9cf6fb540534d9f089cdadf7c6a42,,OCCURRENCE,,,2013-10-13,2013,10,13,,,,,,,,,,,,,,,,
04bcb34b82ead0e4ed83f9d48671934b8f62885f,,conabio_bees,95570693bdd577291fc6aac2c25512331cc69eef,,OCCURRENCE,,,2010-04-08,2010,4,8,,,,,,,,,,,,,,,,
e68f83948904fe3eb8394dedfeb737332357ae1d,,conabio_bees,5a61e634ec49d3919b83a13434809a009040ffa1,,OCCURRENCE,,,2010-04-14,2010,4,14,,,,,,,,,,,,,,,,
937c80bc340948afd37890974000ecd470e81123,,conabio_bees,956ba4e17f3520fac3ba6c3d3de520528adb0d58,,OCCURRENCE,,,2010-11-18,2010,11,18,,,,,,,,,,,,,,,,
e5abca78ffd1bbdc36b5bf94ffcaed74fb14e3a9,,conabio_bees,dff1a5995821d967a7154ee5acf7da85d7af30b0,,OCCURRENCE,,,2013-10-02,2013,10,2,,,,,,,,,,,,,,,,
8f174b30d8c48487b44a6315f5103470903cf7b3,,conabio_bees,dff1a5995821d967a7154ee5acf7da85d7af30b0,,OCCURRENCE,,,2013-10-02,2013,10,2,,,,,,,,,,,,,,,,
