taxon_id,scientific_name,scientific_name_authorship,name_according_to,name_according_to_id,taxon_rank,taxon_source,scientific_name_id,taxon_remarks,parent_taxon_id,taxonomic_status,kingdom,phylum,class,order,family,subfamily,genus,subgenus,accepted_scientific_name
8ca42b373f506941c3b2118b72239641e4d83747,Canna indica,,,,species,,,"{""verbatimScientificName"": ""Canna indica""}",,,Plantae,Tracheophyta,Equisetopsida,Zingiberales,Cannaceae,,Canna,,
6603cf8c4371d2a49aa584f20694365ba621f2af,Allium glandulosum,,,,species,,,"{""verbatimScientificName"": ""Allium glandulosum""}",,,Plantae,Tracheophyta,Equisetopsida,Asparagales,Amaryllidaceae,,Allium,,
582ffee15bd0b265c4eeabdf8ff7fd55ac977d73,Rhamnaceae,,,,family,,,,,,Plantae,Tracheophyta,Equisetopsida,Rosales,Rhamnaceae,,,,
ca560d90c9dd92d9f26ec0bb7e0f8bf7ad2f4a78,Odontonema callistachyum,,,,species,,,"{""verbatimScientificName"": ""Odontonema callistachyum""}",,,Plantae,Tracheophyta,Equisetopsida,Lamiales,Acanthaceae,,Odontonema,,
22166b7bffd2e1805424e8aef7911168ff35f839,Pluchea,,,,genus,,,,,,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,,Pluchea,,
e54fd8534de84e5b06ffce4708a9aeb18ce2a04c,Buddleja,,,,genus,,,,,,Plantae,Tracheophyta,Equisetopsida,Lamiales,Scrophulariaceae,,Buddleja,,
7ee059463b60383783cbd7f76d853149af2765c3,Urticaceae,,,,family,,,,,,Plantae,Tracheophyta,Equisetopsida,Rosales,Urticaceae,,,,
fd41cda1db061fcfeb14c062261d3319d896185d,Enterolobium cyclocarpum,,,,species,,,"{""verbatimScientificName"": ""Enterolobium cyclocarpum""}",,,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,,Enterolobium,,
f9ba875f14b6a20e8c175437ff20a0aa29ec11d4,Commelina,,,,genus,,,,,,Plantae,Tracheophyta,Equisetopsida,Commelinales,Commelinaceae,,Commelina,,
eec1d2d9aa3ffea7b45540eb3974a58adf9d639d,Capsicum annuum,,,,species,,,"{""verbatimScientificName"": ""Capsicum annuum""}",,,Plantae,Tracheophyta,Equisetopsida,Solanales,Solanaceae,,Capsicum,,
b725d2792e8157b766a52aacc4a74ac52825d55f,Alloispermum,,,,genus,,,,,,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,,Alloispermum,,
e8e468b39c2466b0d46aaafb26494feeeeffbfa1,Aeschynomene,,,,genus,,,,,,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,,Aeschynomene,,
d4510cab32974b0a3aaeaf7f7a7a0d469b156a62,Smallanthus,,,,genus,,,,,,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,,Smallanthus,,
d79b1832e844e567d685853f2ecb6f584b937956,Begonia heracleifolia,,,,species,,,"{""verbatimScientificName"": ""Begonia heracleifolia""}",,,Plantae,Tracheophyta,Equisetopsida,Cucurbitales,Begoniaceae,,Begonia,,
73fe5485dce0cbc2f3e42c0036a9af2b48628a51,Lonchocarpus,,,,genus,,,,,,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,,Lonchocarpus,,
43f27eecbbc9442521c371acf104f1a3e928c378,Erythrina,,,,genus,,,,,,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,,Erythrina,,
e039bbba8ba7039d67191ff1ffdb95305eade180,Ageratum corymbosum,,,,species,,,"{""verbatimScientificName"": ""Ageratum corymbosum""}",,,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,,Ageratum,,
b452432a77fe3ebc36f017b2534380ecf91a68f4,Melastomataceae,,,,family,,,,,,Plantae,Tracheophyta,Equisetopsida,Myrtales,Melastomataceae,,,,
282665537cebcc8997328ca9bef64dd4a300131c,Citrus,,,,genus,,,,,,Plantae,Tracheophyta,Equisetopsida,Sapindales,Rutaceae,,Citrus,,
da8353dc81e69c5f212318293a2c7798e4909a76,Capsicum,,,,genus,,,,,,Plantae,Tracheophyta,Equisetopsida,Solanales,Solanaceae,,Capsicum,,
a8663e2976346b47c9186a03d22da979ad902f72,Hamelia,,,,genus,,,,,,Plantae,Tracheophyta,Equisetopsida,Gentianales,Rubiaceae,,Hamelia,,
84fc4aff2a6f66bf01678fbfb08a6d4c06427c76,Aphelandra scabra,,,,species,,,"{""verbatimScientificName"": ""Aphelandra scabra""}",,,Plantae,Tracheophyta,Equisetopsida,Lamiales,Acanthaceae,,Aphelandra,,
368b9bbe36ec2b6d029ae575935a37d369e26aa3,Solanum lycopersicum,,,,species,,,"{""verbatimScientificName"": ""Solanum lycopersicum""}",,,Plantae,Tracheophyta,Equisetopsida,Solanales,Solanaceae,,Solanum,,
