occurrenceID,relatedResourceID,resourceID,relationshipOfResource,relationshipOfResourceID
ECOSUR-SC:ECOAB:1152,SALSP,ECOSUR-SC:ECOAB:1152,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:1153,ASCCUR,ECOSUR-SC:ECOAB:1153,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:1166,PHACOC,ECOSUR-SC:ECOAB:1166,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:1168,MELDIV,ECOSUR-SC:ECOAB:1168,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:1169,ANOSP,ECOSUR-SC:ECOAB:1169,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:1172,COFARA,ECOSUR-SC:ECOAB:1172,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:1173,COFARA,ECOSUR-SC:ECOAB:1173,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:1174,COFARA,ECOSUR-SC:ECOAB:1174,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:1175,COFARA,ECOSUR-SC:ECOAB:1175,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:1176,FABFAM,ECOSUR-SC:ECOAB:1176,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:1178,COFARA,ECOSUR-SC:ECOAB:1178,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:11939,ACAFAM,ECOSUR-SC:ECOAB:11939,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:11940,LAMFAM,ECOSUR-SC:ECOAB:11940,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:11946,SIDSP,ECOSUR-SC:ECOAB:11946,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:11947,COFARA,ECOSUR-SC:ECOAB:11947,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:11950,TITSP,ECOSUR-SC:ECOAB:11950,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:11952,TITSP,ECOSUR-SC:ECOAB:11952,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:11953,FABFAM,ECOSUR-SC:ECOAB:11953,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:11954,OXASP,ECOSUR-SC:ECOAB:11954,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:11955,LAMFAM,ECOSUR-SC:ECOAB:11955,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:11958,EUPSP,ECOSUR-SC:ECOAB:11958,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:11959,COFARA,ECOSUR-SC:ECOAB:11959,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:11960,FABFAM,ECOSUR-SC:ECOAB:11960,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:11961,SIDSP,ECOSUR-SC:ECOAB:11961,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:11995,ANOSP,ECOSUR-SC:ECOAB:11995,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:11998,TITSP,ECOSUR-SC:ECOAB:11998,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120009,TECGRA,ECOSUR-SC:ECOAB:120009,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120010,TECGRA,ECOSUR-SC:ECOAB:120010,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120011,TECGRA,ECOSUR-SC:ECOAB:120011,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120012,TECGRA,ECOSUR-SC:ECOAB:120012,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120013,TECGRA,ECOSUR-SC:ECOAB:120013,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120014,TECGRA,ECOSUR-SC:ECOAB:120014,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120015,TECGRA,ECOSUR-SC:ECOAB:120015,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120016,TECGRA,ECOSUR-SC:ECOAB:120016,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120017,TECGRA,ECOSUR-SC:ECOAB:120017,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120018,TECGRA,ECOSUR-SC:ECOAB:120018,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120019,TECGRA,ECOSUR-SC:ECOAB:120019,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:12002,SIDSP,ECOSUR-SC:ECOAB:12002,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120020,TECGRA,ECOSUR-SC:ECOAB:120020,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120021,TECGRA,ECOSUR-SC:ECOAB:120021,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120022,TECGRA,ECOSUR-SC:ECOAB:120022,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120023,TECGRA,ECOSUR-SC:ECOAB:120023,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120024,TECGRA,ECOSUR-SC:ECOAB:120024,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120029,TECGRA,ECOSUR-SC:ECOAB:120029,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:12003,SYZSP,ECOSUR-SC:ECOAB:12003,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120030,TECGRA,ECOSUR-SC:ECOAB:120030,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120031,TECGRA,ECOSUR-SC:ECOAB:120031,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120032,TECGRA,ECOSUR-SC:ECOAB:120032,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120033,TECGRA,ECOSUR-SC:ECOAB:120033,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120035,TECGRA,ECOSUR-SC:ECOAB:120035,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120036,TECGRA,ECOSUR-SC:ECOAB:120036,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120037,TECGRA,ECOSUR-SC:ECOAB:120037,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120038,TECGRA,ECOSUR-SC:ECOAB:120038,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120039,TECGRA,ECOSUR-SC:ECOAB:120039,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120040,TECGRA,ECOSUR-SC:ECOAB:120040,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120041,TECGRA,ECOSUR-SC:ECOAB:120041,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120042,TECGRA,ECOSUR-SC:ECOAB:120042,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120054,TECGRA,ECOSUR-SC:ECOAB:120054,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120060,TECGRA,ECOSUR-SC:ECOAB:120060,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120061,TECGRA,ECOSUR-SC:ECOAB:120061,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:12007,SIDSP,ECOSUR-SC:ECOAB:12007,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:12008,SIDSP,ECOSUR-SC:ECOAB:12008,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120158,SACOFF,ECOSUR-SC:ECOAB:120158,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:120159,SACOFF,ECOSUR-SC:ECOAB:120159,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
