occurrenceID,collectionCode,catalogNumber,year,month,day,locationID,country,stateProvince,municipality,locality,decimalLatitude,decimalLongitude,minimumElevationInMeters,recordedByID,recordedBy,taxonID,identifiedByID,identifiedBy,eventDate,sex
ECOSUR-SC:ECOAB:1127,ECOAB,1127,2010,4,12,NARA,México,Chiapas,Ocosingo,Ocosingo,16.86149,92.10616,1290.0,MG,Miguel Guzmán,BOMEPH,MD,M.Duennes,2010-04-12,M
ECOSUR-SC:ECOAB:1128,ECOAB,1128,2010,2,2,CRUZ,México,Chiapas,Tenejapa,Cruz Pilar,16.8965,92.4505,1220.0,MC,Miguel Cigarroa,BOMEPH,MD,M.Duennes,2010-02-02,M
ECOSUR-SC:ECOAB:1130,ECOAB,1130,2010,2,2,CRUZ,México,Chiapas,Tenejapa,Cruz Pilar,16.8965,92.4505,1220.0,MC,Miguel Cigarroa,BOMEPH,MD,M.Duennes,2010-02-02,M
ECOSUR-SC:ECOAB:1131,ECOAB,1131,2010,2,4,CRUZ,México,Chiapas,Tenejapa,Cruz Pilar,16.8965,92.4505,1220.0,MG,Miguel Guzmán,BOMEPH,MD,M.Duennes,2010-02-04,M
ECOSUR-SC:ECOAB:1132,ECOAB,1132,2010,2,4,CRUZ,México,Chiapas,Tenejapa,Cruz Pilar,16.8965,92.4505,1220.0,MG,Miguel Guzmán,BOMEPH,MD,M.Duennes,2010-02-04,M
ECOSUR-SC:ECOAB:1133,ECOAB,1133,2010,2,4,CRUZ,México,Chiapas,Tenejapa,Cruz Pilar,16.8965,92.4505,1220.0,MG,Miguel Guzmán,BOMEPH,MD,M.Duennes,2010-02-04,M
ECOSUR-SC:ECOAB:1136,ECOAB,1136,2010,12,8,TZUL,México,Chiapas,San Juan Cancuc,Tzuluwitz,16.894,92.4019,1270.0,AL,Alonso López,BOMEPH,MD,M.Duennes,2010-12-08,M
ECOSUR-SC:ECOAB:1137,ECOAB,1137,2010,12,8,TZUL,México,Chiapas,San Juan Cancuc,Tzuluwitz,16.894,92.4019,1270.0,MC,Miguel Cigarroa,BOMEPH,MD,M.Duennes,2010-12-08,M
ECOSUR-SC:ECOAB:1138,ECOAB,1138,2010,12,8,TZUL,México,Chiapas,San Juan Cancuc,Tzuluwitz,16.894,92.4019,1270.0,CL,César López,BOMEPH,MD,M.Duennes,2010-12-08,M
ECOSUR-SC:ECOAB:1139,ECOAB,1139,2010,12,8,TZUL,México,Chiapas,San Juan Cancuc,Tzuluwitz,16.894,92.4019,1270.0,AL,Alonso López,BOMEPH,MD,M.Duennes,2010-12-08,M
ECOSUR-SC:ECOAB:1140,ECOAB,1140,2010,12,8,TZUL,México,Chiapas,San Juan Cancuc,Tzuluwitz,16.894,92.4019,1270.0,AL,Alonso López,BOMEPH,MD,M.Duennes,2010-12-08,M
ECOSUR-SC:ECOAB:1141,ECOAB,1141,2010,12,8,TZUL,México,Chiapas,San Juan Cancuc,Tzuluwitz,16.894,92.4019,1270.0,MC,Miguel Cigarroa,BOMEPH,MD,M.Duennes,2010-12-08,M
ECOSUR-SC:ECOAB:1142,ECOAB,1142,2010,12,8,TZUL,México,Chiapas,San Juan Cancuc,Tzuluwitz,16.894,92.4019,1270.0,CL,César López,BOMEPH,MD,M.Duennes,2010-12-08,M
ECOSUR-SC:ECOAB:1143,ECOAB,1143,2010,12,8,TZUL,México,Chiapas,San Juan Cancuc,Tzuluwitz,16.894,92.4019,1270.0,AL,Alonso López,BOMEPH,MD,M.Duennes,2010-12-08,M
ECOSUR-SC:ECOAB:1144,ECOAB,1144,2010,12,8,TZUL,México,Chiapas,San Juan Cancuc,Tzuluwitz,16.894,92.4019,1270.0,CL,César López,BOMEPH,MD,M.Duennes,2010-12-08,M
ECOSUR-SC:ECOAB:1145,ECOAB,1145,2010,12,8,TZUL,México,Chiapas,San Juan Cancuc,Tzuluwitz,16.894,92.4019,1270.0,AL,Alonso López,BOMEPH,MD,M.Duennes,2010-12-08,M
ECOSUR-SC:ECOAB:1146,ECOAB,1146,2010,12,8,TZUL,México,Chiapas,San Juan Cancuc,Tzuluwitz,16.894,92.4019,1270.0,CL,César López,BOMEPH,MD,M.Duennes,2010-12-08,M
ECOSUR-SC:ECOAB:1147,ECOAB,1147,2010,12,8,TZUL,México,Chiapas,San Juan Cancuc,Tzuluwitz,16.894,92.4019,1270.0,AL,Alonso López,BOMEPH,MD,M.Duennes,2010-12-08,M
ECOSUR-SC:ECOAB:1148,ECOAB,1148,2010,12,8,TZUL,México,Chiapas,San Juan Cancuc,Tzuluwitz,16.894,92.4019,1270.0,CL,César López,BOMEPH,MD,M.Duennes,2010-12-08,M
ECOSUR-SC:ECOAB:1149,ECOAB,1149,2010,12,8,TZUL,México,Chiapas,San Juan Cancuc,Tzuluwitz,16.894,92.4019,1270.0,MC,Miguel Cigarroa,BOMEPH,MD,M.Duennes,2010-12-08,M
ECOSUR-SC:ECOAB:1150,ECOAB,1150,2010,12,8,TZUL,México,Chiapas,San Juan Cancuc,Tzuluwitz,16.894,92.4019,1270.0,MC,Miguel Cigarroa,BOMEPH,MD,M.Duennes,2010-12-08,M
ECOSUR-SC:ECOAB:1151,ECOAB,1151,2010,12,8,TZUL,México,Chiapas,San Juan Cancuc,Tzuluwitz,16.894,92.4019,1270.0,CL,César López,BOMEPH,MD,M.Duennes,2010-12-08,M
ECOSUR-SC:ECOAB:1152,ECOAB,1152,2010,12,8,TZUL,México,Chiapas,San Juan Cancuc,Tzuluwitz,16.894,92.4019,1270.0,MC,Miguel Cigarroa,BOMEPH,MD,M.Duennes,2010-12-08,M
ECOSUR-SC:ECOAB:1153,ECOAB,1153,2010,12,8,TZUL,México,Chiapas,San Juan Cancuc,Tzuluwitz,16.894,92.4019,1270.0,AL,Alonso López,BOMEPH,MD,M.Duennes,2010-12-08,M
ECOSUR-SC:ECOAB:1166,ECOAB,1166,2010,2,4,TZUL,México,Chiapas,San Juan Cancuc,Tzuluwitz,16.894,92.4019,1270.0,CB,Carlos Balboa,BOMEPH,MD,M.Duennes,2010-02-04,M
ECOSUR-SC:ECOAB:1168,ECOAB,1168,2010,2,4,TZUL,México,Chiapas,San Juan Cancuc,Tzuluwitz,16.894,92.4019,1270.0,CB,Carlos Balboa,BOMEPH,MD,M.Duennes,2010-02-04,M
ECOSUR-SC:ECOAB:1169,ECOAB,1169,2010,2,4,TZUL,México,Chiapas,San Juan Cancuc,Tzuluwitz,16.894,92.4019,1270.0,CB,Carlos Balboa,BOMEPH,MD,M.Duennes,2010-02-04,M
ECOSUR-SC:ECOAB:1172,ECOAB,1172,2010,4,8,CHIJ,México,Chiapas,San Juan Cancuc,Chijil,16.947,92.4087,1095.0,CB,Carlos Balboa,BOMEPH,MD,M.Duennes,2010-04-08,M
ECOSUR-SC:ECOAB:1173,ECOAB,1173,2010,4,8,TZAJ,México,Chiapas,San Juan Cancuc,Tzajalchen,16.9474,92.3578,1020.0,MG,Miguel Guzmán,BOMEPH,MD,M.Duennes,2010-04-08,M
ECOSUR-SC:ECOAB:1174,ECOAB,1174,2010,4,7,TZAJ,México,Chiapas,San Juan Cancuc,Tzajalchen,16.9474,92.3578,1020.0,CB,Carlos Balboa,BOMEPH,MD,M.Duennes,2010-04-07,M
ECOSUR-SC:ECOAB:1175,ECOAB,1175,2010,4,8,CHIJ,México,Chiapas,San Juan Cancuc,Chijil,16.947,92.4087,1095.0,CB,Carlos Balboa,BOMEPH,MD,M.Duennes,2010-04-08,M
ECOSUR-SC:ECOAB:1176,ECOAB,1176,2010,4,7,TZUL,México,Chiapas,San Juan Cancuc,Tzuluwitz,16.894,92.4019,1270.0,CL,César López,BOMEPH,MD,M.Duennes,2010-04-07,M
ECOSUR-SC:ECOAB:1178,ECOAB,1178,2010,4,9,TZUL,México,Chiapas,San Juan Cancuc,Tzuluwitz,16.894,92.4019,1270.0,CL,César López,BOMEPH,MD,M.Duennes,2010-04-09,M
ECOSUR-SC:ECOAB:11939,ECOAB,11939,2010,4,8,CHIJ,México,Chiapas,San Juan Cancuc,Chijil,16.947,92.4087,1095.0,CB,Carlos Balboa,CALSP01,JM,Jorge Mérida,2010-04-08,M
ECOSUR-SC:ECOAB:11940,ECOAB,11940,2010,12,16,SNMI,México,Chiapas,Ocosingo,San Miguel,16.91399,91.95614,950.0,FR,Franklin Rocha,CALSP01,PS,Philippe Sagot,2010-12-16,M
ECOSUR-SC:ECOAB:11946,ECOAB,11946,2010,4,7,CHIJ,México,Chiapas,San Juan Cancuc,Chijil,16.947,92.4087,1095.0,MC,Miguel Cigarroa,CALSP01,JM,Jorge Mérida,2010-04-07,M
ECOSUR-SC:ECOAB:11947,ECOAB,11947,2010,4,7,TZUL,México,Chiapas,San Juan Cancuc,Tzuluwitz,16.894,92.4019,1270.0,CL,César López,CALSP01,JM,Jorge Mérida,2010-04-07,M
ECOSUR-SC:ECOAB:11950,ECOAB,11950,2010,4,30,JACA,Guatemala,Huehuetenango,Jacaltenango,Jacaltenango,15.68064,91.72623,1243.0,CB,Carlos Balboa,CALSP01,JM,Jorge Mérida,2010-04-30,M
ECOSUR-SC:ECOAB:11952,ECOAB,11952,2010,4,30,JACA,Guatemala,Huehuetenango,Jacaltenango,Jacaltenango,15.68064,91.72623,1243.0,CB,Carlos Balboa,CALSP01,JM,Jorge Mérida,2010-04-30,M
ECOSUR-SC:ECOAB:11953,ECOAB,11953,2010,4,30,SNAN,Guatemala,Huehuetenango,San Antonio Huista,San Andrés,15.71666,91.74551,940.0,MH,Marcos Hurtado,CALSP01,JM,Jorge Mérida,2010-04-30,M
ECOSUR-SC:ECOAB:11954,ECOAB,11954,2010,4,30,JACA,Guatemala,Huehuetenango,Jacaltenango,Jacaltenango,15.68064,91.72623,1243.0,LA,Leonel Aguilar,CALSP01,JM,Jorge Mérida,2010-04-30,M
ECOSUR-SC:ECOAB:11955,ECOAB,11955,2010,5,1,PINA,Guatemala,Huehuetenango,La Democracia,Pinalito,15.6653,91.8618,963.0,MH,Marcos Hurtado,CALSP01,JM,Jorge Mérida,2010-05-01,M
ECOSUR-SC:ECOAB:11958,ECOAB,11958,2010,4,30,SNAN,Guatemala,Huehuetenango,San Antonio Huista,San Andrés,15.71666,91.74551,940.0,JM,Jorge Mérida,CALSP01,JM,Jorge Mérida,2010-04-30,M
ECOSUR-SC:ECOAB:11959,ECOAB,11959,2010,4,17,CHIC,México,Chiapas,San Juan Cancuc,Chicja,16.9024,92.3595,1170.0,AL,Alonso López,CALSP01,JM,Jorge Mérida,2010-04-17,M
ECOSUR-SC:ECOAB:11960,ECOAB,11960,2010,4,30,SNAN,Guatemala,Huehuetenango,San Antonio Huista,San Andrés,15.71666,91.74551,940.0,PS,Philippe Sagot,CALSP01,JM,Jorge Mérida,2010-04-30,M
ECOSUR-SC:ECOAB:11961,ECOAB,11961,2010,12,10,TZUM,México,Chiapas,San Juan Cancuc,Tzumbal,16.9394,92.4434,1080.0,PS,Philippe Sagot,CALSP01,PS,Philippe Sagot,2010-12-10,M
ECOSUR-SC:ECOAB:11995,ECOAB,11995,2010,2,3,CHIC,México,Chiapas,San Juan Cancuc,Chicja,16.9024,92.3595,1170.0,MG,Miguel Guzmán,CALSP01,JM,Jorge Mérida,2010-02-03,F
ECOSUR-SC:ECOAB:11998,ECOAB,11998,2010,12,17,PLAN,México,Chiapas,Ocosingo,Ocosingo,16.89199,92.08374,880.0,MC,Miguel Cigarroa,CALSP01,PS,Philippe Sagot,2010-12-17,F
ECOSUR-SC:ECOAB:120009,ECOAB,120009,2018,5,25,TABBEJU,México,Tabasco,Tenosique,El Bejucal,17.32212,91.27428,116.0,,,EXASMA,JM,Jorge Mérida,2018-05-25,M
ECOSUR-SC:ECOAB:120010,ECOAB,120010,2018,5,25,TABBEJU,México,Tabasco,Tenosique,El Bejucal,17.32212,91.27428,116.0,,,TRIFUL,JM,Jorge Mérida,2018-05-25,M
ECOSUR-SC:ECOAB:120011,ECOAB,120011,2018,5,25,TABBEJU,México,Tabasco,Tenosique,El Bejucal,17.32212,91.27428,116.0,,,TRIFUL,JM,Jorge Mérida,2018-05-25,M
ECOSUR-SC:ECOAB:120012,ECOAB,120012,2018,5,25,TABBEJU,México,Tabasco,Tenosique,El Bejucal,17.32212,91.27428,116.0,,,TRIFUL,JM,Jorge Mérida,2018-05-25,M
ECOSUR-SC:ECOAB:120013,ECOAB,120013,2018,5,25,TABBEJU,México,Tabasco,Tenosique,El Bejucal,17.32212,91.27428,116.0,,,PARCAL,PS,Philippe Sagot,2018-05-25,M
ECOSUR-SC:ECOAB:120014,ECOAB,120014,2018,5,25,TABBEJU,México,Tabasco,Tenosique,El Bejucal,17.32212,91.27428,116.0,,,PARCAL,PS,Philippe Sagot,2018-05-25,M
ECOSUR-SC:ECOAB:120015,ECOAB,120015,2018,5,25,TABBEJU,México,Tabasco,Tenosique,El Bejucal,17.32212,91.27428,116.0,,,PARCAL,PS,Philippe Sagot,2018-05-25,F
ECOSUR-SC:ECOAB:120016,ECOAB,120016,2018,5,25,TABBEJU,México,Tabasco,Tenosique,El Bejucal,17.32212,91.27428,116.0,,,AUGNIG,PS,Philippe Sagot,2018-05-25,M
ECOSUR-SC:ECOAB:120017,ECOAB,120017,2018,5,25,TABBEJU,México,Tabasco,Tenosique,El Bejucal,17.32212,91.27428,116.0,,,AUGSID,PS,Philippe Sagot,2018-05-25,M
ECOSUR-SC:ECOAB:120018,ECOAB,120018,2018,5,25,TABBEJU,México,Tabasco,Tenosique,El Bejucal,17.32212,91.27428,116.0,,,LASEVY,PS,Philippe Sagot,2018-05-25,M
ECOSUR-SC:ECOAB:120019,ECOAB,120019,2018,5,25,TABBEJU,México,Tabasco,Tenosique,El Bejucal,17.32212,91.27428,116.0,,,LASDIA3GMC,PS,Philippe Sagot,2018-05-25,M
ECOSUR-SC:ECOAB:12002,ECOAB,12002,2010,4,6,CHIJ,México,Chiapas,San Juan Cancuc,Chijil,16.947,92.4087,1095.0,MG,Miguel Guzmán,CALSP01,JM,Jorge Mérida,2010-04-06,F
ECOSUR-SC:ECOAB:120020,ECOAB,120020,2018,5,25,TABBEJU,México,Tabasco,Tenosique,El Bejucal,17.32212,91.27428,116.0,,,PERCAU,PS,Philippe Sagot,2018-05-25,M
ECOSUR-SC:ECOAB:120021,ECOAB,120021,2018,5,25,TABBEJU,México,Tabasco,Tenosique,El Bejucal,17.32212,91.27428,116.0,,,PERCAU,PS,Philippe Sagot,2018-05-25,M
ECOSUR-SC:ECOAB:120022,ECOAB,120022,2018,5,25,TABBEJU,México,Tabasco,Tenosique,El Bejucal,17.32212,91.27428,116.0,,,PERCAU,PS,Philippe Sagot,2018-05-25,M
ECOSUR-SC:ECOAB:120023,ECOAB,120023,2018,5,25,TABBEJU,México,Tabasco,Tenosique,El Bejucal,17.32212,91.27428,116.0,,,PERCAU,PS,Philippe Sagot,2018-05-25,M
ECOSUR-SC:ECOAB:120024,ECOAB,120024,2018,5,25,TABBEJU,México,Tabasco,Tenosique,El Bejucal,17.32212,91.27428,116.0,,,PERCAU,PS,Philippe Sagot,2018-05-25,M
ECOSUR-SC:ECOAB:120029,ECOAB,120029,2018,5,25,TABBEJU,México,Tabasco,Tenosique,El Bejucal,17.32212,91.27428,116.0,,,MELSOL,JM,Jorge Mérida,2018-05-25,M
ECOSUR-SC:ECOAB:12003,ECOAB,12003,2010,4,7,TZUL,México,Chiapas,San Juan Cancuc,Tzuluwitz,16.894,92.4019,1270.0,CL,César López,CALSP01,JM,Jorge Mérida,2010-04-07,M
ECOSUR-SC:ECOAB:120030,ECOAB,120030,2018,5,25,TABBEJU,México,Tabasco,Tenosique,El Bejucal,17.32212,91.27428,116.0,,,MELSOL,JM,Jorge Mérida,2018-05-25,M
ECOSUR-SC:ECOAB:120031,ECOAB,120031,2018,5,25,TABBEJU,México,Tabasco,Tenosique,El Bejucal,17.32212,91.27428,116.0,,,MELBEE,JM,Jorge Mérida,2018-05-25,M
ECOSUR-SC:ECOAB:120032,ECOAB,120032,2018,5,25,TABBEJU,México,Tabasco,Tenosique,El Bejucal,17.32212,91.27428,116.0,,,EXOANA,PS,Philippe Sagot,2018-05-25,M
ECOSUR-SC:ECOAB:120033,ECOAB,120033,2018,5,25,TABBEJU,México,Tabasco,Tenosique,El Bejucal,17.32212,91.27428,116.0,,,LASEVY,PS,Philippe Sagot,2018-05-25,M
ECOSUR-SC:ECOAB:120035,ECOAB,120035,2018,5,24,TABFVI,México,Tabasco,Tenosique,Francisco Villa,17.269856863868,91.1867926338454,185.0,,,LOPAPI,PS,Philippe Sagot,2018-05-24,M
ECOSUR-SC:ECOAB:120036,ECOAB,120036,2018,5,24,TABFVI,México,Tabasco,Tenosique,Francisco Villa,17.269856863868,91.1867926338454,185.0,,,PARCAL,PS,Philippe Sagot,2018-05-24,M
ECOSUR-SC:ECOAB:120037,ECOAB,120037,2018,5,24,TABFVI,México,Tabasco,Tenosique,Francisco Villa,17.269856863868,91.1867926338454,185.0,,,EXOSIM,PS,Philippe Sagot,2018-05-24,M
ECOSUR-SC:ECOAB:120038,ECOAB,120038,2018,5,24,TABFVI,México,Tabasco,Tenosique,Francisco Villa,17.269856863868,91.1867926338454,185.0,,,EXOANA,PS,Philippe Sagot,2018-05-24,M
ECOSUR-SC:ECOAB:120039,ECOAB,120039,2018,5,24,TABFVI,México,Tabasco,Tenosique,Francisco Villa,17.269856863868,91.1867926338454,185.0,,,LASDIA3GMC,PS,Philippe Sagot,2018-05-24,M
ECOSUR-SC:ECOAB:120040,ECOAB,120040,2018,5,24,TABFVI,México,Tabasco,Tenosique,Francisco Villa,17.269856863868,91.1867926338454,185.0,,,PERCAU,PS,Philippe Sagot,2018-05-24,M
ECOSUR-SC:ECOAB:120041,ECOAB,120041,2018,5,24,TABFVI,México,Tabasco,Tenosique,Francisco Villa,17.269856863868,91.1867926338454,185.0,,,PERCAU,PS,Philippe Sagot,2018-05-24,M
ECOSUR-SC:ECOAB:120042,ECOAB,120042,2018,5,24,TABFVI,México,Tabasco,Tenosique,Francisco Villa,17.269856863868,91.1867926338454,185.0,,,PERCAU,PS,Philippe Sagot,2018-05-24,M
ECOSUR-SC:ECOAB:120054,ECOAB,120054,2018,5,21,TABFVI,México,Tabasco,Tenosique,Francisco Villa,17.269856863868,91.1867926338454,185.0,,,EUGVAR,JM,Jorge Mérida,2018-05-21,F
ECOSUR-SC:ECOAB:120060,ECOAB,120060,2018,5,24,TABFVI,México,Tabasco,Tenosique,Francisco Villa,17.269856863868,91.1867926338454,185.0,ATH,Adriana Tapia,TRICOR,JM,Jorge Mérida,2018-05-24,M
ECOSUR-SC:ECOAB:120061,ECOAB,120061,2018,5,24,TABFVI,México,Tabasco,Tenosique,Francisco Villa,17.269856863868,91.1867926338454,185.0,ATH,Adriana Tapia,PARBIL,JM,Jorge Mérida,2018-05-24,M
ECOSUR-SC:ECOAB:12007,ECOAB,12007,2010,4,7,CHIJ,México,Chiapas,San Juan Cancuc,Chijil,16.947,92.4087,1095.0,MC,Miguel Cigarroa,CALSP01,JM,Jorge Mérida,2010-04-07,F
ECOSUR-SC:ECOAB:12008,ECOAB,12008,2010,4,6,CHIJ,México,Chiapas,San Juan Cancuc,Chijil,16.947,92.4087,1095.0,MG,Miguel Guzmán,CALSP01,JM,Jorge Mérida,2010-04-06,F
ECOSUR-SC:ECOAB:120158,ECOAB,120158,2018,6,11,TABPSAB,México,Tabasco,Tenosique,Paso de la Sabana,17.4639177294193,91.5059020556633,19.0,,,EUGSP,JM,Jorge Mérida,2018-06-11,M
ECOSUR-SC:ECOAB:120159,ECOAB,120159,2018,6,11,TABPSAB,México,Tabasco,Tenosique,Paso de la Sabana,17.4639177294193,91.5059020556633,19.0,,,TRISP,JM,Jorge Mérida,2018-06-11,F
ECOSUR-SC:ECOAB:120160,ECOAB,120160,2018,6,11,TABPSAB,México,Tabasco,Tenosique,Paso de la Sabana,17.4639177294193,91.5059020556633,19.0,,,EXOSP,JM,Jorge Mérida,2018-06-11,F
ECOSUR-SC:ECOAB:120161,ECOAB,120161,2018,6,11,TABPSAB,México,Tabasco,Tenosique,Paso de la Sabana,17.4639177294193,91.5059020556633,19.0,,,MEGCAN,PS,Philippe Sagot,2018-06-11,M
ECOSUR-SC:ECOAB:120162,ECOAB,120162,2018,6,11,TABPSAB,México,Tabasco,Tenosique,Paso de la Sabana,17.4639177294193,91.5059020556633,19.0,,,LASDIA3GMA,PS,Philippe Sagot,2018-06-11,M
ECOSUR-SC:ECOAB:120163,ECOAB,120163,2018,6,11,TABPSAB,México,Tabasco,Tenosique,Paso de la Sabana,17.4639177294193,91.5059020556633,19.0,,,LASDIATEG,PS,Philippe Sagot,2018-06-11,M
ECOSUR-SC:ECOAB:120164,ECOAB,120164,2018,6,11,TABPSAB,México,Tabasco,Tenosique,Paso de la Sabana,17.4639177294193,91.5059020556633,19.0,,,LASDIA3GMC,PS,Philippe Sagot,2018-06-11,M
ECOSUR-SC:ECOAB:120166,ECOAB,120166,2018,6,11,TABPSAB,México,Tabasco,Tenosique,Paso de la Sabana,17.4639177294193,91.5059020556633,19.0,,,AUGLSP,JM,Jorge Mérida,2018-06-11,M
ECOSUR-SC:ECOAB:120167,ECOAB,120167,2018,6,11,TABPSAB,México,Tabasco,Tenosique,Paso de la Sabana,17.4639177294193,91.5059020556633,19.0,,,AUGLSP,JM,Jorge Mérida,2018-06-11,M
ECOSUR-SC:ECOAB:120168,ECOAB,120168,2018,6,11,TABPSAB,México,Tabasco,Tenosique,Paso de la Sabana,17.4639177294193,91.5059020556633,19.0,,,AUGLSP,JM,Jorge Mérida,2018-06-11,M
ECOSUR-SC:ECOAB:120176,ECOAB,120176,2018,5,25,TABBEJU,México,Tabasco,Tenosique,El Bejucal,17.32212,91.27428,116.0,,,LASDIA3GMA,PS,Philippe Sagot,2018-05-25,M
ECOSUR-SC:ECOAB:120177,ECOAB,120177,2018,5,25,TABBEJU,México,Tabasco,Tenosique,El Bejucal,17.32212,91.27428,116.0,,,LASDIATEG,PS,Philippe Sagot,2018-05-25,M
ECOSUR-SC:ECOAB:120183,ECOAB,120183,2018,5,16,TABIALL,México,Tabasco,Tenosique,Ignacio Allende,17.3102691858705,91.222696372577,195.0,,,PSEGRA,PS,Philippe Sagot,2018-05-16,M
ECOSUR-SC:ECOAB:120184,ECOAB,120184,2018,5,16,TABIALL,México,Tabasco,Tenosique,Ignacio Allende,17.3102691858705,91.222696372577,195.0,,,MEGPTISP1TG,PS,Philippe Sagot,2018-05-16,M
ECOSUR-SC:ECOAB:120185,ECOAB,120185,2018,5,16,TABIALL,México,Tabasco,Tenosique,Ignacio Allende,17.3102691858705,91.222696372577,195.0,,,PARCAL,PS,Philippe Sagot,2018-05-16,F
