occurrenceID,collectionCode,catalogNumber,year,month,day,locationID,country,stateProvince,municipality,locality,decimalLatitude,decimalLongitude,minimumElevationInMeters,recordedByID,recordedBy,taxonID,identifiedByID,identifiedBy,eventDate,sex
ECOSUR-SC:ECOAB:10125,ECOAB,10125,2012,6,26,JUANSAB2,México,Chiapas,San Cristóbal de Las Casas,Barrio Juan Sabines,16.709,92.6157,2130.0,PS,Philippe Sagot,BOMWES,PS,Philippe Sagot,2012-06-26,Q
ECOSUR-SC:ECOAB:10139,ECOAB,10139,2013,10,12,MIA2,México,Chiapas,Oxchuc,Mukulwitz,16.8019,92.32189,1972.0,JL,Jesús López,BOMWES,PS,Philippe Sagot,2013-10-12,M
ECOSUR-SC:ECOAB:10140,ECOAB,10140,2013,10,13,MIB1,México,Chiapas,Oxchuc,Retiro,16.78602,92.36719,2231.0,MS,Miguel Santiz,BOMWES,PS,Philippe Sagot,2013-10-13,M
ECOSUR-SC:ECOAB:10238,ECOAB,10238,2010,12,12,SIBA,México,Chiapas,Ocosingo,Sibaca,16.94469,92.18388,1107.0,FR,Franklin Rocha,BOMMED,PS,Philippe Sagot,2010-12-12,F
ECOSUR-SC:ECOAB:10242,ECOAB,10242,2010,4,15,ROSA,México,Chiapas,Ocosingo,Rosario,16.88589,92.27417,1118.0,MG,Miguel Guzmán,BOMPUL,JM,Jorge Mérida,2010-04-15,M
ECOSUR-SC:ECOAB:10346,ECOAB,10346,2011,11,16,SFA,México,Chiapas,La Trinitaria,San Francisco de Asís,16.0118,92.0267,767.0,JM,Jorge Mérida,BOMMEX,JM,Jorge Mérida,2011-11-16,Q
ECOSUR-SC:ECOAB:10347,ECOAB,10347,2010,5,1,PINA,Guatemala,Huehuetenango,La Democracia,Pinalito,15.6653,91.8618,963.0,MH,Marcos Hurtado,BOMMEX,JM,Jorge Mérida,2010-05-01,M
ECOSUR-SC:ECOAB:10416,ECOAB,10416,2013,10,13,MIB1,México,Chiapas,Oxchuc,Retiro,16.78602,92.36719,2231.0,JL,Jesús López,BOMEPH,PS,Philippe Sagot,2013-10-13,M
ECOSUR-SC:ECOAB:10423,ECOAB,10423,2010,4,8,CHIC,México,Chiapas,San Juan Cancuc,Chicja,16.9024,92.3595,1170.0,CL,César López,BOMEPH,MD,M.Duennes,2010-04-08,Q
ECOSUR-SC:ECOAB:10453,ECOAB,10453,2010,4,14,PLAN,México,Chiapas,Ocosingo,Ocosingo,16.89199,92.08374,880.0,PS,Philippe Sagot,BOMMED,JM,Jorge Mérida,2010-04-14,Q
ECOSUR-SC:ECOAB:10455,ECOAB,10455,2010,11,18,CAJU,Guatemala,Huehuetenango,La Democracia,Cajuil,15.63746,91.78722,1026.0,OA,Omar Argüello,BOMMED,PS,Philippe Sagot,2010-11-18,F
ECOSUR-SC:ECOAB:10470,ECOAB,10470,2013,10,2,MIU1,México,Chiapas,Oxchuc,El Calvario,16.7907,92.3452,1980.0,MS,Miguel Santiz,ANDDIS,PS,Philippe Sagot,2013-10-02,F
ECOSUR-SC:ECOAB:10472,ECOAB,10472,2013,10,2,MIU1,México,Chiapas,Oxchuc,El Calvario,16.7907,92.3452,1980.0,MS,Miguel Santiz,ANDDIS,PS,Philippe Sagot,2013-10-02,F
ECOSUR-SC:ECOAB:10594,ECOAB,10594,2013,10,11,MIA1,México,Chiapas,Oxchuc,Cerro Naj’ til Wits,16.80509,92.3606,1980.0,MS,Miguel Santiz,ANDDIS,PS,Philippe Sagot,2013-10-11,M
ECOSUR-SC:ECOAB:10657,ECOAB,10657,2014,10,21,BBOAX106,México,Oaxaca,San Andrés Paxtlán,Car. 175,16.21103,96.53598,2397.0,PS,Philippe Sagot,ANDBAR,PS,Philippe Sagot,2014-10-21,F
ECOSUR-SC:ECOAB:1114,ECOAB,1114,2010,2,8,ELIA,México,Chiapas,Ocosingo,Ocosingo,16.91625,92.13153,1110.0,JM,Jorge Mérida,BOMEPH,MD,M.Duennes,2010-02-08,M
ECOSUR-SC:ECOAB:1123,ECOAB,1123,2010,4,15,ROSA,México,Chiapas,Ocosingo,Rosario,16.88589,92.27417,1118.0,CB,Carlos Balboa,BOMEPH,MD,M.Duennes,2010-04-15,M
ECOSUR-SC:ECOAB:1124,ECOAB,1124,2010,4,15,ROSA,México,Chiapas,Ocosingo,Rosario,16.88589,92.27417,1118.0,MG,Miguel Guzmán,BOMEPH,MD,M.Duennes,2010-04-15,M
ECOSUR-SC:ECOAB:1125,ECOAB,1125,2010,4,9,NARA,México,Chiapas,Ocosingo,Ocosingo,16.86149,92.10616,1290.0,MC,Miguel Cigarroa,BOMEPH,MD,M.Duennes,2010-04-09,M
ECOSUR-SC:ECOAB:1126,ECOAB,1126,2010,4,12,NARA,México,Chiapas,Ocosingo,Ocosingo,16.86149,92.10616,1290.0,MG,Miguel Guzmán,BOMEPH,MD,M.Duennes,2010-04-12,M
