taxonID,scientificName,taxonRank,kingdom,phylum,class,order,family,genus,verbatimScientificName
CIRSP,Cirsium,genus,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,Cirsium,
BRAJUN,Brassica juncea,species,Plantae,Tracheophyta,Equisetopsida,Brassicales,Brassicaceae,Brassica,Brassica juncea
CUCSP,Cucurbita,genus,Plantae,Tracheophyta,Equisetopsida,Cucurbitales,Cucurbitaceae,Cucurbita,
TITSP,Tithonia,genus,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,Tithonia,
ANOSP,Anoda,genus,Plantae,Tracheophyta,Equisetopsida,Malvales,Malvaceae,Anoda,
IPOSP,Ipomoea,genus,Plantae,Tracheophyta,Equisetopsida,Solanales,Convolvulaceae,Ipomoea,
SIDSP,Sida,genus,Plantae,Tracheophyta,Equisetopsida,Malvales,Malvaceae,Sida,
TRXSP,Trixis,genus,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,Trixis,
CALMUL,Callisia multiflora,species,Plantae,Tracheophyta,Equisetopsida,Commelinales,Commelinaceae,Callisia,Callisia multiflora
TECSTA,Tecoma stans,species,Plantae,Tracheophyta,Equisetopsida,Lamiales,Bignoniaceae,Tecoma,Tecoma stans
SIGAGR,Sigesbeckia agrestis,species,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,Sigesbeckia,Sigesbeckia agrestis
DAHSP,Dahlia,genus,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,Dahlia,
MUSPAR,Musa paradisiaca,species,Plantae,Tracheophyta,Equisetopsida,Zingiberales,Musaceae,Musa,Musa paradisiaca
ZEAMAY,Zea mays,species,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,Zea,Zea mays
PHYSP,Physalis,genus,Plantae,Tracheophyta,Equisetopsida,Solanales,Solanaceae,Physalis,
SALSP,Salvia,genus,Plantae,Tracheophyta,Equisetopsida,Lamiales,Lamiaceae,Salvia,
LOGFAM,Loganiaceae,family,Plantae,Tracheophyta,Equisetopsida,Gentianales,Loganiaceae,,
ASTFAM,Asteraceae,family,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,,
ASCCUR,Asclepias curassavica,species,Plantae,Tracheophyta,Equisetopsida,Gentianales,Apocynaceae,Asclepias,Asclepias curassavica
MIMSP,Mimosa,genus,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,Mimosa,
PHACOC,Phaseolus coccineus,species,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,Phaseolus,Phaseolus coccineus
