1	1	Cortinarius sulphurinus var. fageticola	cf.		Tobias Frøslev		2013-10-06	urn:lsid:indexfungorum.org:names:259339	Cortinarius sulfurinus var. fageticola Brandrud
1	2	Cortinarius koldingensis			Tobias Frøslev|Thomas Stjernegaard Jeppesen	https://orcid.org/0000-0002-3530-013X|https://orcid.org/0000-0003-1691-239X	2015-08-21	urn:lsid:indexfungorum.org:names:812989	Cortinarius koldingensis Frøslev & T.S. Jeppesen
2	3	Cortinarius sulphurinus var. fageticola	cf.		Tobias Frøslev		2013-10-06	urn:lsid:indexfungorum.org:names:259339	Cortinarius sulfurinus var. fageticola Brandrud
2	4	Cortinarius koldingensis			Tobias Frøslev|Thomas Stjernegaard Jeppesen	https://orcid.org/0000-0002-3530-013X|https://orcid.org/0000-0003-1691-239X	2015-08-21	urn:lsid:indexfungorum.org:names:812989	Cortinarius koldingensis Frøslev & T.S. Jeppesen
3	5	Cortinarius koldingensis			Tobias Frøslev|Thomas Stjernegaard Jeppesen	https://orcid.org/0000-0002-3530-013X|https://orcid.org/0000-0003-1691-239X	2015-08-21	urn:lsid:indexfungorum.org:names:812989	Cortinarius koldingensis Frøslev & T.S. Jeppesen
