"llaveejemplar","location_id","parent_location_id","higher_geography_id","higher_geography","continent","waterbody","islandgroup","island","nombrepaismapa","country_code","state_province","county","municipality","locality","minimum_elevation_in_meters","maximum_elevation_in_meters","minimum_distance_above_surface_in_meters","maximum_distance_above_surface_in_meters","minimum_depth_in_meters","maximum_depth_in_meters","vertical_datum","location_according_to","location_remarks","accepted_georreference_id","accepted_georreference_context_id"
"8d2b1387b8eb57b3cb71bc2107dad366","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[{""nombre"":""Tehuacán-Cuicatlán"", ""tipo"":""Federal"", ""distancia"":""0.12 Kms""}], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","OAXACA","CONCEPCION PAPALO","","Concepción Pápalo","","","2170.0","","","","","Gacetero","","",""
"8d2ef5562f2902b6e3b3354c414aca09","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","CHIAPAS","MARQUES DE COMILLAS","","Nuevo San Isidro","","","178.0","","","","","Gacetero | INEGI, 2005","","",""
"8d35aa693dc951fe22423b80168fd713","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","CHIAPAS","LAS MARGARITAS","","Vergelito","","","1516.0","","","","","Gacetero | INEGI, 2005","","",""
"8d3bb71db80ea629a4c4cf93e92b8f71","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[{""nombre"":""Cerro Ayaqueme-Volcán Huehuel"", ""tipo"":""Estatal"", ""distancia"":""3.551 Kms""}], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","MEXICO","JUCHITEPEC","","Cuinco","","","2500.0","","","","","Gacetero | INEGI, 2005","","",""
"8d3c8191dd3a9cd183b1f66d570e71f2","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","HIDALGO","METEPEC","","Paraje: Rancho San Antonio, Pueblo: El Acocul","","","2151.0","","","","","Gacetero","","",""
"8d4211978221fda23668b1123ffcb829","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[{""nombre"":""Volcán Tacaná"", ""tipo"":""Estatal"", ""distancia"":""0.179 Kms""},{""nombre"":""Volcán Tacaná"", ""tipo"":""Federal"", ""distancia"":""0.273 Kms""}], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","CHIAPAS","UNION JUAREZ","","Talquián","","","1680.0","","","","","Gacetero | INEGI, 2005","","",""
"8d4864e427bb5d32a22098c26b8730e0","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","CHIAPAS","LAS MARGARITAS","","1 de Mayo","","","1850.0","","","","","Gacetero | INEGI, 2005","","",""
"8d5357383e8694026b45a4a348d794c8","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","YUCATAN","YAXCABA","","Yokdzonot","","","100.0","","","","","Gacetero","","",""
"8d53840de6dde10552307cff989aa971","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","CHIAPAS","OXCHUC","","El Cura","","","2000.0","","","","","Gacetero | INEGI, 2005","","",""
"8d5c712f14a959528efa42c05f8462e4","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","CHIAPAS","OXCHUC","","Tushaquilja","","","2160.0","","","","","Gacetero | INEGI, 2005","","",""
"8d5e4bb47f706f2c960e7b1b65e1a489","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[{""nombre"":""Cañón del Sumidero"", ""tipo"":""Federal"", ""distancia"":""3.295 Kms""}], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","CHIAPAS","CHIAPA DE CORZO","","Juan de Grijalva","","","495.0","","","","","Gacetero | INEGI, 2005","","",""
"8d620058201d29a72b46a02b56ed38f5","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[{""nombre"":""Sierra Hermosa"", ""tipo"":""Estatal"", ""distancia"":""2.314 Kms""}], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","MEXICO","TECAMAC","","Ozumbilla","","","2260.0","","","","","Gacetero | INEGI, 2005","","",""
"8d64943af2c8aa6fc33c0a22d3ad5d2e","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","PUEBLA","CALPAN","","San Lucas Atsala","","","2460.0","","","","","Gacetero | INEGI, 2005","","",""
"8d65410aa3424c781169f982e413e62f","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[{""nombre"":""Reserva Estatal Geohidrológica Anillo de Cenotes"", ""tipo"":""Estatal"", ""distancia"":""0 Kms""}], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","YUCATAN","TAHMEK","","Tahmek","","","30.0","","","","","Gacetero | INEGI, 2005","","",""
"8d6b3a90f252d4e14d70a80a8e01ea46","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","","","","","","","","","9999.0","","","","","","","",""
"8d76a22399b47e3f912b59e196030ded","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","MEXICO","AXAPUSCO","","SANTA MARIA ACTIPA","","","2440.0","","","","","Gacetero | INEGI, 2005","","",""
"8d7c1055261dd2ce6be9d8837b71af59","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","MEXICO","SAN FELIPE DEL PROGRESO","","San Felipe Progreso","","","2570.0","","","","","Gacetero | INEGI, 2005","","",""
"8d7f1599eeb7ade824b135d7d6db1cca","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","OAXACA","SAN PABLO HUITZO","","San Pablo Huitzo","","","1750.0","","","","","Gacetero | INEGI, 2005","","",""
"8d8d64e6aab93008ee06c60b4fe99517","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","","","","","","","","","9999.0","","","","","","","",""
"8d8df046933579545806276b21d8848a","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","JALISCO","ZAPOTLAN EL GRANDE","","Ciudad Guzman","","","1520.0","","","","","Gacetero","","",""
"8d8f05d89c13c2c87c1a9c22729a387f","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","CHIHUAHUA","BALLEZA","","BALLEZA","","","1610.0","","","","","Gacetero","","",""
"8d90391d81afa2cf06f14b196330f708","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","","","","","","","","","9999.0","","","","","","","",""
"8d95170d6547bc68e8b42a14e2b60259","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","CHIAPAS","LARRAINZAR","","Tentik","","","2100.0","","","","","Gacetero | INEGI, 2005","","",""
"8da1e81cb6af678d9d89927f781e8c55","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","CHIAPAS","HUIXTAN","","Chempil","","","2136.0","","","","","Gacetero","","",""
"8da8ae08fcbc23e62a7675a36e117a0e","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","CHIAPAS","CHAMULA","","Los Ranchos","","","2212.0","","","","","Gacetero | INEGI, 2005","","",""
"8dacce3fd64d69c2d252f4e664468406","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[{""nombre"":""Z.P.F. en los terrenos que se encuentran en los mpios. de La Concordia, Ángel Albino Corzo, Villa Flores y Jiquipilas"", ""tipo"":""Federal"", ""distancia"":""3.153 Kms""}], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","CHIAPAS","VILLAFLORES","","francisco villa","","","609.0","","","","","Gacetero","","",""
"8db3ec1db88c3566ef54f09dbe84f2fd","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","JALISCO","VALLE DE GUADALUPE","","San José","","","1860.0","","","","","Gacetero | INEGI, 2005","","",""
"8dbc47ea734bfb8be325ef54da2de7bd","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","OAXACA","SAN JUAN ATEPEC","","San Juan Atepec","","","2000.0","","","","","Gacetero | INEGI, 2005","","",""
"8dbf327edacc6daf18d9da0aad36f570","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","CHIAPAS","SILTEPEC","","Siltepec","","","1532.0","","","","","Gacetero","","",""
"8dc277ea7dcfeaaee7b2827df3f8fcb6","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","COLIMA","VILLA DE ALVAREZ","","Villa de Alvarez","","","530.0","","","","","Gacetero | INEGI, 2005","","",""
"8dc53412416d4c725f04da518c2eebc3","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","CHIAPAS","CHICOMUSELO","","San Antonio El Ocotal","","","642.0","","","","","Gacetero | INEGI, 2005","","",""
"8dc8b6afbc2e41c586a7ceac7c12feb2","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","CHIAPAS","IXHUATAN","","Chapayal Grande","","","779.0","","","","","Gacetero | INEGI, 2005","","",""
"8dcba0a928ac76c5de44616cfff68bb1","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","OAXACA","VILLA DE ETLA","","Santo Domingo Barrio Bajo","","","1601.0","","","","","Gacetero | INEGI, 2005","","",""
"8dcf2cbf6d4d00c68d1f52827ae34842","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","MICHOACAN DE OCAMPO","SALVADOR ESCALANTE","","El Guayabal","","","1680.0","","","","","Gacetero | INEGI, 2005","","",""
"8dd64c56a9003c4e7670e6a63ef2c781","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","JALISCO","VILLA HIDALGO","","Tepusco","","","1880.0","","","","","Gacetero | INEGI, 2005","","",""
"8ddc14e83f15cc1ab73597f4f4711609","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[{""nombre"":""Asthar"", ""tipo"":""Municipal"", ""distancia"":""4.311 Kms""}], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","HIDALGO","CHILCUAUTLA","","Paraje: El Camaleón, Pueblo: Chilcuautla","","","1865.0","","","","","Gacetero","","",""
"8ddd313c682afaffa1fd067765b3aba7","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[{""nombre"":""El Texcal"", ""tipo"":""Estatal"", ""distancia"":""1.288 Kms""},{""nombre"":""El Tepozteco"", ""tipo"":""Federal"", ""distancia"":""2.922 Kms""}], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","MORELOS","JIUTEPEC","","PROGRESO","","","1350.0","","","","","Gacetero | INEGI, 2005","","",""
"8ddd374540d5ed2b7ae0a1c0aaa1014a","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[{""nombre"":""Nevado de Toluca"", ""tipo"":""Federal"", ""distancia"":""2.619 Kms""}], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","MEXICO","ZINACANTEPEC","","San Juan de las Huertas","","","2860.0","","","","","Gacetero | INEGI, 2005","","",""
