"2,123-geocoorddetails.geocoorddetail.text1",location_id,decimal_latitude,decimal_longitude,geodetic_datum,coordinate_uncertainty_in_meters,coordinate_precision,point_radius_spatial_fit,footprint_wkt,footprint_srs,footprint_spatial_fit,georeferenced_by,georeferenced_date,georeference_protocol,georeference_source,georeference_remarks,preferred_spatial_representation
,6d960310-551a-424e-8b3e-254c761caa0a,38.92956,-101.91539,WGS84,,,,,,,,,,Provided georef,,
,d32e1a0a-b339-4b8d-9fae-f01f40636c32,,,WGS84,,,,,,,,,,,,
,b80f0618-7ae8-47e6-8733-06083c320bac,34.7451,-94.5275,WGS84,,,,,,,,,,GEOLocate,,
,41061af4-d838-4a72-a449-bd23166b6f26,35.4314995,-121.7120972,WGS84,,,,,,,,,,GEOLocate,,
,e26ef6ec-f602-4548-9c2c-58afe04eaa53,37.56027603,-97.69139099,WGS84,,,,,,,,,,Provided georef,,
,77e35b0b-1c6e-45bc-93ad-c749b7cab1cd,-17.3335,178.2728333,WGS84,,,,,,,,,,GEOLocate,,
,3d1e3a74-8491-4afb-945f-dc8800cbc3d0,37.25154,-94.80861,WGS84,,,,,,,,,,GEOLocate,,
,acbfcf6c-e80d-46e6-b6dd-b9201d25182a,51.2473984,-179.1694031,WGS84,,,,,,,,,,GEOLocate,,
,1cc464c1-6b17-40c9-aa4e-8258b275551c,29.5217,81.78,WGS84,,,,,,,,,,GEOLocate,,
,7eb9a17b-77a6-4c63-967c-d7c7220b4ef8,37.3513889,-96.5255556,WGS84,,,,,,,,,,GEOLocate,,
,3e5c2b65-6ff7-4034-9fe9-5eecc83e91f8,27.9996667,-94.9986667,WGS84,,,,,,,,,,GEOLocate,,
,c2d19fa2-6d90-4b65-ac50-cf22dc58e080,43.74695,-101.50944,WGS84,,,,,,,,,,GEOLocate,,
41500491-a0b8-11ed-803c-6c2b597b15e2,50b64708-8437-4f23-be52-39b101f0f070,-1.465037,-78.113335,WGS84,3000,,,,,,"Hernandez, Mariangeles A",,,GEOLocate,,
,4104d3d5-c3d4-4a69-bebd-afe0de43d519,38.4725,-94.6541667,WGS84,,,,,,,,,,GEOLocate,,
,bea0b3fc-cd6e-412a-a997-fa18f3622d8f,36.3731995,-122.2207031,WGS84,,,,,,,,,,GEOLocate,,
,db20d5d4-6c6b-4f2a-8924-6c075d02aa87,38.52277756,-99.29305267,WGS84,,,,,,,,,,Provided georef,,
,e1e49c27-971c-409d-895c-38e56475ca0b,33.0133,-87.1536,WGS84,,,,,,,,,,GEOLocate,,
,4abd68d0-0ab4-4ed4-8fbc-425d4536aedd,37.23916626,-100.1302795,WGS84,,,,,,,,,,Provided georef,,
41502970-a0b8-11ed-803c-6c2b597b15e2,f78048a2-009f-425a-ac23-39c2e0ed5c4f,-1.406415,-78.198035,WGS84,2081,,,,,,"Hernandez, Mariangeles A",,,GEOLocate,,
,2cb466b5-44b8-402f-a35d-67c32f7a85ea,-16.2398333,179.0881667,WGS84,,,,,,,,,,GEOLocate,,
,193d2f33-5644-4ad5-85f6-ab7d310ede93,31.14093,-87.114,WGS84,,,,,,,,,,GEOLocate,,
,e95dc97b-7577-4204-b2ac-abf83bf22fbb,35.9216,-94.8374,WGS84,,,,,,,,,,GEOLocate,,
,dff81f5f-01cd-4c55-8f0f-eeedee628eb8,37.09554,-97.11156,WGS84,,,,,,,,,,Provided georef,,
,5238c9ff-b529-477e-9fa2-7922dc9bf5f8,39.52183151,-96.28283691,WGS84,,,,,,,,,,Provided georef,,
,5391acd6-b19e-44d8-bf01-2cfe322b4c7f,38.76472,-93.02259,WGS84,,,,,,,,,,GEOLocate,,
,97b4de4b-64ed-4a9a-b0cd-6bb46ae9ff3d,33.9413,-94.7593,WGS84,,,,,,,,,,GEOLocate,,
,b089e01e-f935-4d19-8378-3b924972f41a,27.69547222,84.40994444,WGS84,,,,,,,,,,Provided georef,,
,7c41423e-d407-4d90-8d26-972e97c03146,10.1817,-63.16647,WGS84,,,,,,,,,,GEOLocate,,
,3bf2e068-5024-4c28-a12c-f885fd4fbc59,37.87138889,-100.6816667,WGS84,,,,,,,,,,GEOLocate,,
,79e3809c-8fa8-4f76-883f-ac1087115f67,51.2706985,-179.2118073,WGS84,,,,,,,,,,GEOLocate,,
,979b7035-0806-4b2d-9e4b-d046cec17cdb,-31.95,29.18333,WGS84,,,,,,,,,,GEOLocate,,
,f5b1e7c0-1f08-4fdf-8394-80b9dfdee206,-18.1491667,178.3988333,WGS84,,,,,,,,,,GEOLocate,,
,76938c40-f530-4df0-98a8-a6c6e9b43ff3,25.0525,-81,WGS84,,,,,,,,,,GEOLocate,,
,9c988cb5-9d69-4cad-800c-3c14939fb068,32.9216995,-117.2750015,WGS84,,,,,,,,,,GEOLocate,,
,6717e11c-59cd-4b7b-8ef8-6485428486f6,25.4166667,-77.8163889,WGS84,,,,,,,,,,GEOLocate,,
,f538409f-2dd8-47f3-b0f1-efe68baf6c72,38.351597,-96.355138,WGS84,,,,,,,,,,GEOLocate,,
,06293fbf-0e71-4663-a47a-ab048d8c2091,37.153598,-93.838378,WGS84,,,,,,,,,,GEOLocate,,
,9604e77d-a89b-4cde-8cfe-3dddd23dd768,34.1085,-95.1913,WGS84,,,,,,,,,,GEOLocate,,
414fd33a-a0b8-11ed-803c-6c2b597b15e2,cce96b57-2936-45ea-bf53-d79ce2c25b67,3.957994,-73.054528,WGS84,1345,,,,,,"Hernandez, Mariangeles A",,,GEOLocate,,
,abce5cb0-e464-4b71-98f9-8b1b1e2a68c9,40.45158,-93.58028,WGS84,,,,,,,,,,GEOLocate,,
,e0767da5-841b-471f-8d1b-00693b1c6c47,39.84745,-94.95008,WGS84,,,,,,,,,,GEOLocate,,
,a0df5fb5-2bcc-41fa-ba38-44678760e378,34.8358,-120.6625,WGS84,,,,,,,,,,GEOLocate,,
