"georreference_id"	"location_id"	"decimal_latitude"	"decimal_longitude"	"geodetic_datum"	"coordinate_uncertainty_in_meters"	"coordinate_precision"	"point_radius_spacial_fit"	"footprint_wkt"	"footprint_srs"	"footprint_spatial_fit"	"georreferenced_by"	"georreference_date"	"georreference_protocol"	"georreference_sources"	"georreference_remarks"	"preferred_spatial_representation"
"25537e4b08559ae63cfe78ed1f47a57d"	e35c4b5b3acb98f16fc3168fc4d2d37b	16.8941697	-96.7941697	WGS84	100.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"35ca95521458e7c7b1113330f342f67d"	"189ad9dde4da66317ed3161e78dc38f3"	19.2865297	-97.9199797	WGS84	80.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"66645ac09eb8a46d4a0ba15c95377a3c"	"2ba17409280abd4194b8d850c0f749a2"	20.0484444	-98.4716666	WGS84	80.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"28816c7d52db1466dcf89f4fd6c192da"	f62b1701af1356a079b7af8944124338	23.9733333	-103.6588888	WGS84	70.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
aa7fab02ba733c04b301bbd4e2313b82	"651a03117b65fbf817ee91b153709e63"	15.3341666	-92.2680555	WGS84	100.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
a3706f523b891b549da7f962c4138a97	"60419504de1d3db537c86006d48e14fc"	17.59861	-99.17667	WGS84	90.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
f1db3cdde6376a2e4594ea943e5141f9	ee7817e4d5392679c67cc4f55ef17680	19.99	-101.2755555	WGS84	80.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"44a406baf019b5e8184e4f4269021d5f"	"39784086d1d2f67a6a27f29637ea07f9"	15.3869397	-92.18778	WGS84	100.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"76b504cb43fe6c67f7b08ce9ff177e8c"	e454aa218e213c64d26f1262805f076b	19.1013897	-97.0744397	WGS84	80.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"251cc8da45665387d067f9f3aebd615a"	ccfd21749d2db6f41b5f394ab46633b6	19.3811111	-97.4338888	WGS84	80.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
acb1599403a5cc8b22f5c301ac6f7d35	"42f2305e38ce45b93a260364807d2dc1"	19.6586097	-98.89972	WGS84	80.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
