"taxon_id","identification_id","taxon_order","taxon_authority"
"71a3c27cdd182ea9d1322207e6e9ad5a","9b093f1afa4a68c66329e8cdbd4bdc23","","L., 1753"
fb4fb44f1c9a8bb0def8afba83e1192b,a13281327fdc307352105f89924cc0cf,"","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"401e0a8aaeb91d13c250a02035e13eb2","6f3f3225202498e831f9e96ebce85747","","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
fa2eea1001a1210b3648351571391502,e4271e645a91743f76b9c8e0f99a631c,"","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
f768a4c96838196046879594dfc5d40a,eddd3bf1d48de6017b10a26cb0e17ead,"","Hern.-Xol. & G. Alanis, 1970"
"71a3c27cdd182ea9d1322207e6e9ad5a","2c213e517410db1d93123a409ddca23c","","L., 1753"
"0ba4c0b10277e0b8b8a8afcb24bc4fa5","8e8eb941d142082ae5e84a95b58b4351","","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"0ba4c0b10277e0b8b8a8afcb24bc4fa5",a22761b540c3393164569d8bba9f541d,"","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
f768a4c96838196046879594dfc5d40a,"8e183686f94e6532cd3060e415964533","","Hern.-Xol. & G. Alanis, 1970"
"71a3c27cdd182ea9d1322207e6e9ad5a","0fcc80ce89f4145e7113339b008bd380","","L., 1753"
"47155761a1d0257d65a36d7863c886fb","142e9916277ff6ef78702a33f60ad6b7","","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"63d66b8004dc57a87a53c30b204260ec","79ab31e5d374294132010ad3c24bb159","","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"71a3c27cdd182ea9d1322207e6e9ad5a","6fed656ac3174a86e04d2405e11c00a7","","L., 1753"
"8686e77fbca63ea937265370d2650770","3ad789ace8d842af2a2055847c80613f","","R. Ortega, 1979"
"71f4b34aec9f705983f51a897ffcff70",e06120e000805493c984b146ec3d3434,"","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"71a3c27cdd182ea9d1322207e6e9ad5a","78b45f66bb5e54441dfc03522acb3d52","","L., 1753"
"0ba4c0b10277e0b8b8a8afcb24bc4fa5",e9e9602a89138dfdd46875f5508cda94,"","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
fa2eea1001a1210b3648351571391502,b1668b17f8935069e1e34a3f98e961a3,"","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"71a3c27cdd182ea9d1322207e6e9ad5a","66ce6448efc6274121c3377da61ef54a","","L., 1753"
e2b4b3e39409e76d56e2e110f6cd111b,fe27218ed15457e0bdcf1e255a840710,"","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"71a3c27cdd182ea9d1322207e6e9ad5a",c4b2df72b842c7f45dba96411cd21c45,"","L., 1753"
"0ba4c0b10277e0b8b8a8afcb24bc4fa5","05e5c060d0f768219de0b79900c98383","","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"63066f11c7d9d90ee651cd23ebf64543",f6f3331eec628c0e289b29233cb33281,"","de Wet & Brink, 1983"
"401e0a8aaeb91d13c250a02035e13eb2","2fd4b2ff7f295729218dfeeb89031938","","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
fb4fb44f1c9a8bb0def8afba83e1192b,"814f569543d77119dd116dd1d07258ad","","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"63d66b8004dc57a87a53c30b204260ec",eacf062257953b08f65b4c2d0f8bfc8a,"","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"71a3c27cdd182ea9d1322207e6e9ad5a",a68690f13b0ff191e7cbc34ee96ff2a5,"","L., 1753"
"63d66b8004dc57a87a53c30b204260ec","1b5c491360bd24211826f2fcea193c01","","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"71a3c27cdd182ea9d1322207e6e9ad5a","5c2da9c4a22d5a57045c649555d88893","","L., 1753"
"47155761a1d0257d65a36d7863c886fb",de0b1030b4b7f24394ee0c2404b5f05d,"","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"71a3c27cdd182ea9d1322207e6e9ad5a",a45fcacc40302c46140703cf8586f2cd,"","L., 1753"
"8fb7a8183c019ce987fa905762c3f4d5","97ac23a4cefb5aa13a345e5412cc8278","","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"71a3c27cdd182ea9d1322207e6e9ad5a",ee9fa138bcb98356af02ded8ee304068,"","L., 1753"
"71a3c27cdd182ea9d1322207e6e9ad5a",a6fa2c1c619b0fa156ba17f69a4be8c8,"","L., 1753"
d950c5d219c9308eff9562992a080168,"2f87adaef198def12f78996086298697","","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"71a3c27cdd182ea9d1322207e6e9ad5a","288b44379601b1fcbed231b226f8b1b7","","L., 1753"
fad88281166257ae7c9108b1c01af795,ccc6f35c5c42a3350e760e83472e6eb3,"","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"63d66b8004dc57a87a53c30b204260ec","8bfaed6372699b9872526f3a84bd553b","","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"71a3c27cdd182ea9d1322207e6e9ad5a","4ef53ed254729d578db2be667329e270","","L., 1753"
"71a3c27cdd182ea9d1322207e6e9ad5a",f0333a6fd06aa1e2240cfadfa80effe1,"","L., 1753"
"8fb7a8183c019ce987fa905762c3f4d5",bb71eaf3539df799333024a2e2a18557,"","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"7c6565197ecfd5269cb90d97f2d06aa2","80a9c772c0653a7af0ec0198247c3a31","","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"401e0a8aaeb91d13c250a02035e13eb2",b13de3c7296004bb6aaa4cab48dbc7fc,"","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
ebecc48395374835a349fd28ca7295a0,"4b4b5c23f4073538ecfcad8b45e31696","","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"71a3c27cdd182ea9d1322207e6e9ad5a",f024876c2da067f9d7460c125294a093,"","L., 1753"
"47155761a1d0257d65a36d7863c886fb",bfeb8658fe46358fe4c303ce98a37b76,"","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
bf883e16b2dc71b5313539b6904ea62a,"160cd327c5f1d8a02e57c40ec1ccbcce","",""
fa2eea1001a1210b3648351571391502,"536a2a1c7a9d1dad0b451e1f13332f93","","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"401e0a8aaeb91d13c250a02035e13eb2","4140aa14e1bfc052426d4c654abed314","","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
fa2eea1001a1210b3648351571391502,d34c115237283890f48fef02b1eab67f,"","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"63d66b8004dc57a87a53c30b204260ec","6f0f5c810fb70c5b84d2f7259f3a1c61","","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"71a3c27cdd182ea9d1322207e6e9ad5a",cec3f7f5ad043186c909d1cc0b145037,"","L., 1753"
d950c5d219c9308eff9562992a080168,a3268e3adca76ab4c23cbec8f51fdaeb,"","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
bb976ba17d78fbf2f93031e8f9a019d5,adb845e01578b4cdc87f062b3fd89b45,"","R. Ortega, 1979"
"63d66b8004dc57a87a53c30b204260ec",d680ce707f3a9ba3e0599cd34c20440c,"","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"71a3c27cdd182ea9d1322207e6e9ad5a","8a5ca154698f2cf6c6bea51794777e3c","","L., 1753"
"34b8a8a5362835022ce7e0c5a7c6fcaf","99e15b98215ad6cd11ab87585f2bc226","","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"47155761a1d0257d65a36d7863c886fb","309994aac392e2179a3939c0c114663a","","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
e2b4b3e39409e76d56e2e110f6cd111b,"562ae851c2ea5467a738e6827bd3a92e","","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"2e7c255e0be1d29cc62dde99149d11b7",dafdc239776ad2830bac4262548a6280,"","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
"71a3c27cdd182ea9d1322207e6e9ad5a","2f7a654ad3d53e5d509d0a27f4295a17","","L., 1753"
"8686e77fbca63ea937265370d2650770","2db45e39d5eb26cc4434cff29f21136f","","R. Ortega, 1979"
d950c5d219c9308eff9562992a080168,b7b0fce695f440e65ba4355f837d34eb,"","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
ebecc48395374835a349fd28ca7295a0,e8af3075c4eb04162a8ff33c14529dd4,"","E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951"
