citation_target_id	citation_target_type	citation_reference_id	citation_type	citation_page_number	citation_remarks
f88ee74f0792596e972ac3d9be31ff7c837640fd	PROTOCOL	a47f7e600b16fcb32d011eaba2cfabf76f9869f2	OTHER		
3783af9592d1bdf62a0390ce0ecc8c1eca1763e0	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
3783af9592d1bdf62a0390ce0ecc8c1eca1763e0	PROTOCOL	f62a5181290a24080a61f3e57671c5061bd9480b	OTHER		
51a99b6aa23688a3cdb65a69fdf79ebc71c2403d	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
51a99b6aa23688a3cdb65a69fdf79ebc71c2403d	PROTOCOL	f6145f077cc6f46f1b146ab48798fe076fe18be8	OTHER		
68feb0b6e8af9452b87ea374dae1ce51e4e1afa7	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
68feb0b6e8af9452b87ea374dae1ce51e4e1afa7	PROTOCOL	2b95caa4dfb5f63436f29e0748ef7790095b1f32	OTHER		
2154cff69eb19cca60a672dfa39308d8f8df99a6	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
2154cff69eb19cca60a672dfa39308d8f8df99a6	PROTOCOL	186a0a34263771f8526a31f7cdad7c61dcab6108	OTHER		
3478bed93c11ec183682dd45e3529afc8b890632	PROTOCOL	ca36fa4b6d1373ff7611b2013fe82d7686022227	OTHER		
3478bed93c11ec183682dd45e3529afc8b890632	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
fb45e3001d640f2d007ac23500890a151c6b5eed	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
fb45e3001d640f2d007ac23500890a151c6b5eed	PROTOCOL	5c1a311cc3f009e7ce4165c3b9e7c4df67c7d451	OTHER		
2b8f0329d711ce61d5dbc87ecb35b5a10805d514	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
6302c12fbd9a32c455038e3ad9495949b05254eb	PROTOCOL	a46fa03823cabbd5ffc58e33090cf8acf91f46f8	OTHER		
6302c12fbd9a32c455038e3ad9495949b05254eb	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
dfd24b78cc7efd9b66ef4741add080cfcfdb3b66	PROTOCOL	ef709e5dd932c1fe7cf96217197ce3c195833dc3	OTHER		
dfd24b78cc7efd9b66ef4741add080cfcfdb3b66	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
234be1534525b92ade9471acd7b0db6f22277cb8	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
234be1534525b92ade9471acd7b0db6f22277cb8	PROTOCOL	b1189402042ce96d7f0d8f45cf72460fdd2a1c8f	OTHER		
eb83e6a826df672951a4bb6c39731d27ff0925c0	PROTOCOL	373db5500b309f52c5a3dc5c391b89b1a424ab14	OTHER		
eb83e6a826df672951a4bb6c39731d27ff0925c0	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
fd4d4fb22f7fbf053bdb387ea0da1114f59f2757	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
fd4d4fb22f7fbf053bdb387ea0da1114f59f2757	PROTOCOL	ea43ffdc595ccf3c07a343ec4d3bf47df2ff2896	OTHER		
7c3d7fb1ecd9ce86b69d07e2f73bb608c50c490d	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
7c3d7fb1ecd9ce86b69d07e2f73bb608c50c490d	PROTOCOL	8cc180617131b14aee4ca0740b6959bcc3afc126	OTHER		
6ccb1e92c3fa95827cee9d101eb90c261ad7f69f	PROTOCOL	a47f7e600b16fcb32d011eaba2cfabf76f9869f2	OTHER		
6ccb1e92c3fa95827cee9d101eb90c261ad7f69f	PROTOCOL	4420fadd5a6fc3706dc99992c605505fde65a19b	OTHER		
b8d70d8febb11df7af8e1224d0930bfbd0e5c383	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
b8d70d8febb11df7af8e1224d0930bfbd0e5c383	PROTOCOL	f62a5181290a24080a61f3e57671c5061bd9480b	OTHER		
6ed644bd12dd65628bfe1a1162986a1beca3a8aa	PROTOCOL	f6145f077cc6f46f1b146ab48798fe076fe18be8	OTHER		
6ed644bd12dd65628bfe1a1162986a1beca3a8aa	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
78bf60a46e89db988c6372d4adc716bd3a25f054	PROTOCOL	2b95caa4dfb5f63436f29e0748ef7790095b1f32	OTHER		
78bf60a46e89db988c6372d4adc716bd3a25f054	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
5262bff3ca2ab4008b43a6151ec9f147ee1b7835	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
5262bff3ca2ab4008b43a6151ec9f147ee1b7835	PROTOCOL	186a0a34263771f8526a31f7cdad7c61dcab6108	OTHER		
acba982cec446e6bb55e9378f9af90c75b924bb7	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
acba982cec446e6bb55e9378f9af90c75b924bb7	PROTOCOL	ca36fa4b6d1373ff7611b2013fe82d7686022227	OTHER		
8560ce2d5689fa65e6860185e0a68f316df2205a	PROTOCOL	5c1a311cc3f009e7ce4165c3b9e7c4df67c7d451	OTHER		
8560ce2d5689fa65e6860185e0a68f316df2205a	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
dcc212ea57fd2c34f3f3d7562d4ce48e4c18ee90	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
