"taxon_id","scientific_name","scientific_name_authorship","name_according_to","taxon_rank","taxon_source","scientific_name_id","taxon_remarks","parent_taxon_id","taxonomic_status","kingdom","phylum","class","_order","family","subfamily","genus","subgenus","accepted_scientific_name","taxon_rank_infraespecificEpithet","infraespecificEpithet","taxon_rank_sub_infraespecificEpithet","subinfraespecificEpithet"
aec3abe07a734e644dd95535322a1a8a,Zea mays ,"L., 1753","Dávila, Mejía-Saulés, Soriano-Martínez & Herrera-Arrieta, 2018",especie,"","40309ANGIO","","",aceptado,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,Panicoideae,Zea,"","","","","",""
b156f39bf06f7181b2255b22e2d10aa8,Zea mays ,"L., 1753","Dávila, Mejía-Saulés, Soriano-Martínez & Herrera-Arrieta, 2018",especie,"","40309ANGIO","","",aceptado,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,Panicoideae,Zea,"","","","","",""
b4e29a15f4a5c6871e103d889c7baa32,Zea mays ,"L., 1753","Dávila, Mejía-Saulés, Soriano-Martínez & Herrera-Arrieta, 2018",especie,"","40309ANGIO","","",aceptado,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,Panicoideae,Zea,"","","","","",""
bf883e16b2dc71b5313539b6904ea62a,Zea mays ,"L., 1753","Dávila, Mejía-Saulés, Soriano-Martínez & Herrera-Arrieta, 2018",especie,"","40309ANGIO","","",aceptado,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,Panicoideae,Zea,"","","","","",""
df264d714f6f1093161a0bb2b5792d75,Zea mays ,"L., 1753","Dávila, Mejía-Saulés, Soriano-Martínez & Herrera-Arrieta, 2018",especie,"","40309ANGIO","","",aceptado,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,Panicoideae,Zea,"","","","","",""
efe54bd94e41439c03d0c5f26bd03520,Zea mays ,"L., 1753","Dávila, Mejía-Saulés, Soriano-Martínez & Herrera-Arrieta, 2018",especie,"","40309ANGIO","","",aceptado,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,Panicoideae,Zea,"","","","","",""
f4208f3e5ebf3932cfb36e3299dafffa,Zea mays ,"L., 1753","Dávila, Mejía-Saulés, Soriano-Martínez & Herrera-Arrieta, 2018",especie,"","40309ANGIO","","",aceptado,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,Panicoideae,Zea,"","","","","",""
"24905ff32f4fac91b49ee727acf8eb6f",Tripsacum bravum ,"J.R. Gray, 1976","Dávila, Mejía-Saulés, Soriano-Martínez & Herrera-Arrieta, 2018",especie,"","37634ANGIO","","",aceptado,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,Panicoideae,Tripsacum,"",Tripsacum bravum ,"","","",""
"99efb4d0f81396da4a09de1fdb5fdf62",Tripsacum dactyloides ,"(L.) L., 1759","Dávila, Mejía-Saulés, Soriano-Martínez & Herrera-Arrieta, 2018",especie,"","38335ANGIO","","",aceptado,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,Panicoideae,Tripsacum,"",Tripsacum dactyloides ,"","","",""
"7f27a055f6ec73ce488109fc4982d383",Zea diploperennis ,"Iltis, Doebley & R. Guzmán, 1979","Dávila, Mejía-Saulés, Soriano-Martínez & Herrera-Arrieta, 2018",especie,"","38468ANGIO","","",aceptado,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,Panicoideae,Zea,"",Zea diploperennis ,"","","",""
"9d755d5c69567a3a9f0f2c711cce8bc1",Tripsacum intermedium ,"de Wet & J.R. Harlan, 1982","Dávila, Mejía-Saulés, Soriano-Martínez & Herrera-Arrieta, 2018",especie,"","39677ANGIO","","",aceptado,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,Panicoideae,Tripsacum,"",Tripsacum intermedium ,"","","",""
