taxon_id	scientificName	scientific_name_authorship	name_according_to	name_according_to_id	taxon_rank	taxon_source	scientific_name_id	taxon_remarks	parent_taxon_id	taxonomic_status	kingdom	phylum	class	order	family	subfamily	genus	subgenus	accepted_scientific_name
02d896541d5f8456da9e90721566fd5c	Zea mays ssp. mays	Hern.-Xol. & G. Alanis, 1970	Ron Parra, Sánchez González, Jiménez Cordero, Carrera Valtierra, Martín López, Morales Rivera, de la Cruz Larios, Hurtado de la Peña, Mena Munguía & Rodríguez Flores, 2006		subspecies			race: Tablilla de Ocho		aceptado	Plantae	Tracheophyta	Equisetopsida	Poales	Poaceae	Panicoideae	Zea		
0395949c5e41ab0264baad9930ec3e6a	Zea mays ssp. mays	E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951	Ron Parra, Sánchez González, Jiménez Cordero, Carrera Valtierra, Martín López, Morales Rivera, de la Cruz Larios, Hurtado de la Peña, Mena Munguía & Rodríguez Flores, 2006		subspecies			race: Olotillo		aceptado	Plantae	Tracheophyta	Equisetopsida	Poales	Poaceae	Panicoideae	Zea		
061307a8134288aef098fa8a58811b2a	Zea mays ssp. mays	Hern.-Xol. & G. Alanis, 1970	Ron Parra, Sánchez González, Jiménez Cordero, Carrera Valtierra, Martín López, Morales Rivera, de la Cruz Larios, Hurtado de la Peña, Mena Munguía & Rodríguez Flores, 2006		subspecies			race: Tablilla de Ocho		aceptado	Plantae	Tracheophyta	Equisetopsida	Poales	Poaceae	Panicoideae	Zea		
06d762603b016d51c9f92fe8725a736f	Zea mays ssp. mays	E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951	Ron Parra, Sánchez González, Jiménez Cordero, Carrera Valtierra, Martín López, Morales Rivera, de la Cruz Larios, Hurtado de la Peña, Mena Munguía & Rodríguez Flores, 2006		subspecies			race: Nal-tel		aceptado	Plantae	Tracheophyta	Equisetopsida	Poales	Poaceae	Panicoideae	Zea		
074c7b2faac3f3565da08b90923aaed2	Zea mays ssp. mays	R. Ortega, 1979	Ron Parra, Sánchez González, Jiménez Cordero, Carrera Valtierra, Martín López, Morales Rivera, de la Cruz Larios, Hurtado de la Peña, Mena Munguía & Rodríguez Flores, 2006		subspecies			race: Ratón		aceptado	Plantae	Tracheophyta	Equisetopsida	Poales	Poaceae	Panicoideae	Zea		
07b2fd412f851b8d5b9a04b4c3369ac0	Zea mays ssp. mays	E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951	Ron Parra, Sánchez González, Jiménez Cordero, Carrera Valtierra, Martín López, Morales Rivera, de la Cruz Larios, Hurtado de la Peña, Mena Munguía & Rodríguez Flores, 2006		subspecies			race: Cónico		aceptado	Plantae	Tracheophyta	Equisetopsida	Poales	Poaceae	Panicoideae	Zea		
07c27d2cf1c92a380f6d872e4289304c	Zea mays ssp. mays	E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951	Ron Parra, Sánchez González, Jiménez Cordero, Carrera Valtierra, Martín López, Morales Rivera, de la Cruz Larios, Hurtado de la Peña, Mena Munguía & Rodríguez Flores, 2006		subspecies			race: Zapalote Grande		aceptado	Plantae	Tracheophyta	Equisetopsida	Poales	Poaceae	Panicoideae	Zea		
082ea2f9f9277d03e9a429ae6dade625	Zea mays ssp. mays	R. Ortega, 1979	Ron Parra, Sánchez González, Jiménez Cordero, Carrera Valtierra, Martín López, Morales Rivera, de la Cruz Larios, Hurtado de la Peña, Mena Munguía & Rodríguez Flores, 2006		subspecies			race: Elotero de Sinaloa		aceptado	Plantae	Tracheophyta	Equisetopsida	Poales	Poaceae	Panicoideae	Zea		
0ba4c0b10277e0b8b8a8afcb24bc4fa5	Zea mays ssp. mays	E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951	Ron Parra, Sánchez González, Jiménez Cordero, Carrera Valtierra, Martín López, Morales Rivera, de la Cruz Larios, Hurtado de la Peña, Mena Munguía & Rodríguez Flores, 2006		subspecies			race: Comiteco		aceptado	Plantae	Tracheophyta	Equisetopsida	Poales	Poaceae	Panicoideae	Zea		
0c3f5a42dac3d6f3918e17fcdb9ce2ab	Zea mays ssp. mays	R. Ortega, 1979	Ron Parra, Sánchez González, Jiménez Cordero, Carrera Valtierra, Martín López, Morales Rivera, de la Cruz Larios, Hurtado de la Peña, Mena Munguía & Rodríguez Flores, 2006		subspecies			race: Mushito		aceptado	Plantae	Tracheophyta	Equisetopsida	Poales	Poaceae	Panicoideae	Zea		
