georeference_id	location_id	decimal_latitude	decimal_longitude	geodetic_datum	coordinate_uncertainty_in_meters	coordinate_precision	point_radius_spacial_fit	footprint_wkt	footprint_srs	footprint_spatial_fit	georreferenced_by	georreference_date	georreference_protocol	georreference_sources	georreference_remarks	preferred_spatial_representation
ae5c656648da31725bc5ce0491b0cf19	7d2cb876195934385f263481dce47271	16.46083	-97.5275	WGS84	100.0										Conversión de sexagesimal a decimal	
4340f9510866e230c06050470d9cdf10	ce40df51f77b97e492cec5b624752191	17.3108297	-92.96083	WGS84	90.0										Conversión de sexagesimal a decimal	
7ba8190e1d23aab915f5a9a49ea79e20	1157e8ac1c419ff97f9c7c0097777dd4	23.9899997	-103.4599997	WGS84	70.0										Conversión de sexagesimal a decimal	
2f53fa05e900fe19e2b39944d9343ebd	75bff264752d858a6eb955b5a98711fb	17.8736111	-96.0225	WGS84	90.0										Conversión de sexagesimal a decimal	
a182f8976e01927ad712e8b2dc97f464	76a535c5862c0995cba3d94381f27a61	25.2088888	-106.5716666	WGS84	50.0										Conversión de sexagesimal a decimal	
b51c3366530eb62fbe0f5d857367f773	182f47802d48762e4c19e56a6ddf5db7	28.70917	-107.9002797	WGS84	60.0										Conversión de sexagesimal a decimal	
ecf11a8f1070eb007c3469f1a3c3e358	e1451f8023a8201f0508cd48c51c351e	20.5088897	-103.1705597	WGS84	80.0										Conversión de sexagesimal a decimal	
c2dafc637b899cd134db3dde9d42f57e	02834595360926a963938e309efa13f1	18.2333333	-96.8302777	WGS84	90.0										Conversión de sexagesimal a decimal	
9bd85f54625623052776742b1a920fd0	11c764a89b8389712e891c3e11e369d0	16.82139	-96.78139	WGS84	100.0										Conversión de sexagesimal a decimal	
4662eb2b00a689fcb96272f5efa6ca40	504ddbb7a80911db3ffd362a35b47d11	19.30917	-101.77611	WGS84	90.0										Conversión de sexagesimal a decimal	
b0eeef6bb922847710be48d5158fd4a3	bdc5e568422c3141483106d997a25289	19.7319391	-89.9671752	WGS84	80.0										Conversión de sexagesimal a decimal	
ea0bec4388d42bed3e47d4801217a7b1	588ad8e99247690004ece2666ae688af	20.0814597	-100.48936	WGS84	80.0										Conversión de sexagesimal a decimal	
3f26d0ec3d09d00e6f85e501d61d7189	2f3c1fd3f9023e298856314435805980	20.9066694	-103.8280561	WGS84	80.0										Conversión de sexagesimal a decimal	
