"organism_id"	"organism_scope"	"accepted_identification_id"
"0004c0d795cf78a81e7e41fb7b9adef7"	""	"8a18dbddc27fc6e2ae9651495afd458d"
"000ac673fad14b0037e1ec163a629937"	""	e13c3b3a3c0fd179fb3a882ccf39f72f
"0011bdaf3ee95d05ee5557b5d3255c4d"	""	"7ea4a9e07dc3c69a7c1688a61a57cdf1"
"0018f2c1ad0186711b4f1b574c129cd4"	""	c11b24493df4b68259e4d58c26777581
"001e56bfbb2e3106d2dbfe2e2ff451f4"	""	f8b824a8a92f0d213dd725e0d92d3e76
"00204de24dfc019096e3ec7a5981adfd"	""	"99db3d2f7d2ebdef80d7261860dfed21"
"00229d01e82659e6e1b27482d6880c1c"	""	"4ffa3271f28b0c4cb493e7a3e65153a2"
"00256f5c2d19e03a7a53f3f3e4a5d427"	""	"6215064d299751cb6126c33db2c458b7"
"0027a513ba46f1078ed6fd4d9a40104a"	""	"18a277aaa437055effc1a2f637f26cb6"
"002e4f0fad1d6993cd130f60c42f2bc6"	""	"9865d74cce4e4d7771c7f148cf14f57f"
"0037ea8be0dd5a78ea710103e64d32e4"	""	"7bfb241eaf7b0f5a804bf483727f8425"
"0039e78404c99fa40fbd4894e8122323"	""	"1a1f9dad72d9ca65f87182276b7fa036"
"003b3bc4e3afc2b515f3c084dd59b9c3"	""	a2b13450e8f6acc6f6d3608a44de4b39
"003e3c6e166b329f9eb22df48afc7d4a"	""	"45df6e968577c39463eaa3c30c2c2475"
"0040d88dc67c6bab3f43d00411daa9b1"	""	"73ac1f6e4acb6545d4a961853fcb8562"
"00411230c8a70bffd63a461f82bbc66f"	""	"084aeffca5c8d0d5140e445814543edc"
"00489ec8705e8b70f5e82c82fbdbf74a"	""	"7a16e25a9011566edb3331aab250fb66"
"00497ab8acfa56e0f5ab37cf0898b0a1"	""	cdc9708fc366390bcfd6cc4f51fb9c96
"004b50bcd3da8739570f52c51bdea61e"	""	ad4b29ed0a21df8f6ffe5315128199a4
"004e46c31e2a886fe1e5d7c34482662e"	""	d638c9e29d7ff1177fc3bf2454b8edd4
"004f12718837ad4a1b31cccfc8db64db"	""	"533dbe531ef4455a63fa7e1907090309"
"005c81149104777d30b2b1ec6331391e"	""	"53ab8756c0d376c5ffbea7a32bfbf81a"
"005f022e5adcfa5808be9acb63daa2c1"	""	afe0e40fe0d2721affd37e6f7f8df7ee
"005f2f0874c58f614045caa547864c50"	""	c8294fd2ae3f5723b1318efc9927bf5c
