id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references
236361,NEON,MAMC-VSS,ASU,PreservedSpecimen,NEON01I3H,NEON01I3H,NEON sampleID: BONA.20180908.O004C1020180908.V; NEON sampleCode (barcode): D00000032533,Organism|Animalia|Chordata|Vertebrata|Mammalia|Rodentia|Muroidea|Cricetidae|Myodes,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Myodes rutilus,79415,"(Pallas, 1779)",Myodes,,rutilus,,,Species,Sarah Ebeler-Monroe (ORCID 0000-0003-3756-1381),9/8/2018,,Determiner information updated 2021-01,,,,Sarah Ebeler-Monroe (ORCID 0000-0003-3756-1381),,,9/8/2018,,2018,9,8,251,,9/8/2018,Associated with NEON small mammal individual NEON.MAM.D19.O004C1020180908,evergreenForest; slope aspect: 294.42; slope gradient: 8.54; soil type order: Histosols,,Small mammal voucher collected incidentally as part of the NEON small mammal box trapping protocol conducted for 3 nights 4-6 times annually.,,,,,"totalLength: 110 mm, tailLength: 31 mm, hindfootLengthSU: 17 mm, hindfootLengthCU: 19 mm (15 mm), earLength: 13 mm, weight: 15.2 g (16 g), embryoCount: NAp, crownRumpLength: NAp, placentalScars: NAp, testisLength: 2.5 mm, testisWidth: 1.8 mm, preparedBy: Emmy L. Engasser, preparedDate: 2021-04-09",,,,Non-scrotal,,,subadult,Male,,ethanol | skull,,,,,,United States,Alaska,Fairbanks North Star Borough,,"Domain 19, Caribou-Poker Creeks Research Watershed Site, CORE, Plot BONA_004 (plot dimensions: 90m x 90m)",,0,,65.192017,-147.536397,WGS84,64,,,,Geo 7X,,,663,,,,,,,,lsteger,9/11/2022 13:20,,28,d8436f4f-dc03-4d3d-b81c-4e2b15599865,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=236361
3037588,DBG,KHD,,ca77be98-2a59-4aa9-bfc1-5ea615f2e6b7,PreservedSpecimen,81ce4a98-b8c8-4c41-8418-f7e7846a1987,KHD00037285,14100,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Malpighiales|Salicaceae|Salix,Plantae,Magnoliophyta,,Malpighiales,Salicaceae,Salix bebbiana,2249,Sarg.,Salix,,bebbiana,,,Species,Janet L. Wingate,Mar-16,,,,,,John B. Hartwell,2294,5/3/1950,1950,5,3,123,,,,,,,,,,,,,Flower and fruit,,,,,,,,,,,,,,,USA,Colorado,El Paso,,"North Cheyenne Canyon opposite incinerator W of first stone bridge near stream, Colorado Springs",,,,38.789002,-104.865179,,10000,13N 0511709E 4293371N,,,Terrain Navigator,,Certainty code: 6,1951,,,,,6400 FT,,,,4/10/2018 12:54,,,81ce4a98-b8c8-4c41-8418-f7e7846a1987,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=3037588
3037589,DBG,KHD,,ca77be98-2a59-4aa9-bfc1-5ea615f2e6b7,PreservedSpecimen,d00d090b-4c83-4a9f-9ef1-a286da82d053,KHD00037401,14101,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Malpighiales|Salicaceae|Salix,Plantae,Magnoliophyta,,Malpighiales,Salicaceae,Salix monticola,2260,Bebb,Salix,,monticola,,,Species,Gwen Kittel,Mar-19,,,,,,John B. Hartwell; C. William T. Penland,2315,6/25/1950,1950,6,25,176,,,,,Swamp,,,,,,,,Flower and fruit,,,,,,,,,,,,,,,USA,Colorado,Grand,,2 miles N of summit of Gore Pass - Highway 84.,,,,40.09695,-106.535125,,10000,13N 0369145E 4439647N,,,Terrain Navigator,,Certainty code: 6,2621,,,,,8600 FT,,,,3/14/2019 17:05,,,d00d090b-4c83-4a9f-9ef1-a286da82d053,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=3037589
