organism_id,organism_scope,accepted_identification_id
db8a709d-1ed3-11e3-bfac-90b11c41863e,lot,de3c7481-1ed3-11e3-bfac-90b11c41863e
db8a73d4-1ed3-11e3-bfac-90b11c41863e,lot,de3c7666-1ed3-11e3-bfac-90b11c41863e
db8a7705-1ed3-11e3-bfac-90b11c41863e,lot,de3c783e-1ed3-11e3-bfac-90b11c41863e
db8a7a33-1ed3-11e3-bfac-90b11c41863e,lot,de3c7a27-1ed3-11e3-bfac-90b11c41863e
db8a7d63-1ed3-11e3-bfac-90b11c41863e,lot,de3c7c14-1ed3-11e3-bfac-90b11c41863e
db8a807f-1ed3-11e3-bfac-90b11c41863e,lot,de3c7df2-1ed3-11e3-bfac-90b11c41863e
db8a83a7-1ed3-11e3-bfac-90b11c41863e,lot,de3c7fd0-1ed3-11e3-bfac-90b11c41863e
db8a86c7-1ed3-11e3-bfac-90b11c41863e,lot,de3c81f1-1ed3-11e3-bfac-90b11c41863e
db8a89e4-1ed3-11e3-bfac-90b11c41863e,lot,de3c83cf-1ed3-11e3-bfac-90b11c41863e
db8a8c75-1ed3-11e3-bfac-90b11c41863e,lot,de3c85a9-1ed3-11e3-bfac-90b11c41863e
db8a8eff-1ed3-11e3-bfac-90b11c41863e,lot,de3c8788-1ed3-11e3-bfac-90b11c41863e
db8a9186-1ed3-11e3-bfac-90b11c41863e,lot,de3c895e-1ed3-11e3-bfac-90b11c41863e
db8a940b-1ed3-11e3-bfac-90b11c41863e,lot,de3c8b3e-1ed3-11e3-bfac-90b11c41863e
db8a9689-1ed3-11e3-bfac-90b11c41863e,lot,de3c8d16-1ed3-11e3-bfac-90b11c41863e
db8a9911-1ed3-11e3-bfac-90b11c41863e,lot,de3c8ef9-1ed3-11e3-bfac-90b11c41863e
db8a9ba5-1ed3-11e3-bfac-90b11c41863e,lot,de3c90ce-1ed3-11e3-bfac-90b11c41863e
db8a9e36-1ed3-11e3-bfac-90b11c41863e,lot,de3c92af-1ed3-11e3-bfac-90b11c41863e
db8aa0c0-1ed3-11e3-bfac-90b11c41863e,lot,de3c9487-1ed3-11e3-bfac-90b11c41863e
db8aa345-1ed3-11e3-bfac-90b11c41863e,lot,de3c9660-1ed3-11e3-bfac-90b11c41863e
db8aa5cd-1ed3-11e3-bfac-90b11c41863e,lot,de3c9835-1ed3-11e3-bfac-90b11c41863e
db8aa84e-1ed3-11e3-bfac-90b11c41863e,lot,de3c9a1b-1ed3-11e3-bfac-90b11c41863e
db8aaad1-1ed3-11e3-bfac-90b11c41863e,lot,de3c9bfd-1ed3-11e3-bfac-90b11c41863e
db8aad5a-1ed3-11e3-bfac-90b11c41863e,lot,de3c9dd6-1ed3-11e3-bfac-90b11c41863e
