5.agent.guid,5.agent.agentType,"5,49-groups,5-member.agent.guid"
f9e0c98f-8823-4127-8d96-ff8cf31e3600,3,df284f53-dc28-4063-b888-bcc7ec87aabb
f9e0c98f-8823-4127-8d96-ff8cf31e3600,3,4626f8d7-c123-4d05-9914-a44b55cd2772
