reference_id;reference_type;bibliographic_citation;reference_year;reference_iri;is_peer_reviewed
3c458dd1-2cf5-c584-7110-64344eea979b;BOOK;Jacques-Félix H. (1970). Ombellales (Alangiacées, Apiacées). In: Aubréville, A. & Leroy, J.-F. (eds.) Flore du Cameroun 10. Muséum national d’Histoire naturelle. Paris. 107 p.;1970;https://www.sudoc.fr/007253494;
a3ab9a4d-a164-9955-3953-800a614d7988;JOURNAL_ARTICLE;Jongkind C.C.H. (2007). The resurection of Diospyros rubicunda (Ebenaceae), a former synonym of Diospyros barteri. Kew Bull. 62 (4): 637–640.;2007;https://www.jstor.org/stable/20443398;
6c31c9e9-5f3b-9647-3c82-d838846cf839;JOURNAL_ARTICLE;Keay R.W.J. (1958). Randia and Gardenia in West Africa. Jard. Bot. Etat 28 (1): 15–72.;1958;https://doi.org/10.2307/3667018;
fa029920-b2ea-9011-d3f5-e17f2ba2c42b;BOOK;Keay R.W.J. (ed.) (1954). Flora of West Tropical Africa. Ed. 2, 1 (1). Crown Agents for Oversea Goverments and Administrations. London. ;1954;;
e4ebbed7-d77d-a111-5b5e-398e7130bc9b;BOOK;Keay R.W.J. (ed.) (1958). Flora of West Tropical Africa. Ed. 2, 1 (2). Crown agents for Oversea Goverments and Administrations. London.Pp. 299–828.;1958;;
665d788a-2919-900f-1f3f-3f31208e5afc;JOURNAL_ARTICLE;Kenfack D., Gosline, G., Gereau, R.E. & Schatz, E. (2003). The Genus Uvariopsis in Tropical Africa, with a recombination and one new species from Cameroon. Novon 13: 443–449.;2003;https://doi.org/10.2307/3393377;
0c1e0b0d-1904-f3db-ff52-f4387ba4076e;BOOK;Kers L.E. (1986). Capparidacées. In: Satabié, B. & Morat, Ph. (eds.) Flore du Cameroun 29. Ministère de l’Enseignement Supérieur et de la Recherche Scientifique et Technique. Yaoundé. 21 p.;1986;;
9b154393-80c1-2b8e-0ee5-17792baaa2b5;JOURNAL_ARTICLE;Le Thomas A. (1968a). Balonga Le Thomas. Nouveau genre africain de la famille des Annonacées. Adansonia, ser. 2, 8 (1): 105–111.;1968;https://biostor.org/reference/254663;
d5c439a0-04c9-0350-df4e-cdc7ef37b1ba;JOURNAL_ARTICLE;Le Thomas A. (1968b). Nouvelles Annonacées d’Afrique équatoriale. Adansonia, ser. 2, 8 (2): 241–243.;1968;https://biostor.org/reference/254950;
bc916b4a-7d2d-b2ca-1291-daadddb5308f;BOOK;Le Thomas A. (1969a). Annonacées. In: Aubréville, A. & Leroy, J.-F. (eds.) Flore du Gabon 16. Muséum national d’Histoire naturelle. Paris. 371 p.;1969;;
6e60cd41-6ecc-e220-a2f5-0b91a530d4b7;JOURNAL_ARTICLE;Le Thomas A. (1969b). A propos d’un Artabotrys méconnu du Cameroun. Adansonia ser 2, 9 (3): 439–442.;1969;https://biostor.org/reference/254711;
47072c18-ddd1-0e37-cf48-ec396d0042a7;BOOK;Lebrun J.-P. & Stork A.L. (2006). – Tropical African flowering plants. Ecology and distribution. Vol. 2. Euphorbiaceae–Dichapetalaceae. Conserva-toire et Jardin botaniques de la Ville de Genève. Genève. 306 p.;2006;https://www.tela-botanica.org/2007/01/article1395/;
bf78eff0-1305-705e-b7a1-4a26408acb35;BOOK;Lebrun J.-P. & Stork, A. L. (2003). Tropical African flowering plants. Ecology and distribution. Vol. 1. Annonaceae–Balanitaceae. Conservatoire et Jardin botaniques de la Ville de Genève. Genève. 797 p.;2003;;
97bccdd8-ca87-84b0-e904-59712c4ecb7f;JOURNAL_ARTICLE;Leeuwenberg A.J.M. (1985). Voacanga Thou. Series of revisions of Apocynaceae 15. Wageningen Agr. Univ. Papers 83-3: 1–122.;1985;https://uses.plantnet-project.org/fr/Voacanga_thouarsii_(PROTA);
1277d31a-f4eb-6540-b11b-7b8b8475c1a2;JOURNAL_ARTICLE;Leeuwenberg A.J.M. (1989). Tabernanthe: uses, phytochemistry and pharmacology. Series of revisions of Apocynaceae 29, 30. Wageningen Agr. Univ. Papers 89-4: 3–18;1989;;
e43c3da5-6d52-78ac-54dc-33efd6e27990;BOOK;Leeuwenberg A.J.M. (1991). A revision of Tabernaemontana. The old world species. Royal Botanic Gardens, Kew. 205 p.;1991;;
048efb43-35c3-656f-8c1f-5d8881dcc420;JOURNAL_ARTICLE;Leeuwenberg A.J.M. (1995). Series of revision of Apocynaceae 40: Calocrater and Crioceras. Fontqueria 42: 11–16.;1995;;
290f81ee-bd48-328f-7cfb-e278e2c63411;JOURNAL_ARTICLE;Leeuwenberg A.J.M. (1996). A new combination and two new species in Alafia (Apocynaceae). Norvon 6: 271–272.;1996;;
