taxon_id;scientific_name;scientific_name_authorship;name_according_to;name_according_to_id;taxon_rank;taxon_source;scientific_name_id;taxon_remarks;parent_taxon_id;taxonomic_status;kingdom;phylum;class;"""order""";family;subfamily;genus;subgenus;accepted_scientific_name
https://www.gbif.org/species/4257356;Asplenium annetii (Jeanp.) Alston;(Jeanp.) Alston;;;SPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Polypodiopsida;Polypodiales;Aspleniaceae;;Asplenium;;Asplenium annetii 
https://www.gbif.org/species/4193120;Impatiens sakeriana Hook.fil.;Hook.fil.;;;SPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Ericales;Balsaminaceae;;Impatiens;;Impatiens sakeriana 
https://www.gbif.org/species/4193340;Impatiens frithii Cheek;Cheek;;;SPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Ericales;Balsaminaceae;;Impatiens;;Impatiens frithii 
https://www.gbif.org/species/4158001;Begonia poculifera var. teusziana (Br. & K.Schum.) De Wild.;(Br. & K.Schum.) De Wild.;;;VARIETY;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Cucurbitales;Begoniaceae;;Begonia;;Begonia poculifera  var. teusziana 
https://www.gbif.org/species/4157042;Begonia heterochroma Sosef;Sosef;;;SPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Cucurbitales;Begoniaceae;;Begonia;;Begonia heterochroma 
https://www.gbif.org/species/4156815;Begonia adpressa Sosef;Sosef;;;SPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Cucurbitales;Begoniaceae;;Begonia;;Begonia adpressa 
https://www.gbif.org/species/3992751;Aucoumea klaineana Pierre;Pierre;;;SPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Burseraceae;;Aucoumea;;Aucoumea klaineana 
https://www.gbif.org/species/3992512;Dacryodes camerunensis Onana;Onana;;;SPECIES;;;;;SYNONYM;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Burseraceae;;Pachylobus;;Dacryodes camerunensis 
https://www.gbif.org/species/3994065;Dacryodes ledermannii (Engl.) H.J.Lam;(Engl.) H.J.Lam;;;SPECIES;;;;;SYNONYM;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Burseraceae;;Pachylobus;;Dacryodes ledermannii 
https://www.gbif.org/species/3993625;Dacryodes villiersiana Onana;Onana;;;SPECIES;;;;;SYNONYM;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Burseraceae;;Pachylobus;;Dacryodes villiersiana 
https://www.gbif.org/species/7273472;Ritchiea simplicifolia var. simplicifolia;;;;VARIETY;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Brassicales;Capparaceae;;Ritchiea;;Ritchiea simplicifolia var. simplicifolia
https://www.gbif.org/species/3838703;Cylicomorpha solmsii (Urb.) Urb.;(Urb.) Urb.;;;SPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Brassicales;Caricaceae;;Cylicomorpha;;Cylicomorpha solmsii 
https://www.gbif.org/species/2985589;Dactyladenia lehmbachii (Engl.) Prance & F.White;(Engl.) Prance & F.White;;;SPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Chrysobalanaceae;;Dactyladenia;;Dactyladenia lehmbachii 
https://www.gbif.org/species/3745601;Magnistipula butayei subsp. balingembaensis Sothers, Prance & B.J.Pollard;Sothers, Prance & B.J.Pollard;;;SUBSPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Chrysobalanaceae;;Magnistipula;;Magnistipula butayi  subsp. balingembaensis 
https://www.gbif.org/species/3714729;Psorospermum aurantiacum Engl.;Engl.;;;SPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Hypericaceae;;Psorospermum;;Psorospermum aurentiacum 
